ID,Description_lang,Parent,Amount,Operator,CriteriaID,OrderIndex,Flags
2,server-only,0,0,4,0,0,2
3,"Most gold ever owned:",2,0,0,4224,0,8
19,Worgen,121461,1,0,17854,0,0
20,Goblin,121461,1,0,17855,0,0
23,"Duels lost",22,0,0,3630,0,0
100,,0,0,4,0,0,0
101,,100,1,0,17971,0,2
115,"Southern Barrens",121946,1,0,17016,0,0
147,"Disenchanted items",146,0,0,4991,0,0
150,"Obtain 225 skill points in first aid.",124254,225,0,5592,0,2
152,server-only,0,1,8,0,0,2
153,Kil'jaeden,152,1,0,3261,0,2
154,"Crown of Dath'Remar",152,1,0,4648,23,2
155,"Helm of Arcane Purity",152,1,0,4650,25,2
156,"Mask of the Fury Hunter",152,1,0,4652,27,2
157,"Apolyon, the Soul-Render",152,1,0,4597,1,2
158,"Cloak of Unforgivable Sin",152,1,0,4599,3,2
159,"Coif of Alleria",152,1,0,4600,4,2
160,"Cowl of Gul'dan",152,1,0,4602,6,2
161,"Crown of Anasterian",152,1,0,4604,8,2
162,"Crux of the Apocalypse",152,1,0,4605,9,2
163,"Hammer of Sanctification",152,1,0,4609,13,2
164,"Handguards of the Dawn",152,1,0,4612,16,2
165,"Helm of Burning Righteousness",152,1,0,4613,17,2
166,Sunflare,152,1,0,4614,18,2
167,"Thalassian Ranger Gauntlets",152,1,0,4616,20,2
168,"Helm of Uther's Resolve",152,1,0,4651,26,2
169,"Duplicitous Guise",152,1,0,4607,11,2
170,"Cover of Ursol the Wise",152,1,0,4601,5,2
171,"Dark Conjuror's Collar",152,1,0,4606,10,2
172,"Tattered Cape of Antonidas",152,1,0,4615,19,2
173,"Handguards of Defiled Worlds",152,1,0,4611,15,2
174,"Shroud of Chieftain Ner'zhul",152,1,0,4653,28,2
175,"Golden Staff of the Sin'dorei",152,1,0,4608,12,2
176,"Hand of the Deceiver",152,1,0,4610,14,2
178,"Cover of Ursoc the Mighty",152,1,0,4647,22,2
179,"Gloves of Tyri's Power",152,1,0,4649,24,2
180,"Borderland Paingrips",152,1,0,4598,2,2
181,"Cowl of Light's Purity",152,1,0,4603,7,2
189,"Achieved Vengeful Gladiator title.",0,0,4,0,0,0
190,"Vengeful Gladiator",189,1,0,5599,1,2
195,server-only,0,1,5,0,0,2
196,"Revive (Rank 7)",195,1,0,3815,1,0
197,"Revive (Rank 5)",195,0,0,4979,3,0
198,"Revive (Rank 4)",195,0,0,4980,4,0
199,"Revive (Rank 2)",195,0,0,4982,6,0
200,"Revive (Rank 6)",195,0,0,4978,2,0
201,"Revive (Rank 1)",195,0,0,4983,7,0
202,"Revive (Rank 3)",195,0,0,4981,5,0
211,"Keli'dan the Breaker",210,1,0,3239,1,0
225,,224,1,0,18004,0,2
243,,242,1,0,18015,0,2
246,,245,1,0,18020,0,2
249,"The Fate of the Kingdom",248,1,0,4262,2,2
