Display_lang,ID,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags_0,Flags_1,Flags_2,Flags_3,Flags_4,AllowableRace_0,AllowableRace_1
"Worn Shortsword",25,1,-2,0,0,-1,0,0,0,0,2,0,24580,0,0,0,-1,-1
"Bent Staff",35,1,-2,0,0,-1,0,0,0,0,2,0,24580,0,0,0,-1,-1
"Worn Mace",36,1,-2,0,0,-1,0,0,0,0,2,0,24580,0,0,0,-1,-1
"Worn Axe",37,1,-2,0,0,-1,0,0,0,0,2,0,24580,0,0,0,-1,-1
"Recruit's Shirt",38,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Recruit's Pants",39,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Recruit's Boots",40,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Squire's Boots",43,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Squire's Pants",44,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Squire's Shirt",45,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Footpad's Shoes",47,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Footpad's Pants",48,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Footpad's Shirt",49,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Neophyte's Boots",51,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Neophyte's Pants",52,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Neophyte's Shirt",53,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Apprentice's Boots",55,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Apprentice's Robe",56,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Acolyte's Robe",57,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Acolyte's Shoes",59,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Layered Tunic",60,1,-2,0,0,-1,0,0,0,0,5,0,24580,0,0,0,-1,-1
"Dwarven Leather Pants",61,1,-2,0,0,-1,0,0,0,0,5,0,24580,0,0,0,-1,-1
"Dwarven Cloth Britches",79,1,-2,0,0,-1,0,0,0,0,5,0,24580,0,0,0,-1,-1
"Soft Fur-lined Shoes",80,1,-2,0,0,-1,0,0,0,0,5,0,24580,0,0,0,-1,-1
"Dirty Leather Vest",85,1,-2,0,0,-1,0,0,0,0,5,0,24580,0,0,0,-1,-1
"Thug Pants",120,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Thug Boots",121,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Trapper's Shirt",127,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Rugged Trapper's Boots",129,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Brawler's Pants",139,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Brawler's Boots",140,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Monster - Shield, Stormwind Guard",143,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Rugged Trapper's Pants",147,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Rugged Trapper's Shirt",148,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Primitive Kilt",153,0,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
"Primitive Mantle",154,1,-2,0,0,-1,0,0,0,0,1,0,24580,0,0,0,-1,-1
