ID,Parent,Operator,Amount,Type,Asset,SecondaryAsset,TertiaryAsset
4099,0,4,1,0,0,0,0
4100,4099,2,1,68,1,0,0
138133,138132,2,1,293,0,0,0
139568,0,8,1,0,0,0,0
139569,139568,2,1,2,81523,0,0
140105,138132,2,1,67,32157,0,0
140106,139568,2,1,67,32157,0,0
140313,140312,3,1,16,0,0,0
167359,167358,2,1,114,19902,1,0
167904,167903,2,1,223,1,0,0
177348,177347,2,1,87,15329,0,0
177374,177373,3,1,87,15329,0,0
177425,177424,2,1,8,364001,0,0
177434,177424,2,1,87,15330,0,0
177470,177469,2,1,8,364226,0,0
177472,177471,2,1,87,15329,0,0
177473,177471,3,1,8,364226,0,0
177630,177629,3,1,87,15330,0,0
177631,177629,2,1,8,364001,0,0
177632,177629,2,1,69,60,0,0
177661,177660,2,1,8,364001,0,0
177662,177660,2,1,87,15333,0,0
177663,177660,2,1,87,15330,0,0
177665,177664,2,1,87,15330,0,0
177666,177664,2,1,87,15333,0,0
177667,177664,2,1,87,15334,0,0
177668,177664,2,1,8,364001,0,0
177669,177664,2,1,87,15335,0,0
177671,177670,2,1,87,15330,0,0
177672,177670,3,1,87,15335,0,0
177673,177670,2,1,8,364001,0,0
177674,177670,2,1,87,15333,0,0
177675,177670,2,1,87,15334,0,0
177676,177424,3,1,87,15333,0,0
177677,177424,3,1,87,15334,0,0
177678,177424,3,1,87,15335,0,0
177679,177660,3,1,87,15334,0,0
177680,177660,3,1,87,15335,0,0
178003,178002,3,1,87,15329,0,0
178004,178002,3,1,8,364001,0,0
178006,178005,3,1,87,15329,0,0
178007,178005,2,1,8,364001,0,0
178065,178064,2,1,160,0,0,0
178414,178413,2,1,99,182,300,0
180498,180497,2,1,255,3,367724,0
181860,181859,2,1,67,36361,0,0
181861,181859,8,1,0,0,0,0
181862,181861,2,1,161,0,0,0
181863,181861,2,1,160,0,0,0
181865,181864,4,2,0,0,0,0
181866,181865,2,1,67,36362,0,0
181867,181865,8,1,0,0,0,0
181868,181867,2,1,161,0,0,0
181869,181867,2,1,160,0,0,0
181870,181864,4,1,0,0,0,0
181871,181870,3,1,160,0,0,0
181872,181870,3,1,161,0,0,0
181877,181876,2,1,160,0,0,0
181878,181876,2,1,161,0,0,0
181879,181876,2,1,8,1234,0,0
182047,182046,2,1,8,362859,0,0
182635,182634,3,1,95,910,3000,0
182637,182800,2,1,95,910,3000,0
182638,182800,8,1,0,0,0,0
182639,182638,2,1,105,21197,1,0
182640,182638,2,1,105,21202,1,0
182641,182638,2,1,105,21207,1,0
182642,182638,2,1,105,21198,1,0
182643,182638,2,1,105,21203,1,0
182644,182638,2,1,105,21208,1,0
182645,182638,2,1,105,21199,1,0
182646,182638,2,1,105,21204,1,0
182647,182638,2,1,105,21209,1,0
182648,182638,2,1,105,21210,1,0
182649,182638,2,1,105,21205,1,0
182650,182638,2,1,105,21200,1,0
182652,182802,2,1,95,910,9000,0
182653,182802,8,1,0,0,0,0
182654,182653,2,1,105,21197,1,0
182655,182653,2,1,105,21202,1,0
182656,182653,2,1,105,21207,1,0
182657,182653,2,1,105,21198,1,0
182658,182653,2,1,105,21203,1,0
182659,182653,2,1,105,21208,1,0
182660,182653,2,1,105,21199,1,0
182661,182653,2,1,105,21204,1,0
182662,182653,2,1,105,21209,1,0
182663,182653,2,1,105,21210,1,0
182664,182653,2,1,105,21205,1,0
182665,182653,2,1,105,21200,1,0
182667,182804,2,1,95,910,21000,0
182668,182804,8,1,0,0,0,0
182669,182668,2,1,105,21197,1,0
182670,182668,2,1,105,21202,1,0
182671,182668,2,1,105,21207,1,0
182672,182668,2,1,105,21198,1,0
182673,182668,2,1,105,21203,1,0
182674,182668,2,1,105,21208,1,0
182675,182668,2,1,105,21199,1,0
182676,182668,2,1,105,21204,1,0
182677,182668,2,1,105,21209,1,0
182678,182668,2,1,105,21210,1,0
182679,182668,2,1,105,21205,1,0
182680,182668,2,1,105,21200,1,0
182682,182806,2,1,95,910,42000,0
182683,182806,8,1,0,0,0,0
182684,182683,2,1,105,21197,1,0
182685,182683,2,1,105,21202,1,0
182686,182683,2,1,105,21207,1,0
182687,182683,2,1,105,21198,1,0
182688,182683,2,1,105,21203,1,0
182689,182683,2,1,105,21208,1,0
182690,182683,2,1,105,21199,1,0
182691,182683,2,1,105,21204,1,0
182692,182683,2,1,105,21209,1,0
182693,182683,2,1,105,21210,1,0
182694,182683,2,1,105,21205,1,0
182695,182683,2,1,105,21200,1,0
182797,183054,2,1,110,66145,0,0
182798,183054,2,1,84,66145,0,0
182799,182636,2,1,67,34610,0,0
182800,182636,4,1,0,0,0,0
182801,182651,2,1,67,34610,0,0
182802,182651,4,1,0,0,0,0
182803,182666,2,1,67,34610,0,0
182804,182666,4,1,0,0,0,0
182805,182681,2,1,67,34610,0,0
182806,182681,4,1,0,0,0,0
183053,182796,2,1,67,36498,0,0
183054,182796,8,1,0,0,0,0
183056,183055,2,1,67,36499,0,0
183057,183055,8,1,0,0,0,0
183058,183057,2,1,84,66145,0,0
183059,183057,2,1,110,66145,0,0
183064,183063,2,1,67,36498,0,0
183115,183114,2,1,110,66145,0,0
183116,183114,2,1,84,66145,0,0
214758,214757,2,1,9,16,0,0
214759,214757,2,1,9,36,0,0
214760,214757,2,1,26,4,0,0
220564,220563,3,1,114,205364,1,0
220565,220563,3,1,114,205184,1,0
220566,220563,3,1,114,205181,1,0
220567,220563,3,1,114,205182,1,0
220568,220563,3,1,114,205183,1,0
220569,220563,3,1,114,205215,1,0
236086,236085,3,1,9,78,0,0
237282,237281,3,1,114,209030,1,0
237283,237281,3,1,114,209031,1,0
237284,237281,3,1,114,209029,1,0
238962,0,8,10,0,0,0,0
238963,238962,2,1,110,78124,0,0
238964,238962,2,1,110,78127,0,0
238965,238962,2,1,110,78142,0,0
238966,238962,2,1,110,78143,0,0
238967,238962,2,1,110,78145,0,0
