Name_lang,Pos_0,Pos_1,Pos_2,MapOffset_0,MapOffset_1,FlightMapOffset_0,FlightMapOffset_1,ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID_0,MountCreatureID_1
"Northshire Abbey",-8888.98046875,-0.54000002146,94.38999938965,0,0,0,0,1,0,0,0,0,0,0,0,0,308,0
"Stormwind, Elwynn",-8840.5595703125,489.70001220703,109.61000061035,0,0,0,0,2,0,0,2,1,0,0,0,0,0,541
"Programmer Isle",16391.810546875,16341.209960938,69.44000244141,0,0,0,0,3,0,0,0,0,0,0,0,0,308,0
"Sentinel Hill, Westfall",-10628.889648438,1036.6800537109,34.06000137329,0,0,0,0,4,0,0,4,1,0,0,0,0,0,541
"Lakeshire, Redridge",-9429.099609375,-2231.3999023438,68.65000152588,0,0,0,0,5,0,0,5,1,0,0,0,0,0,541
"Ironforge, Dun Morogh",-4821.7797851562,-1155.4399414062,502.20999145508,0,0,0,0,6,0,0,6,1,0,0,0,0,0,541
"Menethil Harbor, Wetlands",-3792.2600097656,-783.28997802734,9.06000041962,0,0,0,0,7,0,0,7,1,0,0,0,0,0,541
"Thelsamar, Loch Modan",-5421.91015625,-2930.0100097656,347.25,0,0,0,0,8,0,0,8,1,0,0,0,0,0,541
"Booty Bay, Stranglethorn",-14271.76953125,299.86999511719,31.09000015259,0,0,0,0,9,0,0,0,0,0,0,0,0,0,541
"The Sepulcher, Silverpine Forest",478.85998535156,1536.5899658203,131.32000732422,0,0,0,0,10,0,0,10,2,0,0,0,0,3574,0
"Undercity, Tirisfal",1568.6199951172,267.9700012207,-43.09999847412,0,0,0,0,11,0,0,11,2,0,0,0,0,3574,0
"Darkshire, Duskwood",-10515.459960938,-1261.6500244141,41.34000015259,0,0,0,0,12,0,0,12,1,0,0,0,0,0,541
"Tarren Mill, Hillsbrad",-0.05999999866,-859.90997314453,58.83000183105,0,0,0,0,13,0,0,13,2,0,0,0,0,3574,0
"Southshore, Hillsbrad",-711.47998046875,-515.47998046875,26.11000061035,0,0,0,0,14,0,0,14,1,0,0,0,0,0,541
"Eastern Plaguelands",2253.3999023438,-5344.8999023438,83.37999725342,0,0,0,0,15,0,0,0,0,0,0,0,0,0,541
"Refuge Pointe, Arathi",-1240.5300292969,-2515.1101074219,22.15999984741,0,0,0,0,16,0,0,16,1,0,0,0,0,0,541
"Hammerfall, Arathi",-916.28997802734,-3496.8898925781,70.44999694824,0,0,0,0,17,0,0,17,2,0,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14444.290039062,509.61999511719,26.20000076294,0,0,0,0,18,0,0,18,2,0,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14473.049804688,464.14999389648,36.43000030518,0,0,0,0,19,0,0,19,1,0,0,0,0,0,541
"Grom'gol, Stranglethorn",-12414.1796875,146.28999328613,3.27999997139,0,0,0,0,20,0,0,20,2,0,0,0,0,2224,0
