ID,Parent,Operator,Amount,Type,Asset,SecondaryAsset,TertiaryAsset
25,0,8,1,0,0,0,0
26,25,2,1,68,2,0,0
35,0,4,1,0,0,0,0
36,35,2,1,38,40,0,0
65,64,2,1,24,5,0,0
67,66,2,1,24,2,0,0
69,68,2,1,30,1,0,0
71,70,2,1,30,4,0,0
73,72,2,1,30,7,0,0
75,74,2,1,30,9,0,0
77,76,2,1,30,6,0,0
79,78,2,1,30,10,0,0
81,80,2,1,30,11,0,0
83,82,2,1,30,3,0,0
85,84,2,1,30,2,0,0
87,86,2,1,30,5,0,0
89,88,2,1,30,8,0,0
144,143,2,1,32,529,0,0
146,145,2,1,32,30,0,0
148,147,2,1,32,489,0,0
150,149,2,1,32,566,0,0
336,335,2,1,15,4,0,0
340,339,2,1,24,3,0,0
344,343,2,1,21,7,0,0
353,352,2,1,38,37,0,0
355,354,2,1,67,3785,0,0
365,364,2,1,96,7,8,0
417,416,2,1,38,49,0,0
473,472,2,1,7,0,0,0
591,590,2,1,32,1,0,0
593,592,2,1,32,0,0,0
595,594,2,1,32,530,0,0
597,596,2,1,32,571,0,0
599,598,2,1,32,861,0,0
601,600,2,1,32,870,0,0
1723,1722,2,1,63,0,0,0
3646,88,2,1,30,14,0,0
3705,3704,2,1,4,62988,0,0
4064,4063,2,1,68,2,0,0
4100,4099,2,1,68,1,0,0
11639,364,2,1,96,0,5,0
12029,12028,2,1,87,15198,0,0
12109,12108,2,1,122,2,0,0
12562,600,2,1,32,1064,0,0
22190,22189,2,1,68,23,0,0
23423,23422,2,1,15,2,0,0
23425,23424,2,1,15,3,0,0
23441,23440,2,1,15,5,0,0
61172,66,2,1,60,0,0,0
61173,339,2,1,60,0,0,0
100855,143,2,1,32,1681,0,0
100856,143,2,1,32,2177,0,0
100857,143,2,1,32,2107,0,0
101339,147,2,1,32,2106,0,0
117028,117027,2,1,32,1669,0,0
117029,117027,2,1,32,1642,0,0
117030,117027,2,1,32,1116,0,0
117031,117027,2,1,32,646,0,0
117032,117027,2,1,32,732,0,0
117033,117027,2,1,32,1220,0,0
117034,117027,2,1,32,1643,0,0
117035,117027,2,1,32,1718,0,0
118585,145,2,1,32,2197,0,0
138133,138132,2,1,293,0,0,0
139569,162973,2,1,2,81523,0,0
140105,138132,2,1,67,32157,0,0
140106,162973,2,1,67,32157,0,0
140313,140312,3,1,16,0,0,0
144431,144430,2,1,68,8,0,0
153656,153655,2,1,32,968,0,0
153657,117027,2,1,32,2222,0,0
153659,153658,2,1,122,3,0,0
153661,153660,2,1,122,4,0,0
162576,162574,2,1,67,34676,0,0
162577,162574,2,1,289,173,0,0
162579,162574,2,1,110,9838,0,0
162583,162581,2,1,67,34676,0,0
162584,162581,2,1,289,174,0,0
162586,162581,2,1,110,10901,0,0
162590,162588,2,1,67,34676,0,0
162591,162588,2,1,289,174,0,0
162593,162588,2,1,110,11116,0,0
162598,162596,2,1,67,34676,0,0
162599,162596,2,1,289,171,0,0
162601,162596,2,1,110,10445,0,0
162605,162603,2,1,67,34676,0,0
162606,162603,2,1,289,171,0,0
162608,162603,2,1,110,10985,0,0
162899,162898,2,1,297,0,0,0
162973,139568,4,1,0,0,0,0
162975,162974,2,1,2,89263,0,0
162977,162976,2,1,2,89938,0,0
162981,162973,3,1,114,180089,1,0
162982,162974,8,1,0,0,0,0
162983,162982,3,1,114,184865,1,0
162984,162982,3,1,114,38233,1,0
162985,162982,3,1,114,184871,1,0
162986,162976,3,1,114,32542,1,0
162987,162973,8,1,0,0,0,0
162988,162987,2,1,110,60870,0,0
162989,162987,2,1,110,60860,0,0
162991,162990,2,1,110,63448,0,0
162992,162990,2,1,110,63450,0,0
162993,162976,8,1,0,0,0,0
162994,162993,2,1,110,63768,0,0
162995,162993,2,1,110,63767,0,0
163001,163000,2,1,315,0,0,0
163003,171636,2,1,2,89975,0,0
163004,163811,2,1,110,63770,0,0
163005,164600,3,1,114,25535,1,0
163811,163002,8,1,0,0,0,0
163812,163811,2,1,110,63865,0,0
163814,163813,3,1,2,81527,0,0
164306,164305,3,1,104,351766,0,0
164307,164305,3,1,104,351768,0,0
164308,164305,3,1,104,351769,0,0
164309,164305,3,1,104,351770,0,0
164310,164305,3,1,104,351771,0,0
164484,164482,2,1,67,34676,0,0
164486,164482,2,1,105,30637,1,0
164487,164482,2,1,105,185686,1,0
164488,164482,2,1,105,30622,1,0
164489,164482,2,1,105,185687,1,0
164492,164490,2,1,67,34676,0,0
164494,164490,2,1,105,30623,1,0
164495,164490,2,1,105,185690,1,0
164515,164513,2,1,67,34676,0,0
164517,164513,2,1,105,30635,1,0
164518,164513,2,1,105,185693,1,0
