Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
"Reach level 10.","Level 10",,6,-1,-1,0,92,0,10,4100,1,236562,2050,0
"Reach level 20.","Level 20",,7,-1,-1,6,92,0,10,4100,2,236563,2683,0
"Reach level 30.","Level 30",,8,-1,-1,7,92,0,10,4100,3,236564,1289,0
"Reach level 40.","Level 40",,9,-1,-1,8,92,0,10,4100,4,236565,942,0
"Reach level 50.","Level 50",,10,-1,-1,9,92,0,10,4100,5,236566,2053,0
"Reach level 60.","Level 60",,11,-1,-1,10,92,0,10,4100,6,236567,2056,0
"Reach level 70.","Level 70",,12,-1,-1,11,92,0,10,4100,7,236568,2059,0
"Reach level 80.","Level 80",,13,-1,-1,12,92,0,10,4100,8,236569,2262,0
"Collect 15 unique pets.","Plenty of Pets",,15,-1,-1,1017,15118,0,10,131072,2,132599,22152,0
"Raise your unarmed skill to 400.","Did Somebody Order a Knuckle Sandwich?",,16,-1,-1,0,81,0,0,0,282,132356,6318,0
"Complete a daily quest every day for five consecutive days.","A Simple Re-Quest",,31,-1,-1,0,96,0,10,0,17,236680,2807,0
"Complete 2000 quests.","2000 Quests Completed",,32,-1,-1,508,96,0,10,0,7,236670,2810,0
"Complete 130 quests in Borean Tundra.","Nothing Boring About Borean",,33,-1,1,0,14863,0,10,136,1,236728,1741,0
"Complete 130 quests in Howling Fjord.","I've Toured the Fjord",,34,-1,1,0,14863,0,10,0,3,236787,5287,0
"Complete 115 quests in Dragonblight.","Might of Dragonblight",,35,-1,1,0,14863,0,10,0,5,236749,1745,0
"Complete 100 quests in Zul'Drak.","The Empire of Zul'Drak",,36,-1,-1,0,14863,0,10,0,9,236862,1881,0
"Complete 85 quests in Grizzly Hills.","Fo' Grizzle My Shizzle",,37,-1,1,0,14863,0,10,0,7,236772,5284,0
"Complete 100 quests in Storm Peaks.","The Summit of Storm Peaks",,38,-1,-1,0,14863,0,10,0,11,236838,1884,0
"Complete 75 quests in Sholazar Basin.","Into the Basin",,39,-1,-1,0,14863,0,10,0,10,236823,1887,0
"Complete 140 quests in Icecrown.","Icecrown: The Final Goal",,40,-1,-1,0,14863,0,10,0,12,236799,3375,0
"Complete the Northrend quest achievements listed below.","Loremaster of Northrend",,41,-1,-1,0,14863,0,10,131072,21,236812,5756,0
"Explore the regions of Eastern Kingdoms.","Explore Eastern Kingdoms",,42,-1,-1,0,97,0,25,131072,1,236759,2402,0
"Explore the regions of Kalimdor.","Explore Kalimdor",,43,-1,-1,0,97,0,25,131072,2,236807,3317,0
"Explore the regions of Outland.","Explore Outland",,44,-1,-1,0,97,0,25,131072,3,236813,3340,0
"Explore the regions of Northrend.","Explore Northrend","Reward: Tabard of the Explorer",45,-1,-1,0,97,0,25,131072,4,236812,12064,0
"Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, and Pandaria.","World Explorer","Title Reward: The Explorer",46,-1,-1,0,97,0,50,131072,7,237381,3257,0
"Alterac Valley victories","Alterac Valley victories",,49,30,-1,0,153,0,0,1,6,136243,15889,0
"Eye of the Storm victories","Eye of the Storm victories",,50,566,-1,0,153,0,0,1,13,136243,9109,0
"Arathi Basin victories","Arathi Basin victories",,51,529,-1,0,153,0,0,1,8,136243,5504,0
"Warsong Gulch battles","Warsong Gulch battles",,52,489,-1,0,153,0,0,1,18,136243,5507,0
"Alterac Valley battles","Alterac Valley battles",,53,30,-1,0,153,0,0,1,5,136243,5510,0
"Eye of the Storm battles","Eye of the Storm battles",,54,566,-1,0,153,0,0,1,11,136243,1272,0
"Arathi Basin battles","Arathi Basin battles",,55,529,-1,0,153,0,0,1,7,136243,3391,0
"Deaths in Warsong Gulch","Deaths in Warsong Gulch",,56,489,-1,0,124,0,0,1,3,136243,140,0
"Deaths in Alterac Valley","Deaths in Alterac Valley",,57,30,-1,0,124,0,0,1,1,136243,2062,0
"Deaths from Drek'Thar","Deaths from Drek'Thar",,58,30,1,0,124,0,0,1,11,136243,143,0
"Deaths in Arathi Basin","Deaths in Arathi Basin",,59,529,-1,0,124,0,0,1,2,136243,1064,0
"Total deaths","Total deaths",,60,-1,-1,0,122,0,0,1,1,136243,1189,0
"Assault 3 bases in a single Arathi Basin battle.","Disgracin' The Basin",,73,529,-1,0,14802,0,10,0,5,132333,7709,0
"Quests abandoned","Quests abandoned",,94,-1,-1,0,133,0,0,1,5,136243,805,0
"Average quests completed per day","Average quests completed per day",,95,-1,-1,0,133,0,0,65,2,136243,5199,98
"Daily quests completed","Daily quests completed",,97,-1,-1,0,133,0,0,1,3,136243,5766,0
"Quests completed","Quests completed",,98,-1,-1,0,133,0,0,9,1,136243,758,0
"Ruins of Lordaeron matches","Ruins of Lordaeron matches",,99,-1,-1,0,152,0,0,1,17,136243,15898,0
"Ring of Trials victories","Ring of Trials victories",,100,-1,-1,0,152,0,0,1,14,136243,836,0
"Ring of Trials matches","Ring of Trials matches",,101,-1,-1,0,152,0,0,1,13,136243,945,0
"Ruins of Lordaeron victories","Ruins of Lordaeron victories",,102,-1,-1,0,152,0,0,1,18,136243,8210,0
"Circle of Blood matches","Circle of Blood matches",,103,-1,-1,0,152,0,0,1,9,136243,808,0
"Circle of Blood victories","Circle of Blood victories",,104,-1,-1,0,152,0,0,1,10,136243,15892,0
"Warsong Gulch victories","Warsong Gulch victories",,105,-1,-1,0,153,0,0,1,19,136243,3068,0
"Creatures killed","Creatures killed",,107,-1,-1,0,135,0,0,9,1,136243,762,0
"Critters killed","Critters killed",,108,-1,-1,0,135,0,0,1,4,136243,774,0
"Lich King 5-player boss killed the most","Lich King 5-player boss defeated the most",,110,-1,-1,0,14807,0,0,17,9,0,2277,1467
"Deaths from drowning","Deaths from drowning",,112,-1,-1,0,126,0,0,1,1,136243,9921,0
"Deaths from fatigue","Deaths from fatigue",,113,-1,-1,0,126,0,0,1,3,136243,777,0
"Deaths from falling","Deaths from falling",,114,-1,-1,0,126,0,0,1,4,136243,2429,0
"Deaths from fire and lava","Deaths from fire and lava",,115,-1,-1,0,126,0,0,9,5,136243,1592,0
"Obtain 150 skill points in a profession.","Professional Journeyman",,116,-1,-1,0,169,1,10,0,1,134327,1596,0
"Obtain 150 skill points in cooking.","Journeyman Cook",,121,-1,-1,0,170,0,10,0,1,133971,5281,0
"Obtain 225 skill points in cooking.","Expert Cook",,122,-1,-1,121,170,0,10,0,2,133971,2377,0
"Obtain 300 skill points in cooking.","Artisan Cook",,123,-1,-1,122,170,0,10,0,3,133971,4033,0
"Obtain 375 skill points in cooking.","Master Cook",,124,-1,-1,123,170,0,10,0,4,133971,2432,0
"Obtain 450 skill points in cooking.","Grand Master Cook",,125,-1,-1,124,170,0,10,0,5,133971,1578,0
"Obtain 150 skill points in fishing.","Journeyman Fisherman",,126,-1,-1,0,171,0,10,0,1,136245,1738,0
"Obtain 225 skill points in fishing.","Expert Fisherman",,127,-1,-1,126,171,0,10,0,2,136245,3071,0
"Obtain 300 skill points in fishing.","Artisan Fisherman",,128,-1,-1,127,171,0,10,0,3,136245,2467,0
"Obtain 375 skill points in fishing.","Master Fisherman",,129,-1,-1,128,171,0,10,0,4,136245,3667,0
"Obtain 450 skill points in fishing.","Grand Master Fisherman",,130,-1,-1,129,171,0,10,0,5,136245,2380,0
"Obtain 150 skill points in first aid.","Journeyman Medic",,131,-1,-1,0,172,0,10,0,1,135966,2435,0
"Obtain 225 skill points in first aid.","Expert Medic",,132,-1,-1,131,172,0,10,0,2,135966,149,0
"Obtain 300 skill points in first aid.","Artisan Medic",,133,-1,-1,132,172,0,10,0,3,135966,1620,0
"Obtain 375 skill points in first aid.","Master Medic",,134,-1,-1,133,172,0,10,0,4,135966,3355,0
"Obtain 450 skill points in first aid.","Grand Master Medic",,135,-1,-1,134,172,0,10,0,5,135966,2792,0
