ID,Type,Asset,Modifier_tree_ID,Start_event,Start_asset,Start_timer,Fail_event,Fail_asset,Flags,Eligibility_world_state_ID,Eligibility_world_state_value
72,10,0,0,2,0,0,2,0,0,0,0
74,11,3537,0,0,0,0,0,0,0,0,0
75,11,495,0,0,0,0,0,0,0,0,0
76,11,65,0,0,0,0,0,0,0,0,0
77,11,66,0,0,0,0,0,0,0,0,0
79,11,67,0,0,0,0,0,0,0,0,0
80,11,3711,0,0,0,0,0,0,0,0,0
81,11,210,0,0,0,0,0,0,0,0,0
82,8,33,0,0,0,0,0,0,0,0,0
83,8,34,0,0,0,0,0,0,0,0,0
84,8,35,0,0,0,0,0,0,0,0,0
86,8,37,0,0,0,0,0,0,0,0,0
94,8,42,0,0,0,0,0,0,0,0,0
95,8,43,0,0,0,0,0,0,0,0,0
96,8,44,0,0,0,0,0,0,0,0,0
97,8,45,0,0,0,0,0,0,0,0,0
104,15,30,0,0,0,0,0,0,0,0,0
105,15,566,0,0,0,0,0,0,0,0,0
106,15,529,0,0,0,0,0,0,0,0,0
107,16,489,0,0,0,0,0,0,0,0,0
108,16,30,0,0,0,0,0,0,0,0,0
110,16,529,0,0,0,0,0,0,0,0,0
111,17,0,0,0,0,0,0,0,0,0,0
123,30,122,0,3,529,0,3,529,2,0,0
147,26,1,0,0,0,0,0,0,0,0,0
148,26,0,0,0,0,0,0,0,0,0,0
149,26,2,0,0,0,0,0,0,0,0,0
150,26,5,0,0,0,0,0,0,0,0,0
151,26,3,0,0,0,0,0,0,0,0,0
162,13,0,0,0,0,0,0,0,0,0,0
169,18,5,12106,0,0,0,0,0,0,0,0
226,8,1167,0,0,0,0,0,0,0,0,0
227,8,1169,0,0,0,0,0,0,0,0,0
229,8,1172,0,0,0,0,0,0,0,0,0
285,27,12499,0,0,0,0,0,0,0,0,0
286,27,12500,0,0,0,0,0,0,0,0,0
306,37,0,0,0,0,0,0,0,0,0,0
308,30,122,0,0,0,0,0,0,0,0,0
318,36,17182,0,0,0,0,0,0,0,0,0
325,36,32838,0,0,0,0,0,0,0,0,0
326,36,32837,0,0,0,0,0,0,0,0,0
328,27,8743,0,0,0,0,0,0,0,0,0
347,27,11892,0,0,0,0,0,0,0,0,0
349,36,20371,0,0,0,0,0,0,0,0,0
350,36,33079,0,0,0,0,0,0,0,0,0
383,8,562,0,0,0,0,0,0,0,0,0
384,8,564,0,0,0,0,0,0,0,0,0
385,8,566,0,0,0,0,0,0,0,0,0
386,8,568,0,0,0,0,0,0,0,0,0
387,8,572,0,0,0,0,0,0,0,0,0
388,8,574,0,0,0,0,0,0,0,0,0
389,8,563,0,0,0,0,0,0,0,0,0
390,8,565,0,0,0,0,0,0,0,0,0
391,8,567,0,0,0,0,0,0,0,0,0
392,8,569,0,0,0,0,0,0,0,0,0
393,8,573,0,0,0,0,0,0,0,0,0
394,8,575,0,0,0,0,0,0,0,0,0
406,27,8193,0,0,0,0,0,0,0,0,0
409,0,23682,0,0,0,0,0,0,0,0,0
414,30,123,0,0,0,0,0,0,0,0,0
419,30,63,0,0,0,0,0,0,0,0,0
421,30,63,0,3,30,0,3,30,3,0,0
422,30,65,0,3,30,0,3,30,3,0,0
423,30,61,0,3,30,0,3,30,3,0,0
424,30,64,0,3,30,0,3,30,3,0,0
425,31,3057,0,3,30,0,3,30,3,0,0
426,30,122,0,3,529,0,3,529,3,0,0
427,30,123,0,3,529,0,3,529,3,0,0
431,31,3421,0,3,529,0,3,529,3,0,0
432,31,3420,0,3,529,0,3,529,3,0,0
433,31,3423,0,3,529,0,3,529,3,0,0
434,31,3422,0,3,529,0,3,529,3,0,0
435,31,3424,0,3,529,0,3,529,3,0,0
436,30,64,0,0,0,0,0,0,0,0,0
437,30,61,0,0,0,0,0,0,0,0,0
438,30,183,0,0,0,0,0,0,0,0,0
439,30,42,0,0,0,0,0,0,0,0,0
440,30,44,0,0,0,0,0,0,0,0,0
441,31,3870,0,3,566,0,3,566,3,0,0
442,31,3871,0,3,566,0,3,566,3,0,0
443,31,3872,0,3,566,0,3,566,3,0,0
444,31,3869,0,3,566,0,3,566,3,0,0
447,39,3,0,0,0,0,0,0,0,0,0
448,38,2,0,0,0,0,0,0,0,0,0
449,38,3,0,0,0,0,0,0,0,0,0
450,38,5,0,0,0,0,0,0,0,0,0
451,39,2,0,0,0,0,0,0,0,0,0
452,39,5,0,0,0,0,0,0,0,0,0
455,20,448,0,0,0,0,0,0,0,0,0
456,20,11946,0,0,0,0,0,0,0,0,0
472,36,21100,0,0,0,0,0,0,0,0,0
477,0,25740,0,0,0,0,0,0,0,0,0
478,27,7043,0,0,0,0,0,0,0,0,0
479,27,6983,0,0,0,0,0,0,0,0,0
480,0,39605,0,0,0,0,0,0,0,0,0
481,0,36648,0,0,0,0,0,0,0,0,0
482,0,10181,0,0,0,0,0,0,0,0,0
483,0,16802,0,0,0,0,0,0,0,0,0
484,8,610,0,0,0,0,0,0,0,0,0
485,8,611,0,0,0,0,0,0,0,0,0
486,8,612,0,0,0,0,0,0,0,0,0
487,8,613,0,0,0,0,0,0,0,0,0
489,0,42129,0,0,0,0,0,0,0,0,0
490,0,7999,0,0,0,0,0,0,0,0,0
491,0,17468,0,0,0,0,0,0,0,0,0
492,8,615,0,0,0,0,0,0,0,0,0
493,8,616,0,0,0,0,0,0,0,0,0
494,8,617,0,0,0,0,0,0,0,0,0
495,8,618,0,0,0,0,0,0,0,0,0
496,36,21541,0,0,0,0,0,0,0,0,0
497,36,21544,0,0,0,0,0,0,0,0,0
498,36,21543,0,0,0,0,0,0,0,0,0
499,36,21157,0,0,0,0,0,0,0,0,0
500,36,21538,0,0,0,0,0,0,0,0,0
501,36,21539,0,0,0,0,0,0,0,0,0
502,43,117,0,0,0,0,0,0,0,0,0
504,43,2627,0,0,0,0,0,0,0,0,0
505,43,113,0,0,0,0,0,0,0,0,0
507,43,2629,0,0,0,0,0,0,0,0,0
508,43,109,0,0,0,0,0,0,0,0,0
509,43,108,0,0,0,0,0,0,0,0,0
510,43,107,0,0,0,0,0,0,0,0,0
511,43,2630,0,0,0,0,0,0,0,0,0
512,43,104,0,0,0,0,0,0,0,0,0
515,43,114,0,0,0,0,0,0,0,0,0
517,43,2628,0,0,0,0,0,0,0,0,0
519,43,1041,0,0,0,0,0,0,0,0,0
522,0,28860,330,0,0,0,0,0,0,0,0
525,0,11520,0,0,0,0,0,0,0,0,0
533,28,132022,0,0,0,0,0,0,0,0,0
535,0,6487,0,0,0,0,0,0,0,0,0
536,0,3975,0,0,0,0,0,0,0,0,0
537,0,4543,0,0,0,0,0,0,0,0,0
545,0,11492,0,0,0,0,0,0,0,0,0
546,0,11496,0,0,0,0,0,0,0,0,0
548,0,10508,0,0,0,0,0,0,0,0,0
549,0,1853,0,0,0,0,0,0,0,0,0
550,0,10813,0,0,0,0,0,0,0,0,0
569,36,13584,0,0,0,0,0,0,0,0,0
570,36,13583,0,0,0,0,0,0,0,0,0
571,36,13582,0,0,0,0,0,0,0,0,0
572,36,25535,0,0,0,0,0,0,0,0,0
592,36,39286,0,0,0,0,0,0,0,0,0
611,1,529,137,3,529,0,3,529,0,0,0
645,8,708,0,0,0,0,0,0,0,0,0
646,8,710,0,0,0,0,0,0,0,0,0
648,8,712,0,0,0,0,0,0,0,0,0
707,44,14,0,0,0,0,0,0,0,0,0
708,44,13,0,0,0,0,0,0,0,0,0
711,44,10,0,0,0,0,0,0,0,0,0
713,44,8,0,0,0,0,0,0,0,0,0
714,44,7,0,0,0,0,0,0,0,0,0
721,44,6,0,0,0,0,0,0,0,0,0
722,44,5,0,0,0,0,0,0,0,0,0
723,44,4,0,0,0,0,0,0,0,0,0
724,44,3,0,0,0,0,0,0,0,0,0
726,44,1,0,0,0,0,0,0,0,0,0
729,44,12,0,0,0,0,0,0,0,0,0
730,44,11,0,0,0,0,0,0,0,0,0
732,44,9,0,0,0,0,0,0,0,0,0
739,44,2,0,0,0,0,0,0,0,0,0
744,27,10445,0,0,0,0,0,0,0,0,0
745,27,10985,0,0,0,0,0,0,0,0,0
747,27,9269,0,0,0,0,0,0,0,0,0
748,27,9270,0,0,0,0,0,0,0,0,0
749,27,9257,0,0,0,0,0,0,0,0,0
750,27,9271,0,0,0,0,0,0,0,0,0
758,1,489,0,13,8563,420,3,489,0,0,0
759,36,18834,0,0,0,0,0,0,0,0,0
760,36,18853,0,0,0,0,0,0,0,0,0
761,36,18849,0,0,0,0,0,0,0,0,0
762,36,18851,0,0,0,0,0,0,0,0,0
763,36,18845,0,0,0,0,0,0,0,0,0
764,36,29592,0,0,0,0,0,0,0,0,0
765,36,18852,0,0,0,0,0,0,0,0,0
766,36,18846,0,0,0,0,0,0,0,0,0
767,36,18850,0,0,0,0,0,0,0,0,0
768,36,28239,0,0,0,0,0,0,0,0,0
769,36,38588,0,0,0,0,0,0,0,0,0
770,36,37865,0,0,0,0,0,0,0,0,0
771,36,30346,0,0,0,0,0,0,0,0,0
772,36,30345,0,0,0,0,0,0,0,0,0
773,36,30344,0,0,0,0,0,0,0,0,0
774,36,30343,0,0,0,0,0,0,0,0,0
775,36,28241,0,0,0,0,0,0,0,0,0
776,36,28242,0,0,0,0,0,0,0,0,0
777,36,28240,0,0,0,0,0,0,0,0,0
778,36,28243,0,0,0,0,0,0,0,0,0
