ID,LegacySlotIndex,TriggerType,Charges,CoolDownMSec,CategoryCoolDownMSec,SpellCategoryID,SpellID,ChrSpecializationID,PlayerConditionID,ParentItemID
27737,0,1,0,-1,-1,0,52172,0,0,134017
27738,1,0,0,1500,-1,0,51149,0,0,134017
27740,0,0,0,1500,3000,1476,52172,0,0,134019
97043,0,2,0,-1,-1,0,18077,0,0,899
97045,0,0,0,-1,-1,0,472,0,0,903
97046,0,0,-1,-1,-1,0,483,0,0,1105
97049,0,0,0,0,0,0,581,0,0,1042
97050,0,0,0,0,0,0,580,0,0,1043
97051,0,0,0,0,0,0,579,0,0,1044
97053,0,0,-1,-1,-1,0,8176,0,0,1187
97054,0,0,-1,-1,-1,0,483,0,0,1101
97055,0,0,-1,1000,0,0,54497,0,0,1177
97056,0,0,-1,0,60000,24,1940,0,0,1178
97057,0,0,-1,-1,-1,0,483,0,0,986
97058,0,0,-1,-1,-1,0,483,0,0,989
97059,0,0,0,3600000,0,0,18831,0,0,1315
97060,0,2,0,-1,-1,0,13480,0,0,1318
97061,0,0,-1,-1,-1,0,483,0,0,1136
97062,0,0,-1,-1,-1,0,483,0,0,1138
97063,0,0,-1,-1,-1,0,483,0,0,1139
97064,0,0,-1,-1,-1,0,483,0,0,1108
97065,0,0,-1,-1,-1,0,483,0,0,1109
97066,0,0,-1,-1,-1,0,483,0,0,1111
97067,0,0,-1,0,0,0,483,0,0,1052
97068,0,0,-1,0,1000,11,5005,0,0,724
97069,0,0,-1,-1,-1,0,483,0,0,728
97070,0,2,0,-1,-1,0,17504,0,0,809
97071,0,2,0,-1,-1,0,13439,0,0,810
97072,0,0,-1,0,1000,11,435,0,0,733
97073,0,0,-1,300000,60000,4,3591,0,0,737
97075,1,1,0,-1,-1,0,5707,0,0,833
97076,0,0,-1,0,60000,24,8312,0,0,835
97077,0,0,-1,0,1000,11,433,0,0,787
97078,0,0,-1,-1,-1,0,29467,0,0,23545
97080,0,0,0,-1,-1,0,459,0,0,842
97081,0,0,-1,-1,-1,0,483,0,0,1093
97082,0,0,-1,-1,-1,0,483,0,0,1095
97083,0,0,-1,-1,-1,0,483,0,0,1096
97084,0,0,-1,-1,-1,0,483,0,0,1099
97086,0,0,-1,0,0,0,483,0,0,1048
97087,0,2,0,-1,-1,0,18797,0,0,871
97089,0,0,-1,-1,-1,0,458,0,0,875
97090,0,2,0,-1,-1,0,8552,0,0,880
97091,0,0,-1,0,0,0,483,0,0,1049
97092,0,0,-1,0,1000,11,5006,0,0,1082
97093,2,1,0,-1,-1,0,18074,0,0,867
97097,0,0,-1,-1,-1,0,483,0,0,1086
97098,0,0,-1,-1,-1,0,483,0,0,1141
97099,0,0,-1,-1,-1,0,483,0,0,1144
97100,0,0,-1,-1,-1,0,483,0,0,1146
97101,0,0,-1,-1,-1,0,483,0,0,1149
97102,0,0,-1,-1,-1,0,483,0,0,1150
97103,0,0,-1,-1,-1,0,483,0,0,1151
97104,0,0,-1,0,1000,11,434,0,0,414
97105,0,0,-1,0,1000,11,435,0,0,422
97106,0,0,-1,-1,-1,0,483,0,0,1087
97107,0,0,-1,-1,-1,0,483,0,0,1088
97108,0,0,-1,0,1000,11,5006,0,0,1017
97109,0,0,-1,0,0,11,7291,0,0,1165
97110,0,0,-1,0,1000,11,433,0,0,961
97111,0,1,0,-1,-1,0,18815,0,0,1168
97112,1,1,0,-1,-1,0,18816,0,0,1168
97113,0,0,-1,-1,-1,4,431,0,0,1267
97114,0,2,0,-1,-1,0,18208,0,0,1265
97115,0,0,-1,-1,-1,0,483,0,0,1084
97116,0,0,-1,-1,-1,0,483,0,0,1085
97117,0,0,-1,-1,-1,0,483,0,0,1089
97118,0,0,-1,-1,-1,0,483,0,0,966
97119,0,0,-1,-1,1000,11,434,0,0,1321
97120,0,0,-1,-1,120000,1153,7396,0,0,1322
97121,0,0,-1,0,1000,11,434,0,0,1113
97122,0,0,-1,0,1000,11,435,0,0,1114
97123,0,0,-1,-1,1000,11,435,0,0,1119
97125,0,0,-1,-1,-1,4,432,0,0,1268
97126,0,0,0,-1,-1,0,468,0,0,1122
97127,0,0,0,-1,-1,0,472,0,0,1123
97128,0,0,0,-1,-1,0,471,0,0,1124
97129,0,0,-1,0,60000,24,145727,0,0,1127
97131,0,0,-1,1000,-1,0,8118,0,0,954
97132,0,0,-1,-1,-1,0,483,0,0,976
97133,0,0,-1,1000,-1,0,8096,0,0,955
97134,0,0,-1,0,1000,11,433,0,0,761
97135,0,0,-1,-1,-1,0,483,0,0,967
97136,0,0,-1,-1,-1,0,483,0,0,968
97137,0,0,-1,-1,-1,0,483,0,0,973
97138,0,0,-1,-1,-1,0,483,0,0,974
97139,0,0,-1,-1,-1,0,483,0,0,1224
97140,0,0,-1,-1,-1,0,483,0,0,1228
97141,0,0,-1,1000,-1,0,145728,0,0,1176
97142,0,0,-1,-1,-1,0,483,0,0,1091
97143,0,0,-1,-1,-1,0,483,0,0,1092
97144,0,0,-1,-1,-1,0,483,0,0,975
97145,0,0,-1,0,0,0,483,0,0,1053
97146,0,0,-1,0,0,0,483,0,0,1057
97147,0,0,-1,0,0,0,483,0,0,1061
97148,0,0,-1,-1,120000,4,438,0,0,1072
97149,0,2,0,-1,-1,0,13524,0,0,934
97150,0,2,0,-1,-1,0,144252,0,0,937
97151,0,0,0,900000,0,0,18820,0,0,940
97152,0,2,0,-1,-1,0,13752,0,0,869
97153,0,0,-1,0,0,0,483,0,0,1038
97154,0,0,0,30000,-1,0,47,0,0,941
97155,1,1,0,-1,-1,0,18799,0,0,942
97160,0,0,0,-1,-1,0,458,0,0,823
97164,0,0,-1,60000,30000,29,1139,0,0,1704
97165,0,2,0,-1,-1,0,16401,0,0,1726
97166,0,2,0,-1,-1,0,13528,0,0,1727
97167,0,0,-1,0,60000,4,441,0,0,929
97168,0,0,-1,0,0,0,483,0,0,1029
97169,0,0,-1,0,0,0,483,0,0,1030
97170,0,0,-1,0,0,0,483,0,0,1031
97171,0,0,-1,0,0,0,483,0,0,1032
97172,0,0,-1,0,0,0,483,0,0,1033
97173,0,0,-1,0,0,0,483,0,0,1034
97174,0,0,-1,-1,-1,0,483,0,0,1559
97175,0,0,-1,-1,-1,0,483,0,0,1641
97176,0,0,-1,0,1000,59,1135,0,0,1645
97177,0,0,-1,-1,-1,0,483,0,0,1648
97179,0,0,-1,-1,-1,0,483,0,0,1568
97180,0,0,-1,-1,-1,0,483,0,0,1655
97181,0,0,-1,-1,-1,0,483,0,0,1657
97182,0,0,-1,0,0,0,483,0,0,1035
97183,0,0,-1,0,0,0,483,0,0,1037
97184,0,0,-1,-1,3000,330,55884,0,0,1132
97185,0,0,-1,-1,3000,330,55884,0,0,1133
97186,0,0,-1,-1,3000,330,55884,0,0,1134
97187,0,0,-1,0,120000,1153,8070,0,0,1970
97188,0,0,0,60000,-1,0,403,0,0,1914
97190,0,0,-1,0,60000,24,49512,0,0,1399
97191,0,0,-1,0,300000,28,65,0,0,1400
97193,0,0,0,300000,0,0,8736,0,0,1933
97194,0,0,-1,-1,-1,0,3366,0,0,2363
97195,0,0,-1,0,0,0,483,0,0,1603
97196,0,0,-1,-1,-1,0,483,0,0,1231
97197,0,0,-1,-1,-1,0,483,0,0,1232
97198,0,0,-1,-1,-1,0,483,0,0,1238
97199,0,0,-1,-1,-1,0,483,0,0,1239
97200,0,0,-1,-1,-1,0,483,0,0,1243
97201,0,0,-1,-1,-1,0,483,0,0,1245
97202,0,2,0,-1,-1,0,18090,0,0,1986
97203,0,0,-1,0,1000,11,433,0,0,2070
97204,0,0,-1,0,0,59,430,0,0,2071
97205,0,0,-1,0,1000,150,746,0,0,1251
97209,0,0,0,30000,0,0,4960,0,0,1352
97211,0,0,0,30000,30000,24,133,0,0,1258
97212,0,0,-1,-1,-1,0,483,0,0,1334
97213,0,0,-1,-1,-1,0,483,0,0,992
97214,0,0,-1,-1,-1,0,483,0,0,994
97215,0,0,0,-1,-1,0,133,0,0,996
97216,0,2,0,-1,-1,0,89,0,0,997
97217,0,0,-1,-1,-1,0,483,0,0,1004
97218,0,0,-1,0,1000,59,430,0,0,159
97219,0,0,-1,-1,-1,0,483,0,0,3114
97220,0,0,-1,-1,-1,0,483,0,0,1651
97221,0,0,-1,0,60000,24,13424,0,0,1434
97222,0,0,-1,-1,-1,0,483,0,0,1339
97223,0,0,-1,-1,-1,0,483,0,0,1341
97225,0,0,-1,-1,-1,0,483,0,0,1567
97226,0,2,0,-1,-1,0,13440,0,0,1481
97227,0,0,-10,0,60000,24,5917,0,0,1191
97228,0,0,-1,-1,-1,0,483,0,0,1246
97229,0,0,-1,-1,-1,0,483,0,0,1250
97230,0,0,-1,-1,-1,0,483,0,0,1554
97231,0,2,0,-1,-1,0,144268,0,0,1482
97233,0,0,-1,0,1000,11,1127,0,0,1487
97234,0,0,-1,-1,-1,0,483,0,0,985
97235,0,0,0,1800000,0,0,12257,0,0,744
97236,0,0,-3,60000,20000,29,370,0,0,1995
97237,0,0,-5,-1,1000,59,5257,0,0,1262
97238,0,0,-10,30000,30000,29,835,0,0,1472
97239,0,1,0,-1,-1,0,19409,0,0,1979
97243,0,0,-1,1000,-1,0,8116,0,0,1477
97244,0,0,-1,1000,-1,0,8094,0,0,1478
97245,0,0,-1,-1,-1,0,483,0,0,1658
97249,0,0,-1,-1,-1,0,483,0,0,1886
97250,0,0,-1,-1,1000,11,434,0,0,1326
97251,0,0,-1,0,1000,11,1127,0,0,1707
97252,0,0,-1,0,1000,59,1133,0,0,1708
97254,0,0,-1,-1,-1,0,483,0,0,1676
97255,0,0,-1,-1,-1,0,483,0,0,3090
97256,0,2,0,-1,-1,0,144250,0,0,1982
97258,0,0,-1,0,0,0,483,0,0,1619
97260,0,0,-1,0,0,0,483,0,0,1597
97261,0,2,0,-1,-1,0,18086,0,0,1728
97262,0,0,-1,-1,-1,0,483,0,0,1229
97263,0,0,-1,-1,-1,0,9437,0,0,7586
97265,0,0,-1,0,3000,79,2374,0,0,2457
97267,0,0,0,1800000,0,0,18826,0,0,1447
97268,0,0,-1,0,60000,4,806,0,0,1450
97269,0,0,-1,-1,-1,0,483,0,0,1112
97270,0,0,-1,0,1000,59,431,0,0,1179
97271,0,0,-1,1000,-1,0,8099,0,0,1180
97272,0,0,-1,1000,-1,0,8112,0,0,1181
97273,0,0,-1,-1,-1,0,29475,0,0,23547
97274,0,0,-1,0,1000,11,833,0,0,1401
97277,0,0,-1,-1,-1,0,29483,0,0,23548
97278,0,0,-1,-1,-1,0,483,0,0,1328
97279,0,1,0,0,0,0,18097,0,0,1204
97280,0,0,-1,0,1000,59,432,0,0,1205
97281,0,0,-1,0,60000,4,2024,0,0,1710
97282,0,0,-1,1000,-1,0,8100,0,0,1711
97283,0,0,-1,1000,-1,0,8113,0,0,1712
97284,0,0,0,300000,0,0,14053,0,0,1713
97286,0,0,-1,-1,-1,0,483,0,0,1681
97289,0,0,0,60000,-1,0,1139,0,0,1854
97290,0,0,-1,-1,-1,0,483,0,0,1877
97292,0,0,-1,-1,-1,0,483,0,0,1882
97293,0,0,-1,-1,-1,0,483,0,0,1534
97294,0,2,0,-1,-1,0,16409,0,0,3822
97295,0,0,-1,-1,-1,0,483,0,0,3612
97296,0,0,-1,0,60000,4,2379,0,0,2459
97297,0,0,-1,-1,-1,0,2006,0,0,3438
97298,0,0,-10,30000,-1,0,89,0,0,3441
97299,0,0,-1,0,0,0,483,0,0,4179
97301,0,0,-1,0,1000,11,5004,0,0,2680
97302,0,0,-1,0,1000,11,433,0,0,2681
97303,0,0,-1,0,1000,11,2639,0,0,2682
97304,0,0,-1,0,1000,11,5005,0,0,2683
97306,0,0,-1,-1,-1,0,3366,0,0,3499
97307,0,0,-1,0,1000,11,435,0,0,3770
97308,0,0,-1,0,1000,11,5005,0,0,2684
97309,0,0,-1,-1,-1,0,483,0,0,3118
97312,0,0,-1,0,-1,0,3112,0,0,3239
97314,0,0,-1,0,1000,11,1127,0,0,3771
97315,0,0,-1,0,1000,59,1133,0,0,3772
97316,0,0,-1,-1,-1,0,483,0,0,3146
97317,0,0,-1,-1,60000,24,700,0,0,3434
97318,0,0,0,-1,-1,0,8913,0,0,2808
97319,0,0,-1,-1,-1,0,3366,0,0,3467
97320,0,0,-1,-1,-1,0,483,0,0,3139
97322,0,0,-1,-1,-1,0,483,0,0,3096
97324,0,0,-1,0,0,0,2828,0,0,2862
97325,0,0,-1,0,0,0,2829,0,0,2863
97327,0,0,-1,0,1000,11,5006,0,0,3665
97328,0,0,-1,-1,-1,0,483,0,0,3097
97329,0,0,-1,-1,-1,0,483,0,0,3098
97330,0,2,0,0,0,0,144268,0,0,2256
97331,0,0,-1,-1,-1,0,483,0,0,3094
97332,0,0,-1,-1,-1,0,483,0,0,3095
97333,0,0,-1,-1,-1,0,483,0,0,3092
97334,0,0,-1,-1,-1,0,483,0,0,3093
97335,0,0,-1,0,0,0,483,0,0,4183
97336,0,0,-1,0,0,0,483,0,0,4185
97337,0,2,0,-1,-1,0,18199,0,0,2299
97338,0,0,-1,-1,-1,0,483,0,0,2406
97339,0,0,-1,-1,-1,0,483,0,0,2407
97340,0,0,-1,-1,-1,0,483,0,0,2408
97341,0,0,-1,-1,-1,0,483,0,0,2409
97342,0,2,0,-1,-1,0,9796,0,0,3687
97343,1,2,0,-1,-1,0,13441,0,0,3687
97344,2,2,0,-1,-1,0,13438,0,0,3687
97346,0,0,-1,0,3000,79,3164,0,0,3391
97348,0,0,-1,0,3000,79,3166,0,0,3383
