ID,ItemID,ItemAppearanceModifierID,ItemAppearanceID,OrderIndex,TransmogSourceTypeEnum,Flags
48336,92553,0,19967,0,0,0
77255,134017,0,9987,0,5,0
77343,134112,0,24531,0,5,0
77344,134110,0,29124,0,5,0
77345,134111,0,2352,0,5,0
78416,135510,0,29463,0,0,0
78420,135522,0,29461,0,0,0
78425,135548,0,29464,0,0,0
78426,135549,0,29462,0,0,0
78427,135550,0,29460,0,0,0
83202,142503,0,33155,0,5,0
83203,142504,0,33156,0,5,0
84223,143539,0,33252,0,5,0
94331,158329,0,37207,0,5,0
104602,168659,0,94139,0,5,0
104603,168664,0,40283,0,5,0
104604,168665,0,40284,0,5,0
105400,170206,0,34375,0,3,0
116764,185976,0,48327,0,6,0
116768,185977,0,48329,0,6,0
116769,185998,0,48322,0,6,0
116770,185999,0,48321,0,6,0
116771,186001,0,48324,0,6,0
116772,186002,0,48325,0,6,0
116784,186015,0,48328,0,6,0
116785,186016,0,48326,0,6,0
116786,186018,0,55082,0,6,0
116787,186019,0,55085,0,6,0
116788,186020,0,55083,0,6,0
116789,186021,0,55086,0,6,0
116790,186022,0,55089,0,6,0
116791,186023,0,55087,0,6,0
116792,186024,0,55090,0,6,0
116793,186025,0,55081,0,6,0
116794,186026,0,55095,0,6,0
116795,186027,0,55096,0,6,0
116796,186028,0,55097,0,6,0
116797,186029,0,55098,0,6,0
116798,186030,0,55099,0,6,0
116799,186031,0,55100,0,6,0
116800,186032,0,55101,0,6,0
116801,186033,0,55102,0,6,0
116802,186034,0,47086,0,6,0
116803,186035,0,47668,0,6,0
116804,186036,0,47083,0,6,0
116805,186037,0,47036,0,6,0
116806,186038,0,55091,0,6,0
116807,186039,0,47085,0,6,0
116808,186040,0,47667,0,6,0
116809,186041,0,47084,0,6,0
116811,186044,0,55103,0,6,0
116812,186045,0,47267,0,6,0
116813,186046,0,55088,0,6,0
116814,186047,0,48086,0,6,0
116815,186075,0,47267,0,6,0
116816,186076,0,55101,0,6,0
116818,186078,0,55095,0,6,0
116819,186079,0,55099,0,6,0
116820,186080,0,55096,0,6,0
116821,186081,0,47086,0,6,0
116822,186082,0,55091,0,6,0
116823,186083,0,47668,0,6,0
116824,186084,0,47667,0,6,0
116825,186085,0,48321,0,6,0
116826,186086,0,48327,0,6,0
116827,186087,0,48328,0,6,0
116828,186088,0,48329,0,6,0
116881,17,0,45701,0,9,0
116882,25,0,45702,0,5,0
116883,35,0,45703,0,5,0
116884,36,0,45704,0,5,0
116885,37,0,45705,0,3,0
116886,38,0,45706,0,5,0
116887,39,0,45707,0,3,0
116888,40,0,45708,0,3,0
116889,43,0,45709,0,3,0
116890,44,0,45710,0,3,0
116891,45,0,45711,0,5,0
116892,47,0,45712,0,3,0
116893,48,0,45713,0,3,0
116894,49,0,45714,0,5,0
116895,51,0,45715,0,3,0
116896,52,0,45716,0,3,0
116897,53,0,45717,0,5,0
116898,55,0,45718,0,3,0
116901,59,0,45721,0,3,0
116902,60,0,45722,0,5,0
116903,61,0,45723,0,5,0
116904,79,0,45724,0,5,0
116905,80,0,45725,0,5,0
116906,85,0,45726,0,3,0
116909,120,0,45728,0,3,0
116910,121,0,45729,0,3,0
116911,127,0,45730,0,5,0
116912,129,0,45731,0,3,0
116913,139,0,45732,0,3,0
116914,140,0,45733,0,3,0
116915,143,0,45734,0,9,0
116916,147,0,45735,0,3,0
116917,148,0,45736,0,5,0
116918,153,0,45737,0,3,0
116919,154,0,45738,0,5,0
116922,192,0,45739,0,9,0
116923,193,0,45740,0,3,0
116924,194,0,45741,0,3,0
116925,195,0,45742,0,3,0
116926,200,0,45743,0,3,0
116927,201,0,45744,0,3,0
116928,202,0,45745,0,3,0
116929,203,0,45746,0,3,0
116930,209,0,45747,0,3,0
116931,210,0,45748,0,3,0
116932,236,0,45749,0,3,0
116933,237,0,45750,0,3,0
116934,238,0,45751,0,3,0
116935,239,0,45752,0,3,0
116936,285,0,45753,0,3,0
116937,286,0,45754,0,3,0
116938,287,0,45755,0,3,0
116944,647,0,45756,0,4,0
116945,710,0,45757,0,5,0
116946,711,0,45758,0,3,0
116947,714,0,45759,0,3,0
116948,718,0,45760,0,3,0
116949,719,0,45761,0,5,0
116950,720,0,45762,0,4,0
116954,727,0,45763,0,4,0
116970,746,0,45764,0,9,0
116974,753,0,45765,0,4,0
116975,754,0,45766,0,4,0
116977,756,0,45767,0,4,0
116979,763,0,45768,0,4,0
116981,766,0,45769,0,4,0
116982,767,0,45770,0,4,0
116983,768,0,45771,0,4,0
116990,776,0,45772,0,4,0
116992,778,0,45773,0,9,0
116995,781,0,45774,0,4,0
117000,788,0,45775,0,9,0
117001,789,0,45776,0,4,0
117002,790,0,45777,0,4,0
117003,791,0,45778,0,4,0
117004,792,0,45779,0,3,0
117005,793,0,45780,0,3,0
117006,794,0,45781,0,3,0
117007,795,0,45782,0,3,0
117008,796,0,45783,0,3,0
117009,797,0,45784,0,3,0
117010,798,0,45785,0,3,0
117011,799,0,45786,0,3,0
117014,809,0,45787,0,4,0
117015,810,0,45788,0,4,0
117016,811,0,45789,0,4,0
117017,812,0,45790,0,4,0
117020,816,0,45791,0,4,0
117022,820,0,45792,0,4,0
117024,826,0,45794,0,4,0
117025,827,0,45795,0,4,0
117028,832,0,45796,0,4,0
117031,837,0,45797,0,3,0
117032,838,0,45798,0,3,0
