Display_lang,ID,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags_0,Flags_1,Flags_2,Flags_3,Flags_4,AllowableRace_0,AllowableRace_1
"Worn Shortsword",25,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Bent Staff",35,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Worn Mace",36,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Worn Axe",37,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Recruit's Shirt",38,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Recruit's Pants",39,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Recruit's Boots",40,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Squire's Boots",43,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Squire's Pants",44,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Squire's Shirt",45,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Footpad's Shoes",47,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Footpad's Pants",48,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Footpad's Shirt",49,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Neophyte's Boots",51,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Neophyte's Pants",52,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Neophyte's Shirt",53,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Apprentice's Boots",55,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Apprentice's Robe",56,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Acolyte's Robe",57,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Acolyte's Shoes",59,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Layered Tunic",60,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Dwarven Leather Pants",61,1,-2,0,0,-1,0,0,0,0,3,0,8192,0,0,0,-1,-1
"Dwarven Cloth Britches",79,1,-2,0,0,-1,0,0,0,0,3,0,8192,0,0,0,-1,-1
"Soft Fur-Lined Shoes",80,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Dirty Leather Vest",85,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Thug Pants",120,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Thug Boots",121,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Trapper's Shirt",127,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Rugged Trapper's Boots",129,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Brawler's Pants",139,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Brawler's Boots",140,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Monster - Shield, Stormwind Guard",143,0,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Rugged Trapper's Pants",147,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Rugged Trapper's Shirt",148,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Primitive Kilt",153,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Primitive Mantle",154,1,-2,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
"Tattered Cloth Vest",193,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Tattered Cloth Pants",194,1,-2,0,0,-1,0,0,0,0,5,0,8193,0,0,0,-1,-1
"Tattered Cloth Boots",195,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Thick Cloth Vest",200,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Thick Cloth Pants",201,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Thick Cloth Shoes",202,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Thick Cloth Gloves",203,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Dirty Leather Pants",209,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Dirty Leather Boots",210,1,-2,0,0,-1,0,0,0,0,5,0,8192,0,0,0,-1,-1
"Cured Leather Armor",236,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Cured Leather Pants",237,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Cured Leather Boots",238,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
"Cured Leather Gloves",239,1,-2,0,0,-1,0,0,0,0,22,0,8192,0,0,0,-1,-1
