ID,Name_lang
1,"Darkmoon Faire"
5,"Fireworks Celebration"
6,"Stranglethorn Fishing Extravaganza"
7,Brewfest
9,"Love is in the Air"
11,"Midsummer Fire Festival"
12,"Fireworks Spectacular"
13,"Children's Week"
14,"Feast of Winter Veil"
15,Noblegarden
16,"Hallow's End"
17,"Harvest Festival"
18,"Lunar Festival"
21,"Pirates' Day"
22,"Call to Arms: Alterac Valley"
23,"Call to Arms: Arathi Basin"
24,"Call to Arms: Eye of the Storm"
25,"Call to Arms: Warsong Gulch"
41,"Call to Arms: Strand of the Ancients"
61,"Wrath of the Lich King Launch"
81,"Day of the Dead"
101,"Pilgrim's Bounty"
121,"Call to Arms: Isle of Conquest"
141,"Mohawk Promotion"
161,"Kalu'ak Fishing Derby"
162,"Call to Arms: The Battle for Gilneas"
163,"Call to Arms: Twin Peaks"
164,"Rated BG: 10v10"
165,"Rated BG: 15v15"
166,"Rated BG: 25v25"
203,"WoW's 7th Anniversary"
220,"WoW's 8th Anniversary"
222,"Call to Arms: Silvershard Mines"
223,"Call to Arms: Temple of Kotmogu"
229,"WoW's 9th Anniversary"
230,"Call to Arms: Deepwind Gorge"
231,"WoW's 10th Anniversary"
19,Brewfest
