ID,Name_lang
1,"Feria de la Luna Negra"
5,"Celebración de Fuegos artificiales"
6,"Gran espectáculo de pesca de Tuercespina"
7,"Fiesta de la Cerveza"
9,"Amor en el aire"
11,"Festival de Fuego del Solsticio de Verano"
12,"Espectáculo de fuegos artificiales"
13,"Semana de los Niños"
14,"El festín del Festival de Invierno"
15,"Jardín Noble"
16,Halloween
17,"Festival de la Cosecha"
18,"Festival Lunar"
21,"Día de los Piratas"
22,"Llamamiento a las armas: Valle de Alterac"
23,"Llamamiento a las armas: Cuenca de Arathi"
24,"Llamamiento a las armas: Ojo de la Tormenta"
25,"Llamamiento a las armas: Garganta Grito de Guerra"
41,"Llamamiento a las armas: Playa de los Ancestros"
61,"Lanzamiento de Wrath of the Lich King"
81,"Festividad de los Muertos"
101,"Generosidad del Peregrino"
121,"Llamamiento a las armas: Isla de la Conquista"
141,"Promoción mohicano"
161,"Competición de pesca Kalu'ak"
162,"Llamamiento a las armas: La Batalla Por Gilneas"
163,"Llamamiento a las armas: Cumbres Gemelas"
164,"C.B. puntuados: 10c10"
165,"C.B. puntuados: 15c15"
166,"C.B. puntuados: 25c25"
203,"7º aniversario de WoW"
220,"8º aniversario de WoW"
222,"Llamamiento a las armas: Minas Lonjaplata"
223,"Llamamiento a las armas: Templo de Kotmogu"
229,"9º aniversario de WoW"
230,"Llamamiento a las armas: Cañón del Céfiro"
231,"10º aniversario de WoW"
19,"Fiesta de la Cerveza"
