ID,Name_lang
1,"Foire de Sombrelune"
5,"Fêtes des artifices"
6,"Concours de pêche de Strangleronce"
7,"Fête des Brasseurs"
9,"De l'amour dans l'air"
11,"Fête du Feu du solstice d'été"
12,"Féerie des artifices"
13,"Semaine des enfants"
14,"Voile d'hiver"
15,"Le Jardin des nobles"
16,Sanssaint
17,"Fête des moissons"
18,"Fête lunaire"
21,"Jour des pirates"
22,"Appel aux armes : vallée d'Alterac"
23,"Appel aux armes : bassin Arathi"
24,"Appel aux armes : Œil du cyclone"
25,"Appel aux armes : goulet des Chanteguerres"
41,"Appel aux armes : rivage des Anciens"
61,"Lancement de Wrath of the Lich King"
81,"Jour des morts"
101,"Les Bienfaits du pèlerin"
121,"Appel aux armes : île des Conquérants"
141,"Promotion Punk"
161,"Tournoi de pêche kalu'ak"
162,"Appel aux armes : la bataille de Gilnéas"
163,"Appel aux armes : Pics-Jumeaux"
164,"CdB coté : 10c10"
165,"CdB coté : 15c15"
166,"CdB coté : 25c25"
203,"7e anniversaire de WoW"
220,"8e anniversaire de WoW"
222,"Appel aux armes : mines d’Éclargent"
223,"Appel aux armes : temple de Kotmogu"
229,"9e anniversaire de WoW"
230,"Appel aux armes : gorge de Vent-Caverneux"
231,"10e anniversaire de WoW"
19,"Fête des Brasseurs"
