ID,Name_lang
1,"다크문 축제"
5,"새해맞이 축제"
6,"가시덤불 골짜기 낚시왕 선발대회"
7,"가을 축제"
9,"온누리에 사랑을"
11,"한여름 불꽃축제"
12,"화려한 불꽃놀이"
13,"어린이 주간"
14,"겨울맞이 축제"
15,"귀족의 정원"
16,"할로윈 축제"
17,추수절
18,"달의 축제"
21,"해적의 날"
22,"전장으로: 알터랙 계곡"
23,"전장으로: 아라시 분지"
24,"전장으로: 폭풍의 눈"
25,"전장으로: 전쟁노래 협곡"
41,"전장으로: 고대의 해안"
61,"리치 왕의 분노 시작"
81,"망자의 날"
101,"순례자의 감사절"
121,"전장으로: 정복의 섬"
141,"모호크 이벤트"
161,"칼루아크 낚시 대회"
162,"전장으로: 길니아스 전투"
163,"전장으로: 쌍둥이 봉우리"
164,"평점제 전장: 10v10"
165,"평점제 전장: 15v15"
166,"평점제 전장: 15v25"
203,"월드 오브 워크래프트 7주년"
220,"월드 오브 워크래프트 8주년"
222,"전장으로: 은빛수정 광산"
223,"전장으로: 코트모구의 사원"
229,"월드 오브 워크래프트 9주년"
230,"전장으로: 깊은바람 협곡"
231,"월드 오브 워크래프트 10주년"
19,"가을 축제"
