ID,Name_lang
1,"Feira de Negraluna"
5,"Celebração com Fogos de Artifício"
6,"Festerê de Pesca da Selva do Espinhaço"
7,CervaFest
9,"O Amor Está No Ar"
11,"Festival do Fogo do Solstício"
12,"Espetáculo de Fogos de Artifício"
13,"Semana das Crianças"
14,"Festa do Véu de Inverno"
15,Jardinova
16,Noturnália
17,"Festival da Colheita"
18,"Festival da Lua"
21,"Dia dos Piratas"
22,"Chamado às Armas: Vale Alterac"
23,"Chamado às Armas: Bacia Arathi"
24,"Chamado às Armas: Olho da Tormenta"
25,"Chamado às Armas: Ravina Brado Guerreiro"
41,"Chamado às Armas: Baía dos Ancestrais"
61,"Lançamento do Wrath of the Lich King"
81,"Dia dos Mortos"
101,"Festa da Fartura"
121,"Chamado às Armas: Ilha da Conquista"
141,"Promoção do Moicano"
161,"Campeonato de Pesca dos Kalu'ak"
162,"Chamado às Armas: A Batalha por Guilnéas"
163,"Chamado às Armas: Montes Gêmeos"
164,"CB Ranqueado: 10x10"
165,"CB Ranqueado: 15x15"
166,"CB Ranqueado: 25x25"
203,"7º Aniversário do WoW!"
220,"8º Aniversário de WoW!"
222,"Chamado às armas: Mina Estilhaços Prateados"
223,"Chamado às armas: Templo de Katmogu"
229,"9º Aniversário de WoW"
230,"Chamado às Armas: Desfiladeiro do Vendaval"
231,"10º Aniversário de WoW"
19,CervaFest
