Name_lang,ID,ClassMask,TrackingQuestID,Flags,TransmogSetGroupID,ItemNameDescriptionID,ParentTransmogSetID,CompleteWorldStateID,ExpansionID,PatchIntroduced,UiOrder,ConditionID
"Dreadful Gladiator's Chain Armor",187,4,0,272,9,13304,286,1,4,50003,4580,0
"Dreadful Gladiator's Dragonhide Armor",188,1024,0,272,9,13304,281,1,4,50003,4580,0
"Dreadful Gladiator's Dreadplate Armor",189,32,0,272,9,13304,285,1,4,50003,4580,0
"Dreadful Gladiator's Felweave Armor",190,256,0,272,9,13304,283,1,4,50003,4580,0
"Dreadful Gladiator's Ironskin Armor",191,512,0,272,9,13304,1059,1,4,50003,4580,0
"Dreadful Gladiator's Leather Armor",192,8,0,272,9,13304,280,1,4,50003,4580,0
"Dreadful Gladiator's Plate",193,1,0,272,9,13304,278,1,4,50003,4580,0
"Dreadful Gladiator's Ringmail Armor",194,64,0,272,9,13304,284,1,4,50003,4580,0
"Dreadful Gladiator's Satin Armor",195,16,0,272,9,13304,282,1,4,50003,4580,0
"Dreadful Gladiator's Scaled Armor",196,2,0,272,9,13304,277,1,4,50003,4580,0
"Dreadful Gladiator's Silk Armor",197,128,0,272,9,13304,276,1,4,50003,4580,0
"Grievous Gladiator's Chain Armor",198,4,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Chain Armor",199,4,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Dragonhide Armor",200,1024,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Dreadplate Armor",201,32,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Felweave Armor",202,256,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Ironskin Armor",203,512,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Leather Armor",204,8,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Plate Armor",205,1,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Ringmail Armor",206,64,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Satin Armor",207,16,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Scaled Armor",208,2,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Silk Armor",209,128,0,280,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Dragonhide Armor",210,1024,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Dreadplate Armor",211,32,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Felweave Armor",212,256,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Ironskin Armor",213,512,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Leather Armor",214,8,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Plate Armor",215,1,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Ringmail Armor",216,64,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Satin Armor",217,16,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Scaled Armor",218,2,0,276,15,13301,0,1,4,50200,5220,141787
"Grievous Gladiator's Silk Armor",219,128,0,276,15,13301,0,1,4,50200,5220,141787
"Prideful Gladiator's Chain Armor",232,4,0,276,14,13301,0,1,4,50400,5500,141788
"Prideful Gladiator's Dragonhide Armor",233,1024,0,276,14,13301,0,1,4,50400,5500,141788
"Prideful Gladiator's Dreadplate Armor",234,32,0,276,14,13301,0,1,4,50400,5500,141788
"Prideful Gladiator's Felweave Armor",235,256,0,276,14,13301,0,1,4,50400,5500,141788
