ID,TransmogSetID,ItemModifiedAppearanceID,Flags
1764,187,270232,3
1765,187,270233,1
1766,187,270234,1
1767,187,270235,1
1768,187,270236,1
1769,187,270227,1
1770,187,270229,1
1771,187,270231,1
1772,188,270218,1
1773,188,270220,1
1774,188,270205,1
1775,188,270206,1
1776,188,270207,1
1777,188,270208,3
1778,188,270209,1
1779,188,270219,1
1780,189,270200,3
1781,189,270201,1
1782,189,270202,1
1783,189,270203,1
1784,189,270204,1
1785,189,270262,1
1786,189,270258,1
1787,189,270260,1
1788,190,270312,1
1789,190,270309,1
1790,190,270308,1
1791,190,270311,3
1792,190,270310,1
1793,190,270189,1
1794,190,270194,1
1795,190,270192,1
1796,191,270279,1
1797,191,270277,1
1798,191,270352,1
1800,191,270354,1
1801,191,270356,1
1802,191,270355,1
1803,191,270274,1
1804,192,270278,1
1805,192,270276,1
1806,192,270281,1
1807,192,270282,1
1808,192,270283,1
1809,192,270284,1
1810,192,270280,3
1811,192,270275,1
1812,193,270263,1
1813,193,270259,1
1814,193,270313,3
1815,193,270314,1
1816,193,270315,1
1817,193,270316,1
1818,193,270317,1
1819,193,270261,1
1820,194,270290,3
1821,194,270291,1
1822,194,270292,1
1823,194,270293,1
1824,194,270294,1
1825,194,270288,1
1826,194,270286,1
1827,194,270300,1
1828,195,270269,1
1829,195,270270,1
1830,195,270271,3
1831,195,270273,1
1832,195,270272,1
1833,195,270190,1
1834,195,270196,1
1835,195,270193,1
1836,196,270251,1
1837,196,270247,1
1838,196,270249,1
1839,196,270242,3
1840,196,270243,1
1841,196,270244,1
1842,196,270245,1
1843,196,270246,1
1844,197,270188,1
1845,197,270195,1
1846,197,270241,1
1847,197,270238,1
1848,197,270237,1
1849,197,270240,3
1850,197,270239,1
1851,197,270191,1
1852,198,282262,2
1853,198,282306,0
1854,198,282263,0
1855,198,282249,0
1856,198,282304,0
1857,198,282226,0
1858,198,282227,0
1859,198,282319,0
1860,199,282569,2
1861,199,282570,0
1862,199,282571,0
1863,199,282572,0
1864,199,282573,0
1865,199,282564,0
1866,199,282566,0
1867,199,282568,0
1868,200,282267,0
1869,200,282293,0
1870,200,282307,0
1871,200,282233,0
1872,200,282234,0
1873,200,282308,2
1874,200,282309,0
1875,200,282217,0
1876,201,282253,2
1877,201,282230,0
1878,201,282283,0
1879,201,282231,0
1880,201,282232,0
1881,201,282334,0
1882,201,282224,0
1883,201,282313,0
1884,202,282256,0
1885,202,282296,0
1886,202,282295,0
1887,202,282240,2
1888,202,282321,0
1889,202,282241,0
1890,202,282260,0
1891,202,282207,0
1892,203,282281,0
1893,203,282286,0
1894,203,282252,0
1895,203,282282,0
1896,203,282236,0
1897,203,282212,0
1898,203,282290,2
1899,203,282228,0
1900,204,282320,0
1901,204,282239,0
1902,204,282242,0
1903,204,282280,0
1904,204,282300,0
1905,204,282301,0
1906,204,282297,2
1907,204,282278,0
1908,205,282298,2
1909,205,282205,0
1910,205,282206,0
1911,205,282302,0
1912,205,282258,0
1913,205,282273,0
1914,205,282294,1
1915,205,282271,0
1916,206,282244,0
1917,206,282243,0
1918,206,282287,2
1919,206,282336,0
1920,206,282288,0
1921,206,282289,0
1922,206,282235,0
1923,206,282254,0
1924,207,282277,0
1925,207,282317,0
1926,207,282208,2
1927,207,282250,0
1928,207,282209,0
1929,207,282279,0
1930,207,282245,0
1931,207,282318,0
1932,208,282268,0
1933,208,282328,0
1934,208,282222,0
1935,208,282314,2
1936,208,282216,0
1937,208,282341,0
1938,208,282342,0
1939,208,282312,0
1940,209,282251,0
1941,209,282246,0
1942,209,282305,0
1943,209,282285,2
1944,209,282229,0
1945,209,282257,0
1946,209,282303,0
1947,209,282259,0
1948,210,282551,0
1949,210,282553,0
1950,210,282537,0
1951,210,282538,0
1952,210,282539,0
1953,210,282540,2
1954,210,282541,0
1955,210,282552,0
1956,211,282532,2
1957,211,282533,0
1958,211,282534,0
1959,211,282535,0
1960,211,282536,0
1961,211,282613,0
1962,211,282608,0
1963,211,282611,0
1964,212,282669,0
1965,212,282666,0
1966,212,282665,0
1967,212,282668,2
1968,212,282667,0
1969,212,282514,0
1970,212,282519,0
1971,212,282517,0
1972,213,282581,0
1973,213,282580,0
1974,213,282582,0
1975,213,282583,0
1976,213,282584,0
1977,213,282585,0
1978,213,282586,2
1979,213,282579,0
1980,214,282627,0
1981,214,282626,0
1982,214,282629,0
1983,214,282630,0
1984,214,282631,0
1985,214,282632,0
1986,214,282628,2
1987,214,282625,0
1988,215,282670,2
1989,215,282671,0
1991,215,282673,0
1993,215,282612,0
1994,215,282609,0
1995,215,282610,0
1996,216,282636,0
1997,216,282634,0
1998,216,282638,2
1999,216,282639,0
2000,216,282640,0
2001,216,282641,0
2002,216,282642,0
2003,216,282648,0
2005,217,282521,0
2006,217,282620,0
2007,217,282621,0
2008,217,282622,2
2009,217,282624,0
2010,217,282623,0
2011,217,282518,0
2012,218,282601,0
2013,218,282597,0
2014,218,282599,0
2015,218,282592,2
2016,218,282593,0
2017,218,282594,0
2018,218,282595,0
2019,218,282596,0
2020,219,282513,0
2021,219,282520,0
2022,219,282578,0
2023,219,282575,0
2024,219,282574,0
2025,219,282577,2
2026,219,282576,0
2027,219,282516,0
2088,232,282091,3
2089,232,282135,1
2090,232,282092,1
2091,232,282078,1
2092,232,282133,1
2093,232,282033,1
2094,232,282056,1
2095,232,282090,1
2096,233,282166,1
2097,233,282093,1
2098,233,282136,1
2099,233,282062,1
2100,233,282063,1
2101,233,282137,3
2102,233,282138,1
2103,233,282153,1
2104,234,282082,3
2105,234,282059,1
2106,234,282112,1
2107,234,282060,1
2108,234,282061,1
2109,234,282163,1
2110,234,282053,1
2111,234,282142,1
2112,235,282070,1
2113,235,282089,1
2114,235,282085,1
2115,235,282125,1
2116,235,282124,1
2117,235,282069,3
2118,235,282150,1
2119,235,282036,1
2120,236,282110,1
2121,236,282115,1
2122,236,282081,1
2123,236,282111,1
2124,236,282065,1
