Name_lang,ID,ArtifactAppearanceSetID,DisplayIndex,UnlockPlayerConditionID,ItemAppearanceModifierID,UiSwatchColor,UiModelSaturation,UiModelOpacity,OverrideShapeshiftFormID,OverrideShapeshiftDisplayID,UiItemAppearanceID,UiAltItemAppearanceID,Flags,UiCameraID,UsablePlayerConditionID
"Purple Crystal",1,1,1,0,10,0,0.5,0.5,1,66784,0,0,0,0,0
"Blue Crystal",2,1,2,0,12,0,0.5,0.5,0,0,0,0,0,0,0
"Red Crystal",3,1,3,0,11,0,0.5,0.5,1,66785,0,0,0,0,0
"Yellow Spikes",5,2,1,12549,18,0,0.5,0.5,0,0,0,0,0,0,0
"Green Spikes",6,2,3,0,19,0,0.5,0.5,0,0,0,0,0,0,0
"Fiery Spikes",7,2,2,0,20,0,0.5,0.5,0,0,0,0,0,0,0
Ashbringer,8,3,2,37718,9,13946667,0.5,0.5,0,0,0,0,0,62,0
Ashbringer,9,3,1,88084,10,12207429,0.5,0.5,0,0,0,0,1,62,0
Ashbringer,10,3,3,37719,11,2777830,0.5,0.5,0,0,0,0,0,62,0
Ashbringer,11,3,4,37720,12,7194424,0.5,0.5,0,0,0,0,0,62,0
Ashbringer,12,4,2,37722,13,13753664,0.5,0.5,0,0,0,0,0,65,0
Ashbringer,13,4,1,37721,14,14170168,0.5,0.5,0,0,0,0,0,65,0
Ashbringer,14,4,3,37723,15,4341749,0.5,0.5,0,0,0,0,0,65,0
Ashbringer,15,4,4,37724,16,2400311,0.5,0.5,0,0,0,0,0,65,0
Ashbringer,16,5,1,37725,17,15636775,0.5,0.5,0,0,0,0,0,63,0
Ashbringer,17,6,1,37726,18,9769406,0.80000001192,0.69999998808,0,0,0,0,0,66,0
Ashbringer,18,6,2,37728,19,5384685,0.5,0.60000002384,0,0,0,0,0,66,0
Ashbringer,19,6,3,37729,20,46171,0.69999998808,0.5,0,0,0,0,0,66,0
Ashbringer,20,6,4,37730,21,2918886,0.69999998808,0.5,0,0,0,0,0,66,0
Ashbringer,21,7,3,52635,22,15526961,0.5,0.5,0,0,0,0,16,64,0
Ashbringer,22,7,2,52557,23,16250871,0.5,0.5,0,0,0,0,16,64,0
Ashbringer,23,7,1,44699,24,4385004,0.5,0.5,0,0,0,0,8,64,0
Ashbringer,24,7,4,52668,25,5054922,0.5,0.5,0,0,0,0,16,64,0
"Twinblades of the Deceiver",25,8,2,37718,9,3666175,0.5,0.5,0,0,0,0,0,72,0
"Twinblades of the Deceiver",26,8,1,88117,10,6870528,0.5,0.5,0,0,0,0,1,72,0
"Twinblades of the Deceiver",27,8,3,37719,11,9845974,0.5,0.5,0,0,0,0,0,72,0
"Twinblades of the Deceiver",28,8,4,37720,12,15477542,0.5,0.5,0,0,0,0,0,72,0
"Twinblades of the Deceiver",29,9,2,37722,13,4433378,0.5,0.5,0,0,0,0,0,76,0
"Twinblades of the Deceiver",30,9,1,37721,14,9627184,0.5,0.5,0,0,0,0,0,76,0
"Twinblades of the Deceiver",31,9,3,37723,15,9980106,0.5,0.5,0,0,0,0,0,76,0
"Twinblades of the Deceiver",32,9,4,37724,16,14958913,0.5,0.5,0,0,0,0,0,76,0
"Twinblades of the Deceiver",33,10,4,37733,17,8200995,0.5,0.5,0,0,0,0,0,75,0
"Twinblades of the Deceiver",34,10,2,37731,18,9231422,0.5,0.5,0,0,0,0,0,75,0
"Twinblades of the Deceiver",35,10,3,37732,19,10767320,0.5,0.5,0,0,0,0,0,75,0
"Twinblades of the Deceiver",36,10,1,37725,20,16064287,0.5,0.5,0,0,0,0,0,75,0
"Twinblades of the Deceiver",37,11,3,52618,21,13127224,0.5,0.5,0,0,0,0,16,77,0
"Twinblades of the Deceiver",38,11,2,52485,22,11200571,0.5,0.5,0,0,0,0,16,77,0
"Twinblades of the Deceiver",39,11,1,44679,23,15311409,0.5,0.5,0,0,0,0,8,77,0
"Twinblades of the Deceiver",40,11,4,52651,24,12598501,0.5,0.5,0,0,0,0,16,77,0
"Twinblades of the Deceiver",41,12,3,37729,25,4626395,0.5,0.5,0,0,0,0,0,73,0
"Twinblades of the Deceiver",42,12,2,37728,26,3657332,0.5,0.5,0,0,0,0,0,73,0
"Twinblades of the Deceiver",43,12,1,37726,27,7223739,0.5,0.5,0,0,0,0,0,73,0
"Twinblades of the Deceiver",44,12,4,37730,28,15857465,0.5,0.5,0,0,0,0,0,73,0
"G'Hanir, the Mother Tree",45,13,1,88086,9,-12527023,0.5,0.5,0,0,0,0,1,61,0
"G'Hanir, the Mother Tree",46,13,2,37718,10,14759167,0.5,0.5,0,0,0,0,0,61,0
"G'Hanir, the Mother Tree",47,13,3,37719,11,-14496857,0.5,0.5,0,0,0,0,0,61,0
"G'Hanir, the Mother Tree",48,13,4,37720,12,-131226,0.5,0.5,0,0,0,0,0,61,0
"G'Hanir, the Mother Tree",49,14,1,37721,13,-12858266,0.5,0.5,0,0,0,0,0,68,0
"G'Hanir, the Mother Tree",50,14,2,37722,14,-8716125,0.5,0.5,0,0,0,0,0,68,0
"G'Hanir, the Mother Tree",51,14,3,37723,15,-9044232,0.5,0.5,0,0,0,0,0,68,0
"G'Hanir, the Mother Tree",52,14,4,37724,16,-1443782,0.5,0.5,0,0,0,0,0,68,0
"G'Hanir, the Mother Tree",53,15,2,37731,17,-5955107,0.5,0.5,0,0,0,0,0,60,0
"G'Hanir, the Mother Tree",54,15,1,37725,18,-2621457,0.5,0.5,0,0,0,0,0,60,0
"G'Hanir, the Mother Tree",55,15,3,37732,19,42719,0.5,0.5,0,0,0,0,0,60,0
"G'Hanir, the Mother Tree",56,15,4,37733,20,2621373,0.5,0.5,0,0,0,0,0,60,0
"G'Hanir, the Mother Tree",57,16,2,37728,21,1834826,0.5,0.5,0,0,0,0,0,69,0
"G'Hanir, the Mother Tree",58,16,1,37726,22,7995557,0.5,0.5,0,0,0,0,0,69,0
"G'Hanir, the Mother Tree",59,16,3,37729,23,12910592,0.5,0.5,0,0,0,0,0,69,0
"G'Hanir, the Mother Tree",60,16,4,37730,24,-12486401,0.5,0.5,0,0,0,0,0,69,0
"G'Hanir, the Mother Tree",61,17,2,39784,25,3800902,0.5,0.5,0,0,0,0,0,70,0
"G'Hanir, the Mother Tree",62,17,1,42275,26,-10008885,0.5,0.5,0,0,0,0,0,70,0
"G'Hanir, the Mother Tree",63,17,3,39785,27,13369344,0.5,0.5,0,0,0,0,0,70,0
"G'Hanir, the Mother Tree",64,17,4,39786,28,-13534254,0.5,0.5,0,0,0,0,0,70,0
"Scale of the Earthwarder",66,20,1,88083,12,13256731,0.60000002384,0.44999998808,0,0,0,0,1,71,0
"Fangs of the Devourer",67,21,1,88102,9,8187704,0.5,0.5,0,0,0,0,1,0,0
"Fangs of the Devourer",68,21,2,37718,10,4099302,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",69,21,3,37719,11,7359174,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",70,21,4,37720,12,3857118,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",71,22,1,37725,13,8708667,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",72,22,2,37731,14,4647141,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",73,22,3,37732,15,8009433,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",74,22,4,37733,16,15199526,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",75,23,3,37723,17,7266609,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",76,23,2,37722,18,4287200,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",77,23,1,37721,19,7749083,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",78,23,4,37724,20,3989733,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",79,24,3,37729,21,2152008,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",80,24,2,37728,22,5577646,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",81,24,1,37726,23,15277084,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",82,24,4,37730,24,3117446,0.5,0.5,0,0,0,0,0,0,0
"Fangs of the Devourer",83,25,2,52461,25,4780008,0.5,0.5,0,0,0,0,16,0,0
"Fangs of the Devourer",84,25,1,44700,26,8037362,0.5,0.5,0,0,0,0,8,0,0
"Fangs of the Devourer",85,25,3,52592,27,8207315,0.5,0.5,0,0,0,0,16,0,0
"Fangs of the Devourer",86,25,4,52674,28,15332339,0.5,0.5,0,0,0,0,16,0,0
