ID,SpellID,GlyphType,GlyphExclusiveCategoryID,SpellIconFileDataID
161,54810,0,0,237636
162,54811,0,0,237635
163,54812,0,0,237651
164,114338,1,0,237646
165,114234,0,0,237652
166,116186,0,0,237633
167,54821,0,0,237650
168,114300,0,0,237645
169,54832,0,0,237644
170,54733,0,0,237649
171,116218,0,0,237634
172,17076,0,0,237647
173,54825,0,0,237641
174,114228,0,0,237642
175,146655,1,0,237639
176,114333,1,94,237643
177,54831,0,0,237640
178,116216,0,0,237638
179,116203,0,0,237648
180,127540,0,67,237632
181,54760,0,0,237637
183,54922,0,19,237650
184,146955,0,0,237644
185,54923,0,55,237633
186,54924,0,0,237637
187,54926,0,0,237639
188,54927,0,43,237632
189,54928,0,17,237641
190,89401,1,0,237640
191,54930,0,54,237647
192,54931,0,19,237651
193,54934,0,0,237643
194,54935,0,55,237648
195,54936,0,53,237649
196,54937,2,56,237652
197,54938,0,53,237635
198,54939,0,0,237636
199,54940,0,0,237646
200,54943,0,0,237645
211,55436,0,0,237639
212,55437,0,0,237640
213,55449,0,0,237636
214,55454,0,0,237638
215,55442,0,0,237646
216,55439,0,62,237652
217,55455,0,0,237642
218,55450,0,0,237635
219,55447,0,0,237647
220,55451,0,0,237637
221,55443,0,0,237643
222,55456,0,0,237649
223,55440,0,0,237651
224,55438,0,0,237633
225,55448,1,0,237648
226,0,0,0,237641
227,55441,0,29,237644
228,55446,0,32,237645
229,55444,1,70,237632
230,55452,0,0,237634
231,55445,0,0,237650
251,55675,0,0,237634
252,55677,0,0,237633
253,55684,0,24,237635
254,55678,0,0,237639
255,14771,2,0,237637
256,125045,0,0,237652
257,55686,2,0,237641
258,55673,0,59,237651
259,55691,0,60,237642
260,55688,0,0,237644
261,119853,0,0,237650
262,89489,0,58,237636
263,55672,0,58,237647
264,119873,0,23,237645
265,55676,0,0,237648
266,119872,0,0,237632
267,55690,0,0,237640
268,87195,0,44,237638
269,119864,0,0,237643
270,55692,0,0,237649
271,55685,0,57,237646
272,56248,1,0,237650
273,56235,0,0,237644
274,56218,0,0,237647
275,56241,1,0,237646
276,56232,1,0,237634
277,56244,0,0,237637
278,56246,1,83,237638
279,56249,0,0,237636
280,56238,1,0,237635
281,56224,0,0,237648
282,56217,1,0,237645
283,146963,0,0,237651
284,56242,0,0,237641
285,56226,0,0,237649
286,56240,1,0,237632
287,56229,2,0,237639
289,56231,0,0,237633
290,56250,1,0,237652
291,56233,0,0,237642
292,56247,1,0,237643
312,56363,1,0,237637
313,115718,0,0,237650
314,56365,0,50,237641
315,56380,0,0,237632
316,56368,0,0,237651
318,56376,0,0,237647
319,56370,2,0,237634
320,56384,1,0,237648
321,115723,0,14,237633
322,56377,0,0,237644
323,115705,0,0,237643
325,146659,0,50,237645
326,56383,0,0,237652
328,56382,1,0,237640
329,56375,0,0,237638
330,56364,0,0,237642
331,115713,0,0,237636
351,122492,1,0,237647
352,119449,0,45,237648
353,132106,0,46,237635
354,56833,0,47,237637
355,123632,0,0,237641
356,119410,0,0,237632
357,56850,0,48,237643
358,56844,0,46,237649
359,56845,0,11,237633
360,56847,0,12,237639
361,56829,0,0,237652
362,119403,0,0,237650
363,20895,0,0,237636
364,53299,0,11,237640
365,19560,0,49,237644
366,119464,1,0,237645
367,56849,0,0,237646
368,126095,0,0,237651
369,19573,0,47,237634
371,119407,0,11,237642
391,56808,0,0,237634
392,56813,0,0,237650
393,56800,1,0,237647
394,56818,0,0,237645
395,146628,0,0,237636
396,56806,0,61,237638
397,56799,0,25,237648
398,146625,0,61,237635
399,56803,0,0,237637
400,56804,0,0,237652
401,56812,0,0,237641
402,125044,1,0,237640
403,56809,0,0,237632
404,56807,1,0,237646
405,56819,0,0,237651
406,56801,0,0,237644
407,146631,0,0,237643
409,146629,0,0,237649
410,56810,0,0,237633
411,56811,0,0,237639
431,57856,1,0,237645
432,107059,1,0,237641
433,57855,1,0,237635
434,121840,0,0,237650
435,114295,1,0,237632
439,57866,1,69,237641
440,57870,1,0,237636
441,57903,1,0,237642
442,57902,1,0,237642
443,57904,1,0,237646
445,57924,1,42,237652
447,57927,1,42,237637
448,126748,1,0,237633
449,58136,1,42,237638
450,52648,1,42,237639
451,57925,1,0,237644
452,125043,1,0,237646
453,57958,1,0,237643
454,57979,1,0,237645
455,57955,0,0,237634
456,57947,1,0,237651
457,57954,1,19,237632
458,57985,1,0,237651
459,108939,0,0,237645
460,58009,1,0,237640
461,57986,1,0,237633
462,33202,0,58,237652
463,58228,1,0,237641
464,58032,1,0,237635
465,58027,1,0,237649
466,58017,1,0,237637
467,58033,1,0,237647
468,58039,1,0,237652
469,58038,1,0,237638
470,58058,1,0,237640
471,58135,1,0,237648
473,58059,1,0,237644
474,89646,0,0,237639
476,58057,1,0,237643
477,58079,1,0,237648
478,58070,0,0,237649
479,58081,1,0,237636
480,58080,0,0,237637
481,58107,1,0,237648
482,58094,1,0,237640
483,58095,1,74,237632
484,58096,1,0,237646
485,58097,0,63,237647
486,58099,1,0,237648
487,58098,0,0,237643
488,58104,1,0,237639
489,58368,0,0,237640
490,58369,1,0,237636
491,58355,0,0,237647
492,58366,0,35,237633
493,58388,0,0,237646
494,58367,0,0,237639
495,58372,0,64,237637
496,58357,0,64,237648
497,58377,0,63,237651
499,58386,0,36,237632
500,58385,0,0,237635
501,58364,0,0,237643
502,58375,0,0,237644
504,58387,0,0,237641
505,58384,0,0,237652
507,58356,0,0,237642
508,58382,0,65,237645
509,58370,0,66,237650
512,58623,0,4,237642
513,58616,0,0,237636
514,58640,1,40,237636
515,58673,0,0,237647
516,58620,0,5,237640
518,58677,1,0,237651
519,62259,0,0,237648
520,58629,0,0,237645
521,58647,0,0,237635
522,58680,1,0,237638
524,58631,0,0,237637
525,58671,0,0,237646
526,58657,0,0,237641
527,58686,0,0,237645
529,58642,1,0,237632
530,58618,0,0,237644
531,58635,0,0,237643
532,58676,0,0,237649
551,59219,0,0,237633
552,59289,0,28,237634
553,59309,1,0,237635
554,59307,1,0,237650
555,60200,1,0,237649
556,59327,0,0,237633
557,59332,0,0,237639
558,59336,1,0,237650
559,56420,0,0,237634
560,56414,0,54,237642
561,56416,0,0,237638
591,61205,0,0,237647
611,115700,0,0,237652
612,62132,1,0,237650
613,114301,1,0,237634
631,116172,0,9,237634
651,62210,0,0,237648
671,114223,0,0,237632
672,62970,0,0,237633
673,116238,0,0,237634
674,114222,0,0,237635
675,48514,0,0,237636
676,63057,0,6,237637
677,119447,0,0,237638
691,119384,0,0,237639
692,119462,1,0,237640
693,63068,0,0,237641
694,63069,0,0,237642
695,83495,0,48,237643
696,63090,0,0,237644
697,86209,0,0,237645
698,63092,1,0,237646
699,63093,1,0,237647
700,115710,0,0,237648
701,63218,0,0,237649
702,63219,0,0,237650
703,63220,0,0,237651
704,63222,0,0,237652
705,63223,0,0,237632
706,63224,0,56,237633
707,63225,0,0,237634
708,63229,0,20,237635
709,119850,0,22,237636
710,119866,0,0,237637
711,147778,0,57,237638
712,33371,0,0,237639
713,63248,0,0,237640
714,63249,0,0,237641
715,63252,1,0,237642
716,63253,0,0,237643
731,63254,0,0,237644
732,63256,1,0,237645
733,63268,1,0,237646
734,63269,0,0,237647
735,63270,0,0,237648
736,63271,0,27,237649
737,63273,0,0,237650
751,63279,1,0,237651
752,63280,0,31,237652
753,63291,0,0,237632
754,63298,0,0,237633
755,63302,0,0,237634
756,63303,0,0,237635
757,63304,0,0,237636
758,63309,0,0,237637
759,146964,0,34,237638
760,63320,0,33,237639
761,63312,1,0,237640
762,63324,0,66,237641
763,63325,0,37,237642
764,146965,0,65,237643
765,63327,1,0,237644
766,63328,0,0,237645
767,63329,0,0,237646
768,63330,0,0,237647
769,63331,0,0,237648
771,63333,0,0,237650
773,63335,1,0,237652
831,67598,0,0,237643
851,68164,1,0,237640
871,115703,0,0,237641
911,148683,0,34,237651
920,57927,1,0,237638
923,89749,1,0,0
