ID,ClassID,SubclassID,Material,InventoryType,SheatheType,Sound_override_subclassID,IconFileDataID,ItemGroupSoundsID,ContentTuningID,ModifiedCraftingReagentItemID,Field_12_0_0_63534_010,CraftingQualityID,ItemSquishEraID,RecraftReagentCountPercentage,OrderSource
17,4,4,6,4,3,-1,132759,11,0,0,0,0,0,0,0
25,2,7,1,21,3,-1,135274,8,0,0,0,0,0,0,0
35,2,10,2,17,2,-1,135145,13,0,0,0,0,0,0,0
36,2,4,2,21,3,-1,133478,8,0,0,0,0,0,0,0
37,2,0,1,13,3,-1,132402,8,0,0,0,0,0,0,0
38,4,0,7,4,0,-1,135009,7,0,0,0,0,0,0,0
39,4,4,6,7,0,-1,134582,8,0,0,0,0,0,0,0
40,4,4,6,8,0,-1,132540,8,0,0,0,0,0,0,0
41,4,0,7,6,0,-1,132494,7,0,0,0,0,0,0,0
43,4,4,6,8,0,-1,132535,8,0,0,0,0,0,0,0
45,4,0,7,4,0,-1,135005,7,0,0,0,0,0,0,0
46,4,0,7,6,0,-1,132495,7,0,0,0,0,0,0,0
47,4,2,7,8,0,-1,132539,7,0,0,0,0,0,0,0
48,4,2,7,7,0,-1,134582,7,0,0,0,0,0,0,0
50,4,0,7,6,0,-1,132493,7,0,0,0,0,0,0,0
51,4,1,7,8,0,-1,132538,7,0,0,0,0,0,0,0
52,4,1,7,7,0,-1,134582,7,0,0,0,0,0,0,0
55,4,1,7,8,0,-1,132543,7,0,0,0,0,0,0,0
56,4,1,7,20,0,-1,132664,7,0,0,0,0,0,0,0
57,4,1,7,20,0,-1,132665,7,0,0,0,0,0,0,0
58,4,0,7,6,0,-1,132492,7,0,0,0,0,0,0,0
59,4,1,7,8,0,-1,132535,7,0,0,0,0,0,0,0
60,4,2,8,5,0,-1,132724,7,0,0,0,0,0,0,0
61,4,2,8,7,0,-1,443401,7,0,0,0,0,0,0,0
77,4,1,7,5,0,-1,135006,7,0,0,0,0,0,0,0
