ID,LegacySlotIndex,TriggerType,Charges,CoolDownMSec,CategoryCoolDownMSec,SpellCategoryID,SpellID,ChrSpecializationID,PlayerConditionID
2,0,0,100,-1,-1,0,7,0,0
3,0,0,-1,0,1000,11,433,0,0
4,0,0,-1,300000,300000,30,439,0,0
5,0,0,-1,0,1000,59,1291950,0,0
6,0,0,0,-1,-1,0,7,0,0
7,0,0,-1,0,1000,11,434,0,0
8,0,0,-1,0,1000,11,435,0,0
9,0,2,0,-1,-1,0,17152,0,0
10,0,0,-1,0,1000,11,5005,0,0
14,0,0,-1,300000,300000,4,3591,0,0
15,0,0,0,1800000,0,0,12257,0,0
16,0,2,0,-1,-1,0,13519,0,0
18,0,2,0,-1,-1,0,17504,0,0
19,0,2,0,-1,-1,0,13439,0,0
20,0,2,0,-1,-1,0,18104,0,0
23,0,0,-1,0,60000,24,8312,0,0
24,0,0,-1,300000,300000,30,440,0,0
25,2,1,0,-1,-1,0,18074,0,0
26,0,2,0,-1,-1,0,13752,0,0
27,0,1,0,-1,-1,0,265000,0,0
28,0,1,0,-1,-1,0,182395,0,0
29,0,0,-1,-1,-1,0,458,0,0
30,0,2,0,-1,-1,0,8552,0,0
31,0,2,0,-1,-1,0,18077,0,0
32,0,0,-1,300000,300000,30,441,0,0
33,0,2,0,-1,-1,0,13524,0,0
34,0,1,0,-1,-1,0,265003,0,0
35,0,0,0,900000,0,0,18820,0,0
36,1,1,0,-1,-1,0,18799,0,0
37,0,0,-1,1000,-1,0,8118,0,0
38,0,0,-1,1000,-1,0,8096,0,0
40,0,0,0,-1,-1,0,133,0,0
41,0,0,-1,0,1000,11,5006,0,0
45,0,0,-1,0,60000,24,145727,0,0
46,0,1,0,-1,-1,0,7617,0,0
47,0,0,-1,-1,3000,330,55884,0,0
48,1,6,0,-1,-1,0,580,0,0
53,0,0,-1,0,0,11,7291,0,0
56,0,0,-1,1000,0,0,54497,0,0
57,0,0,-1,0,60000,24,1940,0,0
59,0,0,-1,1000,-1,0,8099,0,0
60,0,0,-1,1000,-1,0,8112,0,0
61,0,0,-1,-1,-1,0,8176,0,0
62,0,0,-10,0,60000,24,5917,0,0
63,0,1,0,-1,-1,0,18097,0,0
65,0,0,-1,0,1000,150,746,0,0
66,0,0,0,30000,30000,24,133,0,0
