ID,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags_0,Flags_1,Flags_2,Flags_3,Flags_4,AllowableRaces_0,AllowableRaces_1
25,"Worn Shortsword",1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
35,"Bent Staff",1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
36,"Worn Mace",1,0,0,0,-1,1,0,0,0,1,0,8192,8388608,0,0,-1,-1
37,"Worn Axe",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
38,"Recruit's Shirt",2,0,0,0,-1,0,0,0,0,1,36864,8192,8388608,0,0,-1,-1
39,"Recruit's Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
40,"Recruit's Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
43,"Squire's Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
44,"Squire's Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
45,"Squire's Shirt",2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
47,"Footpad's Shoes",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
48,"Footpad's Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
49,"Footpad's Shirt",2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
51,"Neophyte's Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
52,"Neophyte's Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
53,"Neophyte's Shirt",2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
55,"Apprentice's Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
56,"Apprentice's Robe",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
57,"Acolyte's Robe",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
59,"Acolyte's Shoes",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
60,"Layered Tunic",1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
61,"Dwarven Leather Pants",1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
79,"Dwarven Cloth Britches",1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
80,"Soft Fur-Lined Shoes",1,0,0,0,-1,0,0,0,0,2,0,8192,8388608,0,0,-1,-1
85,"Dirty Leather Vest",1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
120,"Thug Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
121,"Thug Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
127,"Trapper's Shirt",2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
129,"Rugged Trapper's Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
139,"Brawler's Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
140,"Brawler's Boots",1,0,0,0,-1,0,0,0,0,1,0,8192,0,0,0,-1,-1
147,"Rugged Trapper's Pants",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
148,"Rugged Trapper's Shirt",2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
153,"Primitive Kilt",1,0,0,0,-1,1,0,0,0,1,0,8192,0,0,0,-1,-1
154,"Primitive Mantle",2,0,0,0,-1,0,0,0,0,1,32768,8192,8388608,0,0,-1,-1
193,"Tattered Cloth Vest",1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
194,"Tattered Cloth Pants",1,0,0,0,-1,1,0,0,0,2,0,8192,0,0,0,-1,-1
