ID,ItemEffectID,ItemID
40,2,17
41,3,117
42,4,118
43,5,159
44,6,192
45,7,414
46,8,422
47,9,647
48,10,724
49,109042,728
50,109043,728
51,13,733
52,14,737
53,15,744
54,16,754
55,17,787
56,18,809
57,19,810
58,20,811
59,36681,833
60,36682,833
61,23,835
62,24,858
63,25,867
64,26,869
65,27,870
66,28,871
67,29,875
68,30,880
69,31,899
70,32,929
71,33,934
72,34,937
73,35,940
74,36,942
75,37,954
76,38,955
77,39,961
78,40,996
79,41,1017
80,42,1082
81,43,1113
82,44,1114
83,45,1127
84,46,1131
85,47,1132
86,48,1132
87,19309,1133
88,19310,1133
89,19313,1134
90,19314,1134
91,53,1165
92,19936,1168
93,19937,1168
94,56,1177
95,57,1178
96,58,1179
97,59,1180
98,60,1181
99,61,1187
100,62,1191
101,63,1204
102,64,1205
103,65,1251
104,66,1258
105,67,1262
106,68,1263
107,69,1265
108,70,1315
109,71,1318
110,72,1322
111,73,1326
112,74,1352
113,75,1387
114,76,1399
115,77,1401
116,78,1404
117,79,1434
118,80,1447
119,81,1450
120,82,1465
121,83,1477
122,84,1478
123,85,1481
124,86,1482
125,87,1487
126,88,1490
127,89,1645
128,90,1707
129,91,1708
130,92,1710
131,93,1711
132,94,1712
133,95,1713
134,96,1726
135,97,1727
136,98,1728
137,99,1933
138,100,1970
139,101,1973
140,102,1979
141,103,1982
142,105,2000
143,106,2070
144,107,2091
145,108,2099
146,109,2136
147,110,2163
148,111,2164
149,112,2205
150,113,2243
151,114,2256
152,115,2263
153,116,2287
154,117,2288
155,118,2289
156,119,2290
157,120,2291
158,121,2299
159,122,2304
160,123,2313
161,108027,2406
162,108028,2406
163,108043,2407
164,108044,2407
165,108045,2408
166,108046,2408
167,108059,2409
168,108060,2409
169,132,2411
170,133,2411
171,134,2414
172,135,2414
173,136,2454
174,137,2455
175,138,2456
176,139,2457
177,140,2458
178,141,2459
179,112820,2460
180,105681,2553
181,105682,2553
182,105685,2555
183,105686,2555
184,105591,2556
185,105592,2556
186,148,2581
187,149,2593
188,150,2594
189,151,2595
190,152,2596
191,108717,2598
192,108718,2598
193,108667,2601
194,108668,2601
195,157,2679
196,158,2680
197,159,2681
198,160,2682
199,161,2683
200,162,2684
201,163,2685
202,164,2686
203,165,2687
204,109040,2697
205,109041,2697
206,109038,2698
207,109039,2698
208,109030,2699
209,109031,2699
210,109026,2700
211,109027,2700
212,109003,2701
213,26139,2701
214,176,2723
215,177,2802
216,178,2820
217,179,2824
218,180,2825
219,181,2862
220,182,2863
221,183,2871
222,105375,2881
223,105376,2881
224,105285,2882
225,105286,2882
226,105251,2883
227,105252,2883
228,190,2888
229,108995,2889
230,108996,2889
231,193,2894
232,194,2901
233,195,2912
234,196,2915
235,20178,2934
236,197,2942
237,198,3012
238,199,3013
239,200,3080
240,201,3087
241,202,3194
242,203,3220
243,204,3239
244,205,3240
245,206,3241
246,207,3251
247,209,3336
248,210,3382
249,211,3383
250,212,3385
251,213,3386
252,214,3387
253,215,3388
254,216,3389
255,217,3390
256,218,3391
257,105603,3394
258,105604,3394
259,105565,3395
260,105566,3395
261,105665,3396
262,105666,3396
263,225,3434
264,226,3448
265,227,3456
266,228,3475
267,229,3530
268,230,3531
269,231,3566
270,105261,3608
271,105262,3608
272,105243,3609
273,105244,3609
274,105233,3610
275,105234,3610
276,105287,3611
277,105288,3611
278,105291,3612
279,105292,3612
280,242,3662
281,243,3663
282,244,3664
283,245,3665
284,246,3666
285,109020,3678
286,109021,3678
287,108997,3679
288,108998,3679
289,109028,3680
290,109029,3680
291,109046,3681
292,109047,3681
293,109048,3682
294,109049,3682
295,109001,3683
296,109002,3683
297,259,3703
298,260,3710
299,261,3726
300,262,3727
301,263,3728
