ID,Name_lang
1,Dunkelmond-Jahrmarkt
5,Feuerwerksfestival
6,"Anglerwettbewerb im Schlingendorntal"
7,Braufest
9,"Liebe liegt in der Luft"
11,Sonnenwendfest
12,Feuerwerksspektakel
13,Kinderwoche
14,Winterhauchfest
15,Nobelgartenfest
16,Schlotternächte
17,Erntedankfest
18,Mondfest
21,Piratentag
22,"Zu den Waffen: Alteractal"
23,"Zu den Waffen: Arathibecken"
24,"Zu den Waffen: Auge des Sturms"
25,"Zu den Waffen: Kriegshymnenschlucht"
41,"Zu den Waffen: Strand der Uralten"
61,"Start von Wrath of the Lich King"
81,"Tag der Toten"
101,Pilgerfreudenfest
121,"Zu den Waffen: Insel der Eroberung"
141,Nachtelfirokesen-Promotion
161,"Angelwettstreit der Kalu'ak"
162,"Zu den Waffen: Die Schlacht um Gilneas"
163,"Zu den Waffen: Zwillingsgipfel"
164,"Gewertetes SF: 10vs10"
165,"Gewertetes SF: 15vs15"
166,"Gewertetes SF: 25vs25"
203,"7. Geburtstag von WoW"
220,"8. Geburtstag von WoW"
222,"Zu den Waffen: Silberbruchmine"
223,"Zu den Waffen: Tempel von Katmogu"
229,"9. Geburtstag von WoW"
230,"Zu den Waffen: Tiefenwindschlucht"
231,"10. Geburtstag von WoW"
233,"11. Geburtstag von WoW"
234,"Bonusereignis: Haustierkämpfe"
235,"Bonusereignis: Draenordungeons"
236,"Bonusereignis: Schlachtfelder"
237,"Bonusereignis: Zeitwanderungsdungeons"
238,"Bonusereignis: Arenageplänkel"
240,"Bonusereignis: Apexis"
241,"12. Geburtstag von WoW"
242,"Geburtstag von WoW"
243,"Bonusereignis: Dungeons von Legion"
244,"Bonusereignis: Weltquests"
245,"Das große Hippogryphenschlüpfen"
246,"Tag der Wachen"
247,"20. Geburtstag von Diablo"
248,"Ruf des Skarabäus"
249,"Tanz der tausend Boote"
250,Un'Gorowahnsinn
251,Frühlingsballonfest
252,"Schanksause der Kirin Tor"
253,"Marsch der Kaulquappen"
254,Glühkappenfest
255,"PvP-Rauferei: Gravitationsverlust"
256,"PvP-Rauferei: Süderstade vs. Tarrens Mühle"
257,"PvP-Rauferei: Kriegshymnenkeilerei"
258,"Der große Stylecheck"
259,"Tanzparty im Auktionshaus"
260,"13. Geburtstag von WoW"
261,Mondkinfest
262,"PvP-Rauferei: Arathiblizzard"
263,"PvP-Rauferei: Tiefenwindschuss"
264,"PvP-Rauferei: Tempel von Hotmogu"
265,"PvP-Rauferei: Volles Haus"
266,"Das große Rennen von Gnomeregan"
267,"PvP-Rauferei: Sechs Richtige"
268,"PvP-Rauferei: Shado-Pan-Kraftprobe"
269,"Das Grabmal des Sargeras"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Antorus, der Brennende Thron"
274,"14. Geburtstag von WoW"
275,"15. Geburtstag von WoW"
277,"PvP-Rauferei: Rammelvolles Haus"
378,"Schlacht um Stromgarde"
379,"Krieg der Dornen"
380,"Die Schlacht um Lordaeron"
381,Uldir
382,"Bonusereignis: Dungeons von Battle for Azeroth"
385,"8.1 Wogen der Rache: Kriegskampagne Teil 1"
386,"8.1 Wogen der Rache: Kriegskampagne Teil 2"
387,"8.1 Wogen der Rache: Kriegskampagne Teil 3"
388,"8.1 Wogen der Rache: Kriegskampagne Teil 4"
389,"8.1 Wogen der Rache: Kriegskampagne Teil 5"
390,"Schlacht von Dazar'alor"
391,"PvP-Rauferei: Cuisino Royale"
392,Wanderfest
393,T-Shirt-Tag
394,"Lichte Leuchten"
395,"PvP-Rauferei: K.I.nderspiel"
396,"Tiegel der Stürme"
397,"Der Ewige Palast"
398,"PvP-Rauferei: Klassisches Ashran"
399,"Ny'alotha, die Erwachte Stadt"
400,"PvP-Rauferei: Wimmelnde Inseln"
402,"16. Geburtstag von WoW"
404,"Schloss Nathria"
405,"Torghast: Bestien des Prodigums"
406,"Torghast: Ungezügelte Dunkelheit"
407,"Torghast: Chor der toten Seelen"
408,"Bonusereignis: Dungeons von Shadowlands"
410,"17. Geburtstag von WoW"
411,"Sanktum der Herrschaft"
412,"18. Geburtstag von WoW"
413,"PvP-Rauferei: Gemischtes Einzel"
414,"Mausoleum der Ersten"
415,"Schicksalhafte Schlachtzüge: Schloss Nathria"
416,"Schicksalhafte Schlachtzüge: Mausoleum der Ersten"
417,"Schicksalhafte Schlachtzüge: Sanktum der Herrschaft"
418,"Bonusereignis: Dungeons von Dragonflight"
419,"Gewölbe der Inkarnationen"
420,Dragonflight
421,"Aberrus, Schmelztiegel der Schatten"
422,"Ein gieriger Abgesandter"
423,"Willkommen in Sanktuario"
424,Kalimdorpokal
425,"Geheimnisse von Azeroth"
426,"19. Geburtstag von WoW"
427,"Pokal der Östlichen Königreiche"
428,Scherbenweltpokal
429,"PvP-Rauferei: Blitzschlachtfeld"
430,"Turbulente Zeitwege"
431,Nordendpokal
432,Pandariapokal
433,"Pokal der Verheerten Inseln"
434,"Amirdrassil, Hoffnung des Traums"
