ID,Name_lang
1,"Feria de la Luna Negra"
5,"Celebración de Fuegos artificiales"
6,"Gran espectáculo de pesca de Tuercespina"
7,"Fiesta de la Cerveza"
9,"Amor en el aire"
11,"Festival del Fuego del Solsticio de Verano"
12,"Espectáculo de fuegos artificiales"
13,"Semana de los Niños"
14,"El festín del Festival de Invierno"
15,"Jardín Noble"
16,Halloween
17,"Festival de la Cosecha"
18,"Festival Lunar"
21,"Día de los Piratas"
22,"Llamamiento a las armas: Valle de Alterac"
23,"Llamamiento a las armas: Cuenca de Arathi"
24,"Llamamiento a las armas: Ojo de la Tormenta"
25,"Llamamiento a las armas: Garganta Grito de Guerra"
41,"Llamamiento a las armas: Playa de los Ancestros"
61,"Lanzamiento de Wrath of the Lich King"
81,"Festividad de los Muertos"
101,"Generosidad del Peregrino"
121,"Llamamiento a las armas: Isla de la Conquista"
141,"Promoción mohicano"
161,"Competición de pesca Kalu'ak"
162,"Llamamiento a las armas: La Batalla Por Gilneas"
163,"Llamamiento a las armas: Cumbres Gemelas"
164,"C.B. puntuados: 10c10"
165,"C.B. puntuados: 15c15"
166,"C.B. puntuados: 25c25"
203,"7.º aniversario de WoW"
220,"8.º aniversario de WoW"
222,"Llamamiento a las armas: Minas Lonjaplata"
223,"Llamamiento a las armas: Templo de Kotmogu"
229,"9.º aniversario de WoW"
230,"Llamamiento a las armas: Cañón del Céfiro"
231,"10.º aniversario de WoW"
233,"11.º aniversario de WoW"
234,"Evento de bonificación de duelo de mascotas"
235,"Evento de mazmorra de Draenor"
236,"Evento de bonificación de campo de batalla"
237,"Evento de mazmorra de Paseo en el tiempo"
238,"Evento de bonificación de escaramuza de arena"
240,"Evento de bonificación apexis"
241,"12.º aniversario de WoW"
242,"Aniversario de WoW"
243,"Evento de mazmorra de Legion"
244,"Evento de bonificación de misiones del mundo"
245,"Despertar del Hipogrifo"
246,"Día de la Guardia Voluntaria"
247,"20.º aniversario de Diablo"
248,"Llamada del Escarabajo"
249,"Azote de los Mil Barcos"
250,"Locura de Un'Goro"
251,"Festival de Primavera del Globo"
252,"Ruta de las Tabernas del Kirin Tor"
253,"Marcha de los Renacuajos"
254,"Festival del Fluochampiñón"
255,"Camorra JcJ: Gravedad cero"
256,"Camorra JcJ: Costasur contra Molino Tarren"
257,"Camorra JcJ: Tumulto Grito de Guerra"
258,"Prueba de Estilo"
259,"Baile de la Casa de Subastas"
260,"13.º aniversario de WoW"
261,"Festival Lechúcico"
262,"Camorra JcJ: Ventisca de Arathi"
263,"Camorra JcJ: Mate del Céfiro"
264,"Camorra JcJ: Templo de Hotmogu"
265,"Camorra JcJ: Casa abarrotada"
266,"La Gran Carrera de Gnomeregan"
267,"Camorra: El sexto elemento"
268,"Camorra JcJ: Enfrentamiento del Shadopan"
269,"Tumba de Sargeras"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Antorus, el Trono Ardiente"
274,"14.º aniversario de WoW"
275,"15.º aniversario de WoW"
277,"Camorra JcJ: Casa abastecida"
378,"Batalla por Stromgarde"
379,"Guerra de las Espinas"
380,"La batalla por Lordaeron"
381,Uldir
382,"Evento de mazmorra de Battle for Azeroth"
385,"8.1 - Mareas de Venganza: parte 1 de la campaña de guerra"
386,"8.1 - Mareas de Venganza: parte 2 de la campaña de guerra"
387,"8.1 - Mareas de Venganza: parte 3 de la campaña de guerra"
388,"8.1 - Mareas de Venganza: parte 4 de la campaña de guerra"
389,"8.1 - Mareas de Venganza: parte 5 de la campaña de guerra"
390,"Batalla de Dazar'alor"
391,"Camorra JcJ: Cocina imposible"
392,"Festival del Errante"
393,"Día de las Camisetas Gratis"
394,"Lumbreras luminosas"
395,"Camorra JcJ: Entorno hostil"
396,"Crisol de Tormentas"
397,"Palacio Eterno"
398,"Camorra JcJ: Ashran clásico"
399,"Ny'alotha, Ciudad del Despertar"
400,"Camorra JcJ: Islas repletas"
402,"16.º aniversario de WoW"
404,"Castillo de Nathria"
405,"Torghast: Bestias de Prodigum"
406,"Torghast: Oscuridad irrefrenable"
407,"Torghast: Coro de almas muertas"
408,"Evento de mazmorra de Shadowlands"
410,"17.º aniversario de WoW"
411,"Sagrario de Dominación"
412,"18.º aniversario de WoW"
413,"Camorra JcJ: Batiburrillo de solitarios"
414,"Sepulcro de los Primeros"
415,"Bandas predestinadas: Castillo de Nathria"
416,"Bandas predestinadas: Sepulcro de los Primeros"
417,"Bandas predestinadas: Sagrario de Dominación"
418,"Evento de mazmorra de Dragonflight"
419,"Cámara de las Encarnaciones"
420,Dragonflight
421,"Aberrus, el Crisol Ensombrecido"
422,"Un Emisario Codicioso"
423,"Bienvenidos a Santuario"
424,"Copa de Kalimdor"
425,"Secretos de Azeroth"
426,"19.º aniversario de WoW"
427,"Copa de los Reinos del Este"
428,"Copa de Terrallende"
429,"Camorra JcJ: Campo de batalla relámpago"
430,"Líneas temporales turbulentas"
431,"Copa de Rasganorte"
432,"Copa de Pandaria"
433,"Copa de las Islas Abruptas"
434,"Amirdrassil, la Esperanza del Sueño"
435,"10.º aniversario de Hearthstone"
437,"WoW Remix: Mists of Pandaria"
438,"20.º aniversario de WoW"
439,"21.º aniversario de WoW"
440,"Palacio Nerub'ar"
441,"Evento de mazmorra de The War Within"
442,"Evento de bonificación de profundidades"
444,Plunderstorm
445,"Liberación de Minahonda"
446,"Regreso a las visiones horripilantes"
447,"WoW Remix: Legion"
448,"Forja de Maná Omega"
450,"Vientos de fortuna misteriosa"
451,"Dúos despiadados"
452,"Recompensa de coleccionista"
453,"Profundidades sobrecargadas"
454,"La Aguja del Vacío"
455,"Marcha a Quel'Danas"
457,"La Falla Onírica"
458,"Carrera Lanza Negra"
459,"Evento de mazmorra de Midnight"
460,"22.º aniversario de WoW"
461,Micosis
463,"Abismo Venenoso"
464,"La Gruta Mareal"
19,"Fiesta de la Cerveza"
239,"Evento de mazmorra de Paseo en el tiempo"
449,"WoW Remix: Mists of Pandaria"
