ID,Name_lang
1,"Feria de la Luna Negra"
5,"Celebración de Fuegos artificiales"
6,"Gran espectáculo de pesca de Tuercespina"
7,"Fiesta de la Cerveza"
9,"Amor en el aire"
11,"Festival de Fuego del Solsticio de Verano"
12,"Espectáculo de fuegos artificiales"
13,"Semana de los Niños"
14,"El festín del Festival de Invierno"
15,"Jardín Noble"
16,Halloween
17,"Festival de la Cosecha"
18,"Festival Lunar"
21,"Día de los Piratas"
22,"Llamamiento a las armas: Valle de Alterac"
23,"Llamamiento a las armas: Cuenca de Arathi"
24,"Llamamiento a las armas: Ojo de la Tormenta"
25,"Llamamiento a las armas: Garganta Grito de Guerra"
41,"Llamamiento a las armas: Playa de los Ancestros"
61,"Lanzamiento de Wrath of the Lich King"
81,"Festividad de los Muertos"
101,"Generosidad del Peregrino"
121,"Llamamiento a las armas: Isla de la Conquista"
141,"Promoción mohicano"
161,"Competición de pesca Kalu'ak"
162,"Llamamiento a las armas: La Batalla Por Gilneas"
163,"Llamamiento a las armas: Cumbres Gemelas"
164,"C.B. puntuados: 10c10"
165,"C.B. puntuados: 15c15"
166,"C.B. puntuados: 25c25"
203,"7º aniversario de WoW"
220,"8º aniversario de WoW"
222,"Llamamiento a las armas: Minas Lonjaplata"
223,"Llamamiento a las armas: Templo de Kotmogu"
229,"9º aniversario de WoW"
230,"Llamamiento a las armas: Cañón del Céfiro"
231,"10º aniversario de WoW"
233,"11º aniversario de WoW"
234,"Evento de duelo de mascotas con bonificación"
235,"Evento de calabozo de Draenor"
236,"Evento de campos de batalla con bonificación"
237,"Evento de calabozo de cronoviaje"
238,"Evento: Bono de refriegas de arena"
240,"Evento de ápices con bonificación"
241,"12º aniversario de WoW"
242,"Aniversario de WoW"
243,"Evento de calabozo de Legion"
244,"Evento de bonificación de misión de mundo"
245,"El nacimiento de los hipogrifos"
246,"Día del guardia voluntario"
247,"20.º aniversario de Diablo"
248,"La llamada del Escarabajo"
249,"Fiesta de los mil barcos"
250,"Locura en Un'Goro"
251,"Festival de globos de primavera"
252,"Tour de tabernas del Kirin Tor"
253,"Marcha de los renacuajos"
254,"Festival de fluochampiñón"
255,"Gresca JcJ: Gravedad cero"
256,"Gresca JcJ: Costasur vs. Molino Tarren"
257,"Gresca JcJ: Revuelta Grito de Guerra"
258,"Desafío de estilos"
259,"Fiesta de baile: Casa de subastas"
260,"13.º aniversario de WoW"
261,"Festival del lechúcico lunar"
262,"Gresca JcJ: Ventisca de Arathi"
263,"Gresca JcJ: Volcada del Céfiro"
264,"Gresca JcJ: Templo de Hotmogu"
265,"Gresca JcJ: Casa llena"
266,"La gran carrera de Gnomeregan"
267,"Gresca JcJ: Los seis magníficos"
268,"Gresca JcJ: Enfrentamiento Shadopan"
269,"Tumba de Sargeras"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Antorus, el Trono Ardiente"
274,"14. º aniversario de WoW"
275,"15. º aniversario de WoW"
277,"Gresca JcJ: Casa abastecida"
378,"Batalla por Stromgarde"
379,"Guerra de las espinas"
380,"La Batalla por Lordaeron"
381,Uldir
382,"Evento de calabozos de Battle for Azeroth"
385,"8.1 - Mareas de venganza: Campaña de guerra - Parte 1"
386,"8.1 - Mareas de venganza: Campaña de guerra - Parte 2"
387,"8.1 - Mareas de venganza: Campaña de guerra - Parte 3"
388,"8.1 - Mareas de venganza: Campaña de guerra - Parte 4"
389,"8.1 - Mareas de venganza: Campaña de guerra - Parte 5"
390,"Batalla de Dazar'alor"
391,"Gresca JcJ: Cocción Imposible"
392,"Festival del errante"
393,"Día de camisetas gratis"
394,"Luminarias luminosas"
395,"Gresca JcJ: Equipo arrollador"
396,"Crisol de Tormentas"
397,"El Palacio Eterno"
398,"Gresca JcJ: Ashran clásico"
399,"Ny'alotha, la Ciudad Despierta"
400,"Gresca JcJ: Islas concurridas"
402,"16.º aniversario de WoW"
404,"Castillo Nathria"
405,"Torghast: Bestias del prodigio"
406,"Torghast: Oscuridad desenfrenada"
407,"Torghast: Coro de almas muertas"
408,"Evento de calabozo de Shadowlands"
410,"17.º aniversario de WoW"
411,"Sagrario de Dominación"
412,"18.º aniversario de WoW"
413,"Gresca JcJ: Aleatorio en solitario"
414,"Sepulcro de los Primeros"
415,"Bandas predestinadas: Castillo Nathria"
416,"Bandas predestinadas: Sepulcro de los Primeros"
417,"Bandas predestinadas: Sagrario de Dominación"
418,"Evento de calabozos de Dragonflight"
419,"Bóveda de las Encarnaciones"
420,Dragonflight
421,"Aberrus, el Crisol Penumbroso"
422,"Un emisario avaro"
423,"Te damos la bienvenida al Santuario."
424,"Copa de Kalimdor"
425,"Los Secretos de Azeroth"
426,"19.º aniversario de WoW"
427,"Copa de los Reinos del Este"
428,"Copa de Terrallende"
429,"Gresca JcJ: Campo de batalla frenético"
430,"Portales del tiempo turbulentos"
431,"Copa de Rasganorte"
432,"Copa de Pandaria"
433,"Copa de las Islas Quebradas"
434,"Amirdrassil, la Esperanza del Sueño"
435,"Décimo aniversario de Hearthstone"
437,"WoW Remix: Mists of Pandaria"
438,"20.º aniversario de WoW"
439,"21.º aniversario de WoW"
440,"Palacio Nerub-ar"
441,"Evento de calabozos de The War Within"
442,"Evento de bonificación de abismos"
444,Plunderstorm
445,"Liberación de Minahonda"
446,"Visiones horribles revividas"
447,"WoW Remix: Legion"
448,"Forja de Maná Omega"
450,"Vientos de fortuna misteriosa"
451,"Dúos indómitos"
452,"Tesoros de coleccionista"
453,"Abismos sobrecargados"
454,"La Aguja del Vacío"
455,"Marcha sobre Quel'Danas"
457,"La Onirifalla"
458,"Carrera Lanza Negra"
459,"Evento de calabozos de Midnight"
460,"22.º aniversario de WoW"
461,Esporalia
463,"El Abismo Venenoso"
464,"La Gruta Mareal"
19,"Fiesta de la Cerveza"
239,"Evento de calabozo de cronoviaje"
449,"WoW Remix: Mists of Pandaria"
