ID,Name_lang
1,"Foire de Sombrelune"
5,"Fêtes des artifices"
6,"Concours de pêche de Strangleronce"
7,"Fête des Brasseurs"
9,"De l'amour dans l'air"
11,"Fête du Feu du solstice d'été"
12,"Féerie des artifices"
13,"Semaine des enfants"
14,"Voile d'hiver"
15,"Le Jardin des nobles"
16,Sanssaint
17,"Fête des moissons"
18,"Fête lunaire"
21,"Jour des pirates"
22,"Appel aux armes : vallée d'Alterac"
23,"Appel aux armes : bassin Arathi"
24,"Appel aux armes : Œil du cyclone"
25,"Appel aux armes : goulet des Chanteguerres"
41,"Appel aux armes : rivage des Anciens"
61,"Lancement de Wrath of the Lich King"
81,"Jour des morts"
101,"Les Bienfaits du pèlerin"
121,"Appel aux armes : île des Conquérants"
141,"Promotion Punk"
161,"Tournoi de pêche kalu'ak"
162,"Appel aux armes : la bataille de Gilnéas"
163,"Appel aux armes : Pics-Jumeaux"
164,"CdB coté : 10c10"
165,"CdB coté : 15c15"
166,"CdB coté : 25c25"
203,"7e anniversaire de WoW"
220,"8e anniversaire de WoW"
222,"Appel aux armes : mines d’Éclargent"
223,"Appel aux armes : temple de Kotmogu"
229,"9e anniversaire de WoW"
230,"Appel aux armes : gorge de Vent-Caverneux"
231,"10e anniversaire de WoW"
233,"11e anniversaire de WoW"
234,"Évènement bonus Combats de mascottes"
235,"Évènement Donjon de Draenor"
236,"Évènement bonus Champs de bataille"
237,"Évènement Donjon des Marcheurs du temps"
238,"Évènement bonus Escarmouches en arène"
240,"Évènement bonus Apogides"
241,"12e anniversaire de WoW"
242,"Anniversaire de WoW"
243,"Évènement Donjon de Legion"
244,"Évènement bonus Expéditions"
245,"Naissance des hippogriffes"
246,"Journée des gardes volontaires"
247,"20e anniversaire de Diablo"
248,"Appel du Scarabée"
249,"Embarquement pour les Mille pointes"
250,Paléon’Goro
251,"Printemps des montgolfières"
252,"Tournée des tavernes du Kirin Tor"
253,"Marche des têtards"
254,"Fête des chapeluisants"
255,"Choc JcJ : Rupture de gravité"
256,"Choc JcJ : Moulin-de-Tarren contre Austrivage"
257,"Choc JcJ : Cohue Chanteguerre"
258,"Épreuve du style"
259,"Fête dansante de l’hôtel des ventes"
260,"13e anniversaire de WoW"
261,"Fête des Séléniens"
262,"Choc JcJ : Blizzard arathi"
263,"Choc JcJ : Smash de Vent-Caverneux"
264,"Choc JcJ : Temple de Supermogu"
265,"Choc JcJ : Salle comble"
266,"Le Grand Prix de Gnomeregan"
267,"Choc JcJ : Comme les 6 doigts de la main"
268,"Choc JcJ : Confrontation pandashan"
269,"Tombe de Sargeras"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Antorus, le Trône ardent"
274,"14e anniversaire de WoW"
275,"15e anniversaire de WoW"
277,"Choc JcJ : Arène bondée"
378,"Bataille de Stromgarde"
379,"Guerre des épines"
380,"La bataille de Lordaeron"
381,Uldir
382,"Évènement Donjon de Battle for Azeroth"
385,"Campagne militaire de la 8.1, 1re partie"
386,"Campagne militaire de la 8.1, 2e partie"
387,"Campagne militaire de la 8.1, 3e partie"
388,"Campagne militaire de la 8.1, 4e partie"
389,"Campagne militaire de la 8.1, 5e partie"
390,"Bataille de Dazar’alor"
391,"Choc JcJ : Cuisson : impossible"
392,"Festival de l’explorateur"
393,"Chemises à gogo"
394,"Mer des lumières"
395,"Choc JcJ : contre l’IA"
396,"Creuset des Tempêtes"
397,"Palais Éternel"
398,"Choc JcJ : A’shran classique"
399,"Ny’alotha, la cité en éveil"
400,"Choc JcJ : Îles infestées"
402,"16e anniversaire de WoW"
404,"Château Nathria"
405,"Tourment : bêtes prodigieuses"
406,"Tourment : ténèbres déchaînées"
407,"Tourment : chœur d’âmes mortes"
408,"Évènement Donjon de Shadowlands"
410,"17e anniversaire de World of Warcraft"
411,"Sanctum de Domination"
412,"18e anniversaire de WoW"
413,"Choc JcJ : Brassage solo"
414,"Sépulcre des Fondateurs"
415,"Raids fatidiques : château Nathria"
416,"Raids fatidiques : sépulcre des Fondateurs"
417,"Raids fatidiques : sanctum de Domination"
418,"Évènement Donjon de Dragonflight"
419,"Caveau des Incarnations"
420,Dragonflight
421,"Aberrus, le creuset de l’Ombre"
422,"Émissaire cupide"
423,"Bienvenue à Sanctuaire"
424,"Coupe de Kalimdor"
425,"Secrets d’Azeroth"
426,"19e anniversaire de WoW"
427,"Coupe des royaumes de l’Est"
428,"Coupe de l’Outreterre"
429,"Choc JcJ : Champ de bataille Blitz"
430,"Voies temporelles turbulentes"
431,"Coupe de Norfendre"
432,"Coupe de Pandarie"
433,"Coupe des îles Brisées"
434,"Amirdrassil, l’Espoir du Rêve"
435,"10e anniversaire de Hearthstone"
437,"WoW Remix: Mists of Pandaria"
438,"20e anniversaire de WoW"
439,"21e anniversaire de WoW"
440,"Palais des Nérub’ar"
441,"Évènement Donjon de The War Within"
442,"Évènement bonus Gouffres"
444,Plunderstorm
445,"Libération de Terremine"
446,"Visions horrifiques redécouvertes"
447,"WoW Remix: Legion"
448,"Manaforge Oméga"
449,"WoW Remix: Mists of Pandaria"
450,"Vents de bonne aventure mystérieuse"
451,"Duos infâmes"
452,"Prime de collection"
453,"Gouffres surchargés"
454,"Flèche du Vide"
455,"Marche sur Quel’Danas"
457,"La faille du Rêve"
458,"Marathon des Sombrelances"
459,"Évènement Donjon de Midnight"
460,"22e anniversaire de WoW"
461,Chute-des-Spores
463,"Abîme Venimeux"
464,"La grotte des Marées"
19,"Fête des Brasseurs"
239,"Évènement Donjon des Marcheurs du temps"
