ID,Name_lang
1,"Fiera di Lunacupa"
5,"Celebrazione Pirotecnica"
6,"Gara di Pesca a Rovotorto"
7,"Festa della Birra"
9,"Amore nell'Aria"
11,"Fuochi di Mezza Estate"
12,"Spettacolo Pirotecnico"
13,"Settimana dei Bambini"
14,"Vigilia di Grande Inverno"
15,"Festa di Nobiluova"
16,"Veglia delle Ombre"
17,"Sagra del Raccolto"
18,"Celebrazione della Luna"
21,"Giorno dei Pirati"
22,"Chiamata alle armi: Valle d'Alterac"
23,"Chiamata alle armi: Bacino d'Arathi"
24,"Chiamata alle armi: Occhio del Ciclone"
25,"Chiamata alle armi: Forra dei Cantaguerra"
41,"Chiamata alle armi: Lido degli Antichi"
61,"Lancio di Wrath of the Lich King"
81,"Giorno dei Morti"
101,"Ringraziamento del Pellegrino"
121,"Chiamata alle armi: Isola della Conquista"
141,"Promozione Mohawk"
161,"Gara di Pesca dei Kalu'ak"
162,"Chiamata alle armi: Battaglia per Gilneas"
163,"Chiamata alle armi: Picchi Gemelli"
164,"CB Classificati: 10v10"
165,"CB Classificati: 15v15"
166,"CB Classificati: 25v25"
203,"7° anniversario di WoW"
220,"8° anniversario di WoW"
222,"Chiamata alle armi: Miniere di Cupargento"
223,"Chiamata alle armi: Tempio di Kotmogu"
229,"9° anniversario di WoW"
230,"Chiamata alle armi: Scavi di Ventotetro"
231,"10° anniversario di WoW"
233,"11° anniversario di WoW"
234,"Evento bonus: scontri tra mascotte"
235,"Evento bonus: spedizioni di Draenor"
236,"Evento bonus: campi di battaglia"
237,"Evento bonus: Viaggi nel Tempo"
238,"Evento bonus: schermaglie in arena"
240,"Evento bonus: Cristalli Apexis"
241,"12° anniversario di WoW"
242,"Anniversario di WoW"
243,"Evento bonus: spedizioni di Legion"
244,"Evento bonus: missioni mondiali"
245,"Schiusa degli Ippogrifi"
246,"Giornata della Guardia"
247,"20° anniversario di Diablo"
248,"Richiamo dello Scarabeo"
249,"Mille Barche"
250,"Follia a Un'Goro"
251,"Festival delle Mongolfiere"
252,"Giro delle Locande del Kirin Tor"
253,"Marcia dei Girini"
254,"Festival dei Cappaluce"
255,"Rissa PvP: Anomalia Gravitazionale"
256,"Rissa PvP: Riva del Sud contro Mulino di Tarren"
257,"Rissa PvP: Zuffa dei Cantaguerra"
258,"Prova dello Stile"
259,"Festa Danzante alla Casa d'Aste"
260,"13° anniversario di WoW"
261,"Festival dei Lunagufo"
262,"Rissa PvP: Tormenta ad Arathi"
263,"Rissa PvP: Schiacciate a Ventotetro"
264,"Rissa PvP: Scempio di Kotmogu"
265,"Rissa PvP: Tutto Esaurito"
266,"Grande Gara di Gnomeregan"
267,"Rissa PvP: Sei di Sei"
268,"Rissa PvP: Resa dei Conti degli Shandaren"
269,"Tomba di Sargeras"
270,"7.3 - Ombre di Argus - Settimana 2"
271,"7.3 - Ombre di Argus - Settimana 3"
272,"7.3 - Ombre di Argus: Settimana 1"
273,"Antorus, il Trono Infuocato"
274,"14° anniversario di WoW"
