ID,Name_lang
1,"다크문 축제"
5,"새해맞이 축제"
6,"가시덤불 골짜기 낚시왕 선발대회"
7,"가을 축제"
9,"온누리에 사랑을"
11,"한여름 불꽃축제"
12,"화려한 불꽃놀이"
13,"어린이 주간"
14,"겨울맞이 축제"
15,"귀족의 정원"
16,"할로윈 축제"
17,추수절
18,"달의 축제"
21,"해적의 날"
22,"전장으로: 알터랙 계곡"
23,"전장으로: 아라시 분지"
24,"전장으로: 폭풍의 눈"
25,"전장으로: 전쟁노래 협곡"
41,"전장으로: 고대의 해안"
61,"리치 왕의 분노 시작"
81,"망자의 날"
101,"순례자의 감사절"
121,"전장으로: 정복의 섬"
141,"모호크 이벤트"
161,"칼루아크 낚시 대회"
162,"전장으로: 길니아스 전투"
163,"전장으로: 쌍둥이 봉우리"
164,"평점제 전장: 10v10"
165,"평점제 전장: 15v15"
166,"평점제 전장: 15v25"
203,"월드 오브 워크래프트 7주년"
220,"월드 오브 워크래프트 8주년"
222,"전장으로: 은빛수정 광산"
223,"전장으로: 코트모구의 사원"
229,"월드 오브 워크래프트 9주년"
230,"전장으로: 깊은바람 협곡"
231,"월드 오브 워크래프트 10주년"
233,"월드 오브 워크래프트 11주년 기념"
234,"애완동물 대전 보너스 이벤트"
235,"드레노어 던전 이벤트"
236,"전장 보너스 이벤트"
237,"시간여행 던전 이벤트"
238,"투기장 연습 전투 보너스 이벤트"
240,"에펙시스 보너스 이벤트"
241,"월드 오브 워크래프트 12주년"
242,"월드 오브 워크래프트의 생일"
243,"군단 던전 이벤트"
244,"전역 퀘스트 보너스 이벤트"
245,"히포그리프 부화일"
246,"자진 입대 경비병의 날"
247,"디아블로 20주년 기념"
248,"스카라베의 부름"
249,"버섯구름 뱃놀이 대잔치"
250,"운고로의 광기"
251,"봄 열기구 축제"
252,"키린 토 선술집 순례"
253,"올챙이들의 행진"
254,"초롱버섯 축제"
255,"PvP 난투: 중력 붕괴"
256,"PvP 난투: 타렌 밀농장 대 사우스쇼어"
257,"PvP 난투: 전쟁노래 쟁탈전"
258,"멋의 대제전"
259,"경매장 무도회"
260,"월드 오브 워크래프트 13주년 기념"
261,"달빛야수 축제"
262,"PvP 난투: 아라시 눈보라"
263,"PvP 난투: 깊은바람 덩크슛"
264,"PvP 난투: 앗뜨모구의 사원"
265,"PvP 난투: 북적북적 투기장"
266,"놈리건 대경주회"
267,"PvP 난투: 용맹한 6인"
268,"PvP 난투: 음영파 결전지"
269,"살게라스의 무덤"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"안토러스 - 불타는 왕좌"
274,"월드 오브 워크래프트 14주년"
275,"월드 오브 워크래프트 15주년"
277,"PvP 난투: 죽다 살다 투기장"
378,"격전의 스트롬가드"
379,"가시의 전쟁"
380,"로데론 전투"
381,울디르
382,"격전의 아제로스 던전 이벤트"
385,"8.1 복수의 파도: 전쟁 대장정 1장"
386,"8.1 복수의 파도: 전쟁 대장정 2장"
387,"8.1 복수의 파도: 전쟁 대장정 3장"
388,"8.1 복수의 파도: 전쟁 대장정 4장"
389,"8.1 복수의 파도: 전쟁 대장정 5장"
390,"다자알로 전투"
391,"PvP 난투: 요리조리 대소동"
392,"유랑객의 축제"
393,"무료 티셔츠의 날"
394,"반짝반짝 발광 생물"
395,"PvP 난투: 인공지능 격파"
396,"폭풍의 용광로"
397,"영원한 궁전"
398,"PvP 난투: 클래식 아쉬란"
399,"깨어난 도시 나이알로사"
400,"PvP 난투: 와글와글 군도"
402,"월드 오브 워크래프트 16주년"
404,"나스리아 성채"
405,"토르가스트: 허망의 동굴의 야수"
406,"토르가스트: 굴레를 벗어난 어둠"
407,"토르가스트: 저승영혼 성가대"
408,"어둠땅 던전 이벤트"
410,"월드 오브 워크래프트 17주년 기념"
411,"지배의 성소"
412,"월드 오브 워크래프트 18주년 기념"
413,"PvP 난투: 1인 조합전"
414,"태초의 존재의 매장터"
415,"운명의 공격대: 나스리아 성채"
416,"운명의 공격대: 태초의 존재의 매장터"
417,"운명의 공격대: 지배의 성소"
418,"용군단 던전 이벤트"
419,"현신의 금고"
420,용군단
421,"어둠의 도가니 아베루스"
422,"탐욕의 사절"
423,"성역에 오신 것을 환영합니다."
424,"칼림도어 우승컵"
425,"아제로스의 비밀"
426,"월드 오브 워크래프트 19주년 기념"
427,"동부 왕국 우승컵"
428,"아웃랜드 우승컵"
429,"PvP 난투: 전장 대공세"
430,"격동하는 시간의 길"
431,"노스렌드 우승컵"
432,"판다리아 우승컵"
433,"부서진 섬 우승컵"
434,"꿈의 희망 아미드랏실"
435,"하스스톤 10주년"
437,"WoW 리믹스: 판다리아의 안개"
438,"월드 오브 워크래프트 20주년 기념"
439,"월드 오브 워크래프트 21주년 기념"
440,"네룹아르 궁전"
441,"내부 전쟁 던전 이벤트"
442,"구렁 보너스 이벤트"
444,약탈폭풍
445,"언더마인 해방전선"
446,"다시 찾은 공포의 환영"
447,"WoW 리믹스: 군단"
448,"마나괴철로 종극점"
450,"수수께끼의 운세의 바람"
451,"수라 짝패"
452,"수집가의 은혜"
453,"과충전 구렁"
454,공허첨탑
455,"쿠엘다나스 진격로"
457,"꿈의 균열"
458,"검은창 대질주"
459,"한밤 던전 이벤트"
460,"월드 오브 워크래프트 22주년 기념"
461,진균나락
463,"맹독 심연"
464,"해일결속 동굴"
19,"가을 축제"
239,"시간여행 던전 이벤트"
449,"WoW 리믹스: 판다리아의 안개"
