ID,Name_lang
1,"Feira de Negraluna"
5,"Celebração com Fogos de Artifício"
6,"Festerê de Pesca da Selva do Espinhaço"
7,CervaFest
9,"O Amor Está No Ar"
11,"Festival do Fogo do Solstício"
12,"Espetáculo de Fogos de Artifício"
13,"Semana das Crianças"
14,"Festa do Véu de Inverno"
15,Jardinova
16,Noturnália
17,"Festival da Colheita"
18,"Festival da Lua"
21,"Dia dos Piratas"
22,"Chamado às Armas: Vale Alterac"
23,"Chamado às Armas: Bacia Arathi"
24,"Chamado às Armas: Olho da Tormenta"
25,"Chamado às Armas: Ravina Brado Guerreiro"
41,"Chamado às Armas: Baía dos Ancestrais"
61,"Lançamento do Wrath of the Lich King"
81,"Dia dos Mortos"
101,"Festa da Fartura"
121,"Chamado às Armas: Ilha da Conquista"
141,"Promoção do Moicano"
161,"Campeonato de Pesca dos Kalu'ak"
162,"Chamado às Armas: A Batalha por Guilnéas"
163,"Chamado às Armas: Montes Gêmeos"
164,"CB Ranqueado: 10x10"
165,"CB Ranqueado: 15x15"
166,"CB Ranqueado: 25x25"
203,"7º Aniversário do WoW!"
220,"8º Aniversário do WoW"
222,"Chamado às armas: Mina Estilhaços Prateados"
223,"Chamado às armas: Templo de Katmogu"
229,"9º Aniversário do WoW"
230,"Chamado às Armas: Desfiladeiro do Vendaval"
231,"10º Aniversário do WoW"
233,"11º Aniversário de WoW"
234,"Evento Bônus de Batalha de Mascotes"
235,"Evento das Masmorras de Draenor"
236,"Evento Bônus de Campos de Batalha"
237,"Evento das Masmorras de Caminhada Temporal"
238,"Evento Bônus de Escaramuças da Arena"
240,"Evento Bônus de Apexis"
241,"12º Aniversário do WoW"
242,"Aniversário do WoW"
243,"Evento de Masmorra de Legion"
244,"Evento de Bônus de Missão Mundial"
245,"Ninhada dos Hipogrifos"
246,"Dia do Guarda Voluntário"
247,"Aniversário de 20 anos do Diablo"
248,"Chamado do Escaravelho"
249,"Barco a Dar Com o Pau"
250,"Alvoroço em Un'Goro"
251,"Festival de Balões da Primavera"
252,"Tabernatona do Kirin Tor"
253,"Marcha dos Girinos"
254,"Festival do Chapéu-opalino"
255,"Briga JxJ: Lapso Gravitacional"
256,"Briga JxJ: Costa Sul x Serraria Tarren"
257,"Briga JxJ: Misturada do Brado Guerreiro"
258,"Provação do Estilo"
259,"Balada na Casa de Leilões"
260,"13º Aniversário do WoW"
261,"Festival do Luniscante"
262,"Contenda JxJ: Nevasca em Arathi"
263,"Contenda JxJ: Enterrada do Vendaval"
264,"Contenda JxJ: Templo de Hotmogu"
265,"Contenda JxJ: Casa Cheia"
266,"A Grande Corrida de Gnomeregan"
267,"Contenda JxJ: Seizão"
268,"Contenda JxJ: Confronto final dos Shado-Pan"
269,"Tumba de Sargeras"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Antorus, o Trono Ardente"
274,"14º Aniversário do WoW"
275,"15º Aniversário do WoW"
277,"Contenda JxJ: Casa Guarnecida"
378,"Batalha por Stromgarde"
379,"Guerra dos Espinhos"
380,"Batalha por Lordaeron"
381,Uldir
382,"Evento das Masmorras de Battle for Azeroth"
385,"8.1 Marés da Vingança: Campanha de Guerra Parte 1"
386,"8.1 Marés da Vingança: Campanha de Guerra Parte 2"
387,"8.1 Marés da Vingança: Campanha de Guerra Parte 3"
388,"8.1 Marés da Vingança: Campanha de Guerra Parte 4"
389,"8.1 Marés da Vingança: Campanha de Guerra Parte 5"
390,"Batalha de Dazar'alor"
391,"Contenda JxJ: Culinária: Impossível"
392,"Festival do Andarilho"
393,"Dia das Camisetas Grátis"
394,"Luminares Luminosos"
395,"Contenda JxJ: Surra no PC"
396,"Caldeirão das Tempestades"
397,"Palácio Eterno"
398,"Contenda JxJ: Ashran Clássica"
399,"Ny'alotha, a Cidade Desperta"
400,"Contenda JxJ: Ilhas Apinhadas"
402,"16º Aniversário do WoW"
404,"Castelo de Nathria"
405,"Thanator: Monstrum vel Prodigium"
406,"Thanator: Escuridão Descontrolada"
407,"Thanator: Coro de Almas Mortas"
408,"Evento das Masmorras de Shadowlands"
410,"17º Aniversário do WoW"
411,"Sacrário da Dominação"
412,"18º Aniversário do WoW"
413,"Contenda JxJ: Solo Mix"
414,"Sepulcro dos Primogênitos"
415,"Raides Fatídicos: Castelo de Nathria"
416,"Raides Fatídicos: Sepulcro dos Primogênitos"
417,"Raides Fatídicos: Sacrário da Dominação"
418,"Evento das Masmorras de Dragonflight"
419,"Câmara dos Encarnados"
420,Dragonflight
421,"Aberrus, o Crisol Sombrio"
