ID,Name_lang
1,"Ярмарка Новолуния"
5,"Празднество фейерверков"
6,"Рыбомания Тернистой долины"
7,"Хмельной фестиваль"
9,"Любовная лихорадка"
11,"Огненный солнцеворот"
12,"Праздник фейерверков"
13,"Детская неделя"
14,"Зимний Покров"
15,"Сад чудес"
16,Тыквовин
17,"Неделя урожая"
18,"Лунный фестиваль"
21,"День пирата"
22,"Призыв к оружию: Альтеракская долина"
23,"Призыв к оружию: низина Арати"
24,"Призыв к оружию: Око Бури"
25,"Призыв к оружию: ущелье Песни Войны"
41,"Призыв к оружию: берег Древних"
61,"Wrath of the Lich King"
81,"День мертвых"
101,"Пиршество странников"
121,"Призыв к оружию: остров Завоеваний"
141,"Реклама ирокеза"
161,"Калуакское рыбоборье"
162,"Призыв к оружию: битва за Гилнеас"
163,"Призыв к оружию: Два Пика"
164,"Рейтинговое ПБ: 10 на 10"
165,"Рейтинговое ПБ: 15 на 15"
166,"Рейтинговое ПБ: 25 на 25"
203,"7-я годовщина World of Warcraft"
220,"8-я годовщина World of Warcraft"
222,"Призыв к оружию: Сверкающие копи"
223,"Призыв к оружию: храм Котмогу"
229,"9-я годовщина World of Warcraft"
230,"Призыв к оружию: каньон Суровых Ветров"
231,"10-я годовщина World of Warcraft"
233,"11-я годовщина World of Warcraft"
234,"Бонус за битвы питомцев"
235,"Подземелья Дренора"
236,"Бонус на полях боя"
237,"Путешествие во времени по подземельям"
238,"Бонус за стычки на арене"
240,"Бонус к апекситовым кристаллам"
241,"12-я годовщина World of Warcraft"
242,"Годовщина World of Warcraft"
243,"Подземелья Legion"
244,"Бонус за локальные задания"
245,"Вылупление гиппогрифов"
246,"День стражей-добровольцев"
247,"20-я годовщина Diablo"
248,"Зов скарабея"
249,"Вечеринка тысячи лодок"
250,"Безумие Ун'Горо"
251,"Весенний фестиваль воздушных шаров"
252,"Кирин-торский тур по тавернам"
253,"Марш головастиков"
254,"Фестиваль огнешляпок"
255,"PvP-потасовка: искажение гравитации"
256,"PvP-потасовка: Южнобережье против Мельницы Таррен"
257,"PvP-потасовка: драка Песни Войны"
258,"Наденьте это немедленно!"
259,"Танцевальная вечеринка аукциона"
260,"13-я годовщина World of Warcraft"
261,"Фестиваль лунных совухов"
262,"PvP-потасовка: вьюга на Арати"
263,"PvP-потасовка: данк Суровых Ветров"
264,"PvP-потасовка: храм Быстромогу"
265,"PvP-потасовка: аншлаг"
266,"Великая гонка Гномрегана"
267,"PvP-потасовка: великолепная шестерка"
268,"PvP-потасовка: разборка Шадо-Пан"
269,"Гробница Саргераса"
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,"Анторус, Пылающий Трон"
274,"14-я годовщина World of Warcraft"
275,"15-я годовщина World of Warcraft"
277,"PvP-потасовка: дом полная хата"
378,"Битва за Стромгард"
379,"Война шипов"
380,"Битва за Лордерон"
381,Ульдир
382,"Подземелья Battle for Azeroth"
385,"8.1 ""Волны возмездия"" – военная кампания, часть 1"
386,"8.1 ""Волны возмездия"" – военная кампания, часть 2"
387,"8.1 ""Волны возмездия"" – военная кампания, часть 3"
388,"8.1 ""Волны возмездия"" – военная кампания, часть 4"
389,"8.1 ""Волны возмездия"" – военная кампания, часть 5"
390,"Битва за Дазар'алор"
391,"PvP-потасовка: миссия неприготовима"
392,"Фестиваль странника"
393,"День бесплатных футболок"
394,"Свет под водой"
395,"PvP-потасовка: ботобойка"
396,"Горнило Штормов"
397,"Вечный дворец"
398,"PvP-потасовка: классический Ашран"
399,"Ни'алота, Пробуждающийся Город"
400,"PvP-потасовка: Кишащие острова"
402,"16-я годовщина WoW"
404,"Замок Нафрия"
405,"Торгаст: звери Продигума"
406,"Торгаст: необузданная тьма"
407,"Торгаст: хор мертвецов"
408,"Событие в подземельях Темных Земель"
410,"17-я годовщина World of Warcraft"
411,"Святилище Господства"
412,"18-я годовщина WoW"
413,"PvP-потасовка: соло-суматоха"
414,"Гробница Предвечных"
415,"Судьбоносные рейды: замок Нафрия"
416,"Судьбоносные рейды: Гробница Предвечных"
417,"Судьбоносные рейды: Святилище Господства"
418,"Подземелья Dragonflight"
419,"Хранилище Воплощений"
420,Dragonflight
421,"Аберрий, Затененное Горнило"
422,"Алчный посланец"
423,"Добро пожаловать в Санктуарий"
424,"Кубок Калимдора"
425,"Тайны Азерота"
426,"19-я годовщина World of Warcraft"
427,"Кубок Восточных королевств"
428,"Кубок Запределья"
429,"PvP-потасовка: блиц по полям боя"
430,"Бурные потоки времени"
431,"Кубок Нордскола"
432,"Кубок Пандарии"
433,"Кубок Расколотых островов"
434,"Амирдрассил, Надежда Сна"
435,"10-я годовщина Hearthstone"
437,"WoW Remix: Mists of Pandaria"
438,"20-я годовщина World of Warcraft"
439,"21-я годовщина World of Warcraft"
440,"Неруб'арский дворец"
441,"Событие ""Подземелья The War Within"""
442,"Событие ""Бонус в вылазках"""
444,"Пиратская буря"
445,"Освобождение Нижней Шахты"
446,"Возвращение в жуткие видения"
447,"WoW Remix: Legion"
448,"Манагорн Омега"
450,"Ветра таинственной удачи"
451,"Коварные Дуо"
452,"Сокровища собирателя"
453,"Перегруженные вылазки"
454,"Шпиль Бездны"
455,"Марш на Кель'Данас"
457,"Провал снов"
458,"Забег Черного Копья"
459,"Событие в подземельях Midnight"
460,"22-я годовщина World of Warcraft"
461,Споропад
463,"Отравленная бездна"
464,"Приливный грот"
19,"Хмельной фестиваль"
239,"Путешествие во времени по подземельям"
449,"WoW Remix: Mists of Pandaria"
