ID,Name_lang
1,暗月马戏团
5,烟花庆典
6,荆棘谷钓鱼大赛
7,美酒节
9,情人节
11,仲夏火焰节
12,焰火表演
13,儿童周
14,冬幕节
15,复活节
16,万圣节
17,收获节
18,春节
21,海盗日
22,战斗的召唤：奥特兰克山谷
23,战斗的召唤：阿拉希盆地
24,战斗的召唤：风暴之眼
25,战斗的召唤：战歌峡谷
41,战斗的召唤：远古海滩
61,巫妖王之怒上线
81,悼念日
101,感恩节
121,战斗的召唤：征服之岛
141,暗夜精灵莫霍克促销活动
161,卡鲁亚克钓鱼大赛
162,战斗的召唤：吉尔尼斯之战
163,战斗的召唤：双子峰
164,评级战场：10对10
165,评级战场：15对15
166,评级战场：25对25
203,魔兽世界七周年
220,魔兽世界八周年
222,战斗的召唤：碎银矿脉
223,战斗的召唤：寇魔古寺
229,魔兽世界九周年
230,战斗的召唤：深风峡谷
231,魔兽世界十周年
233,魔兽世界十一周年
234,宠物对战假日活动
235,德拉诺地下城活动
236,战场假日活动
237,时空漫游地下城活动
238,竞技场练习赛假日活动
240,埃匹希斯假日活动
241,魔兽世界十二周年
242,魔兽世界周年庆典
243,“军团再临”地下城活动
244,世界任务奖励活动
245,角鹰兽孵化日
246,志愿军日
247,暗黑破坏神二十周年
248,甲虫的召唤
249,赛艇大会
250,安戈洛狂欢节
251,春日气球节
252,肯瑞托旅店趴
253,蝌蚪远足日
254,亮顶节
255,PvP乱斗：引力失效
256,PvP乱斗：南海镇VS塔伦米尔
257,PvP乱斗：战歌争夺战
258,时尚试炼
259,舞会
260,魔兽世界十三周年
261,枭兽节
262,PvP乱斗：阿拉希暴风雪
263,PvP乱斗：深风大灌篮
264,PvP乱斗：魔古接力
265,PvP乱斗：爆棚乱战
266,诺莫瑞根马拉松
267,PvP乱斗：六人战
268,PvP乱斗：决战影踪派
269,萨格拉斯之墓
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,安托鲁斯，燃烧王座
274,魔兽世界十四周年
275,魔兽世界十五周年
277,PvP乱斗：熙攘乱战
378,激流堡之战
379,荆棘战争
380,洛丹伦之战
381,奥迪尔
382,“争霸艾泽拉斯”地下城活动
385,复仇之潮：阵营战役第一部
386,复仇之潮：阵营战役第二部
387,复仇之潮：阵营战役第三部
388,复仇之潮：阵营战役第四部
389,复仇之潮：阵营战役第五部
390,达萨罗之战
391,PvP乱斗：碟中碟
392,云游节
393,免费T恤日
394,幽光之星
395,PvP乱斗：人机对决
396,风暴熔炉
397,永恒王宫
398,PvP乱斗：经典阿什兰
399,尼奥罗萨，觉醒之城
400,PvP乱斗：繁盛海岛
402,魔兽世界十六周年
404,纳斯利亚堡
405,托加斯特：浪骸野兽
406,托加斯特：无拘黑暗
407,托加斯特：丧魂合唱队
408,暗影界地下城活动
410,魔兽世界十七周年
411,统御圣所
412,魔兽世界十八周年
413,PvP乱斗：单排轮斗
414,初诞者圣墓
415,宿命团队副本：纳斯利亚堡
416,宿命团队副本：初诞者圣墓
417,宿命团队副本：统御圣所
418,巨龙时代地下城活动
419,化身巨龙牢窟
420,巨龙时代
421,亚贝鲁斯，焰影熔炉
422,贪婪的特使
423,欢迎来到庇护之地！
424,卡利姆多杯
425,艾泽拉斯之秘
426,魔兽世界十九周年
427,东部王国杯
428,外域杯
429,PvP乱斗：战场闪电战
430,紊乱时间流
431,诺森德杯
432,潘达利亚杯
433,破碎群岛杯
434,阿梅达希尔，梦境之愿
435,《炉石传说》10周年
437,《魔兽世界》幻境新生：熊猫人之谜
438,《魔兽世界》二十周年
439,《魔兽世界》二十一周年
440,尼鲁巴尔王宫
441,“地心之战”地下城活动
442,地下堡奖励活动
444,霸业风暴
445,解放安德麦
446,重访惊魂幻象
447,《魔兽世界》幻境新生：军团再临
448,法力熔炉：欧米伽
450,神秘运势之风
451,卑鄙双雄
452,收集者的悬赏
453,过载地下堡
454,虚影尖塔
455,进军奎尔丹纳斯
457,梦境裂隙
458,暗矛冲刺赛
459,“至暗之夜”地下城活动
460,《魔兽世界》二十二周年
461,孢陨幽境
463,烈毒之渊
464,潮缚石窟
19,美酒节
239,时空漫游地下城活动
449,《魔兽世界》幻境新生：熊猫人之谜
