ID,Name_lang
1,暗月馬戲團
5,煙火慶典
6,荊棘谷釣魚大賽
7,啤酒節
9,愛就在身邊
11,仲夏火焰節慶
12,壯麗的煙火大會
13,兒童週
14,冬幕節
15,貴族花園
16,萬鬼節
17,收穫節
18,新年慶典
21,海盜節
22,戰鬥的號角：奧特蘭克山谷
23,戰鬥的號角：阿拉希盆地
24,戰鬥的號角：暴風之眼
25,戰鬥的號角：戰歌峽谷
41,戰鬥的號角：遠祖灘頭
61,巫妖王之怒發行日
81,亡者節
101,旅人豐年祭
121,戰鬥的號角：征服之島
141,怪頭活動
161,卡魯耶克釣魚大賽
162,戰鬥的號角：吉爾尼斯之戰
163,戰鬥的號角：雙子峰
164,"積分戰場: 10v10"
165,"積分戰場: 15v15"
166,"積分戰場: 25v25"
203,魔獸世界7週年紀念
220,魔獸世界8週年紀念
222,戰鬥的號角：碎銀礦坑
223,戰鬥的號角：科特魔古神廟
229,魔獸世界9週年紀念
230,戰鬥的號角：深風峽谷
231,魔獸世界10週年紀念
233,魔獸世界11週年紀念
234,寵物對戰獎勵事件
235,德拉諾地城事件
236,戰場獎勵事件
237,時光漫遊地城事件
238,競技場練習戰獎勵事件
240,頂尖獎勵事件
241,魔獸世界12週年紀念
242,魔獸世界週年慶
243,軍團地城事件
244,世界任務獎勵事件
245,角鷹獸孵化日
246,志願守衛節
247,暗黑破壞神20週年紀念
248,甲蟲的呼喚
249,鬥船節
250,瘋狂安戈洛
251,春日氣球節
252,祈倫托旅店大拼酒
253,蝌蚪歷險節
254,白閃菇慶典
255,PvP亂鬥：重力流逝
256,PvP亂鬥：南海鎮大戰塔倫米爾
257,PvP亂鬥：戰歌大亂鬥
258,時尚大考驗
259,拍賣場跳舞派對
260,魔獸世界13週年紀念
261,梟獸節
262,PvP亂鬥：阿拉希暴風雪
263,PvP亂鬥：深風峽谷籃球賽
264,PvP亂鬥：熱力魔古神廟
265,PvP亂鬥：座無虛席
266,偉大的諾姆瑞根路跑
267,PvP亂鬥：六人對戰
268,PvP亂鬥：影潘決戰場
269,薩格拉斯之墓
270,"7.3 Shadows of Argus: Week 2 Unlocks"
271,"7.3 Shadows of Argus: Week 3 Unlocks"
272,"7.3 Shadows of Argus: Week 1"
273,安托洛斯，燃燒王座
274,魔獸世界14週年紀念
275,魔獸世界15週年紀念
277,PvP亂鬥：補給滿倉
378,激流堡之役
379,荊棘之戰
380,羅德隆之戰
381,奧迪爾
382,決戰艾澤拉斯地城事件
385,8.1復仇之潮：陣營戰役第一部
386,8.1復仇之潮：陣營戰役第二部
387,8.1復仇之潮：陣營戰役第三部
388,8.1復仇之潮：陣營戰役第四部
389,8.1復仇之潮：陣營戰役第五部
390,達薩亞洛之戰
391,PvP亂鬥：不可能的飪物
392,遊子節
393,免費T恤日
394,發光生物體
395,PvP亂鬥：對抗電腦
396,風暴邪淵
397,永恆宮殿
398,PvP亂鬥：經典艾斯蘭
399,奈奧羅薩，甦醒之城
400,PvP亂鬥：擁擠之島
402,魔獸世界16週年紀念
404,納撒亞城
405,托迦司：萬獸揮霍
406,托迦司：無拘黑暗
407,托迦司：亡魂合音
408,暗影之境地城事件
410,魔獸世界17週年紀念
411,統御聖所
412,魔獸世界18週年紀念
413,PvP亂鬥：單人隨機
414,首創者聖塚
415,命定團隊副本：納撒亞城
416,命定團隊副本：首創者聖塚
417,命定團隊副本：統御聖所
418,巨龍崛起地城事件
419,洪荒化身牢獄
420,巨龍崛起
421,『朧影實驗場』亞貝魯斯
422,貪婪使者
423,歡迎來到聖休亞瑞
424,卡林多杯
425,艾澤拉斯秘聞
426,魔獸世界19週年紀念
427,東部王國杯
428,外域杯
429,PvP亂鬥：戰場閃擊戰
430,動盪的時間之道
431,北裂境杯
432,潘達利亞杯
433,破碎群島杯
434,『夢境希望』埃達希爾
435,爐石戰記10週年慶
437,《魔獸世界》混搭再造：潘達利亞之謎
438,魔獸世界20週年紀念
439,魔獸世界21週年紀念
440,奈幽巴宮殿
441,地心之戰地城事件
442,探究獎勵事件
444,強襲風暴
445,解放幽坑城
446,重返恐怖幻象
447,《魔獸世界》混搭再造：軍臨天下
448,法力熔爐歐美加
450,神秘命運之風
451,殘虐雙煞
452,收集者的賞金
453,超載探究
454,虛無之尖
455,進軍奎爾達納斯
457,夢境裂隙
458,暗矛衝刺賽
459,至暗之夜地城事件
460,魔獸世界22週年紀念
461,孢子之殞
463,劇毒深淵
464,浪縛岩窟
19,啤酒節
239,時光漫遊地城事件
449,《魔獸世界》混搭再造：潘達利亞之謎
