ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,Node__Field_12_0_0_63534_001,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
39,23,0,1,6,0,0,1000,0,1,0,0,0,0,0,0,35009,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,66
93,23,0,0,6,0,0,3000,0,1,0,0,0,0,0,0,3052,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,134
97,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,146739,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,172
243,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,98367,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21,0,596
262,22,0,0,6,0,0,0,0,1,0,0,0,0,0,0,7183,0,1,0.16500000656,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,673
293,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,157982,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,740
295,42,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2676,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,742
298,0,0,1,64,0,0,0,0,1,0,0,0,0,0,0,11920,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,0,745
326,23,0,0,6,0,0,3000,1,1,0,0,0,0,0,0,26059,0,1,0,0,0,1,0,0,0,0,0,23,0,0,0,0,0,22,7,804
331,23,0,0,6,0,0,11000,1,1,0,0,0,0,0,0,26626,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,812
449,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,5374,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1329
481,23,0,1,6,0,0,6000,0,1,0,0,0,0,0,0,13481,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1515
512,0,0,0,64,0,4096,0,0,1,0,0,0,0,0,0,199658,0,1,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,1680
513,0,0,1,64,0,4096,0,0,1,0,0,0,0,0,0,199850,0,1,0,0,0,1,0,0,0,200,0,0,0,0,0,0,0,1,0,1680
561,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,155722,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1822
588,23,0,0,6,0,0,1000,0,1,0,0,0,0,0,0,5857,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1949
642,23,0,0,6,0,0,9000,1,1,0,0,0,0,0,0,26546,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,0,2148
686,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2329,0,1,1.29999995232,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,1,0,2367
697,29,0,0,6,0,0,0,0,1,0,0,0,0,0,0,3230,0,1,2.5,0,0,1,0,-1,0,1,0,0,0,0,0,0,0,1,0,2374
699,34,0,0,6,0,0,0,0,1,0,0,0,0,0,0,2334,0,1,0.25999999046,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,1,0,2378
799,0,0,2,64,0,0,0,0,1,0,0,0,0,0,0,47531,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2641
