Name_lang,Pos_0,Pos_1,Pos_2,MapOffset_0,MapOffset_1,FlightMapOffset_0,FlightMapOffset_1,ID,ContinentID,ConditionID,CharacterBitNumber,Flags,UiTextureKitID,MinimapAtlasMemberID,Facing,SpecialIconConditionID,VisibilityConditionID,MountCreatureID_0,MountCreatureID_1
"Northshire Abbey",-8888.98046875,-0.54000002146,94.38999938965,0,0,0,0,1,0,0,0,1024,0,4689,0,0,0,308,0
"Stormwind, Elwynn",-8841.0595703125,489.65600585938,109.6070022583,0.00998003967,0.01017440017,0,0,2,0,0,2,1,0,4689,0,0,0,0,541
"Programmer Isle",16391.810546875,16341.209960938,69.44000244141,0,0,0,0,3,0,0,0,1024,0,4689,0,0,0,308,0
"Sentinel Hill, Westfall",-10551.900390625,1034.3900146484,56.95429992676,0,0,0,0,4,0,0,4,1,0,4689,0,0,0,0,541
"Lakeshire, Redridge",-9429.099609375,-2231.3999023438,68.65000152588,0,0,0,0,5,0,20068,5,1,0,4689,0,0,0,0,541
"Ironforge, Dun Morogh",-4821.7797851562,-1155.4399414062,502.20999145508,0,0,0,0,6,0,0,6,1,0,4689,0,0,0,0,541
"Menethil Harbor, Wetlands",-3787.8100585938,-777.69598388672,1.55820000172,-0.00200000009,0.00200000009,0,0,7,0,0,7,1,0,4689,0,0,0,0,541
"Thelsamar, Loch Modan",-5421.91015625,-2930.0100097656,347.25,0,0,0,0,8,0,0,8,1,0,4689,0,0,0,0,541
"Booty Bay, Stranglethorn",-14271.799804688,299.86999511719,31.09000015259,0,0,0,0,9,0,0,0,1024,0,4689,0,0,0,0,541
"The Sepulcher, Silverpine Forest",478.85998535156,1536.5899658203,131.32000732422,0,0,0,0,10,0,0,10,2,0,4689,0,0,0,3574,0
"Undercity, Tirisfal",1568.6199951172,267.9700012207,-43.09999847412,0,0,0,0,11,0,96403,11,10,0,4689,0,0,0,3574,0
"Darkshire, Duskwood",-10515.5,-1261.6500244141,41.34000015259,0,0,0,0,12,0,0,12,1,0,4689,0,0,0,0,541
"Tarren Mill, Hillsbrad",-17.70660018921,-874.20300292969,59.00559997559,0,0.00300000003,0,0,13,0,0,13,2,0,4689,0,0,0,3574,0
"Southshore, Hillsbrad",-711.47998046875,-515.47998046875,26.11000061035,0,0,0,0,14,0,5793,14,1024,0,4689,0,0,0,0,541
"Eastern Plaguelands",2253.3999023438,-5344.8999023438,83.37999725342,0,0,0,0,15,0,0,0,1024,0,4689,0,0,0,0,541
"Refuge Pointe, Arathi",-1240.5300292969,-2515.1101074219,22.15999984741,0,0,0,0,16,0,0,16,1,0,4689,0,0,0,0,541
"Hammerfall, Arathi",-916.28997802734,-3496.8898925781,70.44999694824,0.00700000022,-0.00700000022,0,0,17,0,0,17,2,0,4689,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14444.299804688,509.61999511719,26.20000076294,0,0,0,0,18,0,0,18,2,0,4689,0,0,0,2224,0
"Booty Bay, Stranglethorn",-14473,464.14999389648,36.43000030518,0,0,0,0,19,0,0,19,1,0,4689,0,0,0,0,541
"Grom'gol, Stranglethorn",-12414.200195312,146.28999328613,3.27999997139,0,0,0,0,20,0,0,20,2,0,4689,0,0,0,2224,0
