Name_lang,ID,ParentUiMapID,Flags,System,Type,BountySetID,BountyDisplayLocation,VisibilityPlayerConditionID,HelpTextPosition,BkgAtlasID,AlternateUiMapGroup,ContentTuningID,AdventureMapTextureKitID,MapArtZoneTextPosition
Durotar,1,12,6,0,3,0,0,0,0,0,0,70,0,0
"Burning Blade Coven",2,1,0,0,5,0,0,0,0,0,0,0,0,0
"Tiragarde Keep",3,1,0,0,5,0,0,0,0,0,0,0,0,0
"Tiragarde Keep",4,1,0,0,5,0,0,0,0,0,0,0,0,0
"Skull Rock",5,1,0,0,5,0,0,0,0,0,0,0,0,0
"Dustwind Cave",6,1,0,0,5,0,0,0,0,0,0,0,0,0
Mulgore,7,12,6,0,3,0,0,0,0,0,0,71,0,0
"Palemane Rock",8,7,0,0,5,0,0,0,0,0,0,0,0,0
"The Venture Co. Mine",9,7,0,0,5,0,0,0,0,0,0,0,0,0
"Northern Barrens",10,12,6,0,3,0,0,0,0,0,0,3,0,0
"Wailing Caverns",11,10,0,0,5,0,0,0,0,0,0,0,0,0
Kalimdor,12,947,0,0,2,0,0,0,0,0,0,2844,0,0
"Eastern Kingdoms",13,947,0,0,2,0,0,0,0,0,0,7203,0,0
"Arathi Highlands",14,13,6,0,3,10,1,0,1,0,0,17,0,0
Badlands,15,13,6,0,3,0,0,0,0,0,0,27,0,0
Uldaman,16,15,0,0,5,0,0,0,0,0,0,0,0,0
"Blasted Lands",17,13,6,0,3,0,0,0,0,0,0,34,0,0
"Tirisfal Glades",18,13,6,0,3,0,0,0,0,0,0,75,0,0
"Scarlet Monastery Entrance",19,18,0,0,5,0,0,0,0,0,0,0,0,0
"Keeper's Rest",20,18,0,0,5,0,0,0,0,0,0,0,0,0
"Silverpine Forest",21,13,6,0,3,0,0,0,0,0,0,7,0,0
"Western Plaguelands",22,13,6,0,3,0,0,0,0,0,0,25,0,0
"Eastern Plaguelands",23,13,6,0,3,0,0,0,0,0,0,35,0,0
"Light's Hope Chapel",24,23,0,0,5,0,0,0,0,0,0,0,0,0
"Hillsbrad Foothills",25,13,6,0,3,0,0,0,0,0,0,11,0,0
"The Hinterlands",26,13,6,0,3,0,0,0,0,0,0,20,0,0
"Dun Morogh",27,13,6,0,3,0,0,0,0,0,0,74,0,0
"Coldridge Pass",28,27,0,0,5,0,0,0,0,0,0,0,0,0
"The Grizzled Den",29,27,0,0,5,0,0,0,0,0,0,0,0,0
"New Tinkertown",30,27,0,0,5,0,0,0,0,0,0,0,0,0
"Gol'Bolar Quarry",31,27,0,0,5,0,0,0,0,0,0,0,0,0
"Searing Gorge",32,13,6,0,3,0,0,0,0,0,0,29,0,0
"Blackrock Mountain",33,36,0,0,5,0,0,0,0,0,0,0,0,0
"Blackrock Mountain",34,36,0,0,5,0,0,0,0,0,0,0,0,0
"Blackrock Mountain",35,32,0,0,5,0,0,0,0,0,0,0,0,0
"Burning Steppes",36,13,6,0,3,0,0,0,0,0,0,30,0,0
"Elwynn Forest",37,13,6,0,3,0,0,0,0,0,0,73,0,0
"Fargodeep Mine",38,37,0,0,5,0,0,0,0,0,0,0,0,0
"Fargodeep Mine",39,37,0,0,5,0,0,0,0,0,0,0,0,0
"Jasperlode Mine",40,37,0,0,5,0,0,0,0,0,0,0,0,0
Dalaran,41,42,0,0,5,0,0,0,0,0,0,0,0,0
"Deadwind Pass",42,13,6,0,3,0,0,0,0,0,0,775,0,0
"The Master's Cellar",43,42,0,0,5,0,0,0,0,0,0,0,0,0
"The Master's Cellar",44,42,0,0,5,0,0,0,0,0,0,0,0,0
"The Master's Cellar",45,42,0,0,5,0,0,0,0,0,0,0,0,0
"Karazhan Catacombs",46,42,0,0,5,0,0,0,0,0,0,0,0,0
Duskwood,47,13,6,0,3,0,0,0,0,0,0,13,0,0
"Loch Modan",48,13,6,0,3,0,0,0,0,0,0,9,0,0
"Redridge Mountains",49,13,6,0,3,0,0,0,0,0,0,10,0,0
"Northern Stranglethorn",50,224,6,0,3,0,0,0,0,0,0,18,0,0
"Swamp of Sorrows",51,13,6,0,3,0,0,0,0,0,0,31,0,0
Westfall,52,13,6,0,3,0,0,0,0,0,0,6,0,0
"Gold Coast Quarry",53,52,0,0,5,0,0,0,0,0,0,0,0,0
"Jangolode Mine",54,52,0,0,5,0,0,0,0,0,0,0,0,0
"The Deadmines",55,52,0,0,5,0,0,0,0,0,0,0,0,0
Wetlands,56,13,6,0,3,0,0,0,0,0,0,15,0,0
Teldrassil,57,12,6,0,3,0,0,68088,0,0,0,72,0,0
