ID,UiMapArtID,TextureWidth,TextureHeight,OffsetX,OffsetY,HitRectTop,HitRectBottom,HitRectLeft,HitRectRight,PlayerConditionID,Flags,AreaID_0,AreaID_1,AreaID_2,AreaID_3
84,62,175,235,374,221,292,375,430,497,0,0,736,0,0,0
85,62,298,337,149,181,247,424,228,383,0,0,1657,0,0,0
87,62,198,181,347,355,423,479,403,494,0,0,261,0,0,0
88,62,289,202,422,310,388,430,498,604,0,0,259,0,0,0
89,62,140,210,345,243,358,405,400,439,0,0,478,0,0,0
91,62,241,217,481,104,170,273,533,638,0,0,188,0,0,0
92,62,187,196,544,217,289,369,625,694,0,0,260,0,0,0
93,62,194,244,276,90,147,213,367,435,0,0,264,0,0,0
94,62,165,249,382,83,207,256,426,465,0,0,266,265,0,0
104,28,437,249,50,227,320,374,271,361,0,0,135,0,0,0
107,28,198,251,663,288,344,421,733,800,0,0,134,0,0,0
108,28,218,234,760,268,321,373,818,867,0,0,212,716,0,0
109,28,249,183,595,225,288,330,679,752,0,0,803,0,0,0
113,28,184,188,449,220,314,364,498,576,0,0,131,189,0,0
114,28,211,160,374,287,335,372,460,509,0,0,136,131,0,0
117,28,225,276,360,340,396,468,401,478,0,0,800,0,0,0
122,41,276,231,247,294,402,463,383,461,0,0,87,0,0,0
124,41,269,248,240,420,520,555,375,416,0,0,57,63,64,5176
125,41,295,296,355,138,203,365,425,585,0,0,9,0,0,0
126,41,230,206,396,430,551,598,466,507,0,0,797,57,64,63
127,41,270,241,529,287,438,490,615,680,0,0,91,54,0,0
128,41,287,216,532,424,507,555,668,726,0,0,62,0,0,0
129,41,294,243,703,292,421,475,783,891,0,0,88,0,0,0
130,41,285,194,708,442,507,556,809,890,0,0,798,0,0,0
131,41,220,207,417,327,421,465,476,583,0,0,18,0,0,0
132,41,340,272,552,186,290,400,680,803,0,0,86,0,0,0
222,19,250,279,752,150,257,375,816,928,0,0,812,167,0,0
224,19,161,234,692,99,154,207,760,812,0,0,459,0,0,0
225,19,175,210,686,232,346,387,766,819,0,0,167,812,0,0
226,19,242,179,594,324,379,425,700,776,0,0,165,0,0,0
227,19,210,292,573,122,243,359,645,725,0,0,162,163,0,0
229,19,190,214,477,129,208,270,531,610,0,0,164,0,0,0
230,19,199,182,480,252,311,371,560,637,0,0,159,0,0,0
231,19,212,177,418,317,364,421,509,570,0,0,166,0,0,0
232,19,225,281,347,325,410,465,410,494,0,0,811,4921,0,0
234,19,285,260,324,90,185,257,403,511,0,0,157,0,0,0
235,19,286,225,201,192,297,357,344,427,0,0,156,0,0,0
236,19,431,407,9,207,373,481,271,375,0,0,154,0,0,0
242,2,254,258,304,312,364,466,402,488,0,0,363,0,0,0
244,2,192,184,457,406,473,538,532,590,0,0,367,0,0,0
248,2,330,255,429,413,458,650,600,727,0,0,368,6453,4865,4864
250,2,210,200,462,298,369,437,542,619,0,0,372,0,0,0
252,2,224,227,431,157,262,318,507,565,0,0,362,0,0,0
254,2,248,158,302,264,318,360,392,504,0,0,816,0,0,0
256,2,220,218,295,48,144,187,360,447,0,0,369,0,0,0
258,2,236,196,415,60,126,200,491,559,0,0,370,410,0,0
260,2,208,157,438,0,36,87,525,553,0,0,817,0,0,0
262,2,259,165,309,0,22,91,396,515,0,0,1637,0,0,0
281,57,202,179,474,0,78,134,542,615,0,0,916,0,0,0
282,57,197,213,394,0,114,174,482,541,0,0,109,0,0,0
284,57,244,237,451,81,187,246,511,580,0,0,107,0,0,0
285,57,202,224,348,118,204,264,412,496,0,0,918,0,0,0
286,57,235,306,199,79,269,324,279,345,0,0,113,111,0,0
287,57,193,273,531,200,374,418,594,638,0,0,917,0,0,0
288,57,229,265,404,226,281,379,515,604,0,0,108,0,0,0
289,57,232,213,308,325,411,466,390,459,0,0,20,919,0,0
290,57,346,222,167,263,295,405,325,440,0,0,219,0,0,0
291,57,201,195,203,376,473,511,318,362,0,0,921,219,0,0
292,57,211,167,221,477,549,612,264,338,0,0,115,921,219,0
293,57,292,273,303,395,519,580,378,521,0,0,920,0,0,0
294,57,317,261,480,378,450,520,560,710,0,0,922,0,0,0
304,22,227,172,236,0,48,119,296,401,0,0,226,0,0,0
306,22,352,302,581,15,101,258,621,764,0,0,172,232,0,0
308,22,218,200,341,157,232,304,398,503,0,0,228,0,0,0
309,22,217,198,483,212,278,330,552,636,0,0,213,0,0,0
310,22,251,167,312,249,306,377,425,498,0,0,229,0,0,0
311,22,283,243,509,250,373,461,554,673,0,0,233,231,0,0
312,22,179,165,337,337,378,469,377,468,0,0,236,0,0,0
314,22,409,162,318,506,558,630,377,583,0,0,230,5456,0,0
315,22,318,263,505,405,469,518,570,631,0,0,231,233,0,0
317,53,294,249,549,52,117,203,658,765,0,0,143,0,0,0
318,53,330,474,340,81,0,0,0,0,0,0,556,0,0,0
319,53,225,252,221,0,108,182,304,394,0,0,149,0,0,0
320,53,319,289,16,0,0,0,0,0,0,0,838,925,0,0
321,53,349,292,570,209,405,466,788,863,0,0,147,0,0,0
322,53,397,291,481,296,380,495,625,765,0,0,142,0,0,0
323,53,273,230,245,324,371,442,340,420,0,0,936,0,0,0
