i(170197),	-- Swarthy Warning Sign
i(177812),	-- Redelev House Band
i(180410),	-- Simmering Draft of Shadows
i(184215),	-- Depraved Houndmaster's Grips
i(186183),	-- Lil' Abom Head
i(186184),	-- Lil' Abom Torso
i(186185),	-- Lil' Abom Legs
i(186186),	-- Lil' Abom Right Hand
i(186187),	-- Lil' Abom Spare Arm
i(186188),	-- Lil' Abom
i(192766),	-- Amber Skitterfly
i(192792),	-- Bestowed Thunderspine Packleader
i(199549),	-- Depth-Delver's Spaulders
i(202011),	-- Elementally Charged Stone
i(208374),	-- Talthonei's Wrath
i(210142),	-- Good Boy's Leash
i(210326),	-- Cracked Medal of Conquest
i(210594),	-- Noblegarden Trinket
i(211515),	-- Splintered Spark of Awakening
i(211516),	-- Spark of Awakening
i(211518),	-- Enchanted Wyrm's Awakened Crest
i(211519),	-- Enchanted Aspect's Awakened Crest
i(211520),	-- Enchanted Whelpling's Awakened Crest
i(211521),	-- Nascent Wyrm's Awakened Crest
i(211522),	-- Nascent Aspect's Awakened Crest
i(211523),	-- Nascent Whelpling's Awakened Crest
i(211524),	-- Formula: Enchanted Wyrm's Awakened Crest
i(211525),	-- Formula: Enchanted Aspect's Awakened Crest
i(211526),	-- Formula: Enchanted Whelpling's Awakened Crest
i(211536),	-- Draconic Combatant's Jeweled Signet
i(211537),	-- Draconic Combatant's Jeweled Amulet
i(211538),	-- Draconic Combatant's Resilient Boots
i(211539),	-- Draconic Combatant's Resilient Chestpiece
i(211540),	-- Draconic Combatant's Resilient Mask
i(211541),	-- Draconic Combatant's Resilient Shoulderpads
i(211542),	-- Draconic Combatant's Resilient Belt
i(211543),	-- Draconic Combatant's Resilient Trousers
i(211544),	-- Draconic Combatant's Resilient Gloves
i(211545),	-- Draconic Combatant's Resilient Wristwraps
i(211546),	-- Draconic Combatant's Adamant Treads
i(211547),	-- Draconic Combatant's Adamant Chainmail
i(211548),	-- Draconic Combatant's Adamant Cowl
i(211549),	-- Draconic Combatant's Adamant Epaulets
i(211550),	-- Draconic Combatant's Adamant Girdle
i(211551),	-- Draconic Combatant's Adamant Leggings
i(211552),	-- Draconic Combatant's Adamant Gauntlets
i(211553),	-- Draconic Combatant's Adamant Cuffs
i(211554),	-- Draconic Combatant's Wildercloth Leggings
i(211555),	-- Draconic Combatant's Wildercloth Shoulderpads
i(211556),	-- Draconic Combatant's Wildercloth Treads
i(211557),	-- Draconic Combatant's Wildercloth Bands
i(211558),	-- Draconic Combatant's Wildercloth Hood
i(211559),	-- Draconic Combatant's Wildercloth Gloves
i(211560),	-- Draconic Combatant's Wildercloth Tunic
i(211561),	-- Draconic Combatant's Wildercloth Sash
i(211562),	-- Draconic Combatant's Wildercloth Cloak
i(211563),	-- Draconic Combatant's Draconium Breastplate
i(211564),	-- Draconic Combatant's Draconium Sabatons
i(211565),	-- Draconic Combatant's Draconium Gauntlets
i(211566),	-- Draconic Combatant's Draconium Helm
i(211567),	-- Draconic Combatant's Draconium Greaves
i(211568),	-- Draconic Combatant's Draconium Pauldrons
i(211569),	-- Draconic Combatant's Draconium Waistguard
i(211570),	-- Draconic Combatant's Draconium Armguards
i(211571),	-- Pattern: Draconic Combatant's Wildercloth Bands
i(211572),	-- Pattern: Draconic Combatant's Wildercloth Cloak
i(211573),	-- Pattern: Draconic Combatant's Wildercloth Gloves
i(211574),	-- Pattern: Draconic Combatant's Wildercloth Hood
i(211575),	-- Pattern: Draconic Combatant's Wildercloth Leggings
i(211576),	-- Pattern: Draconic Combatant's Wildercloth Sash
i(211577),	-- Pattern: Draconic Combatant's Wildercloth Shoulderpads
i(211578),	-- Pattern: Draconic Combatant's Wildercloth Treads
i(211579),	-- Pattern: Draconic Combatant's Wildercloth Tunic
i(211580),	-- Plans: Draconic Combatant's Draconium Helm
i(211581),	-- Plans: Draconic Combatant's Draconium Breastplate
i(211582),	-- Plans: Draconic Combatant's Draconium Greaves
i(211583),	-- Plans: Draconic Combatant's Draconium Pauldrons
i(211584),	-- Plans: Draconic Combatant's Draconium Gauntlets
i(211585),	-- Plans: Draconic Combatant's Draconium Sabatons
i(211586),	-- Plans: Draconic Combatant's Draconium Armguards
i(211587),	-- Plans: Draconic Combatant's Draconium Waistguard
i(211588),	-- Design: Draconic Combatant's Jeweled Amulet
i(211589),	-- Design: Draconic Combatant's Jeweled Signet
i(211590),	-- Pattern: Draconic Combatant's Resilient Mask
