Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,Criteria_tree,Shares_criteria
Reach level 10.,Level 10,,6,-1,-1,0,92,0,10,4,1,236562,123267,0
Reach level 20.,Level 20,,7,-1,-1,6,92,0,10,4,2,236563,121532,0
Reach level 30.,Level 30,,8,-1,-1,7,92,0,10,4,3,236564,123265,0
Reach level 40.,Level 40,,9,-1,-1,8,92,0,10,4,4,236565,122984,0
Reach level 50.,Level 50,,10,-1,-1,9,92,0,10,4,5,236566,123269,0
Reach level 60.,Level 60,,11,-1,-1,10,92,0,10,4,6,236567,123271,0
Reach level 70.,Level 70,,12,-1,-1,11,92,0,10,4,7,236568,123273,0
Reach level 80.,Level 80,,13,-1,-1,12,92,0,10,4,8,236569,122008,0
Collect 15 unique companion pets.,Plenty of Pets,,15,-1,-1,1017,92,0,10,0,24,132599,126937,0
Raise your unarmed skill to 400.,Did Somebody Order a Knuckle Sandwich?,,16,-1,-1,0,92,0,10,0,10,132356,125879,0
Complete a daily quest every day for five consecutive days.,A Simple Re-Quest,,31,-1,-1,0,96,0,10,0,14,236680,122242,0
Complete 2000 quests.,2000 Quests Completed,,32,-1,-1,508,96,0,10,0,7,236670,122244,0
Complete 130 quests in Borean Tundra.,Nothing Boring About Borean,,33,-1,1,0,14863,0,10,136,1,236728,121404,0
Complete 130 quests in Howling Fjord.,I've Toured the Fjord,,34,-1,1,0,14863,0,10,0,3,236787,125877,0
Complete 115 quests in Dragonblight.,Might of Dragonblight,,35,-1,1,0,14863,0,10,0,5,236749,121407,0
Complete 100 quests in Zul'Drak.,The Empire of Zul'Drak,,36,-1,-1,0,14863,0,10,0,9,236862,121409,0
Complete 85 quests in Grizzly Hills.,Fo' Grizzle My Shizzle,,37,-1,1,0,14863,0,10,0,7,236772,125875,0
Complete 100 quests in Storm Peaks.,The Summit of Storm Peaks,,38,-1,-1,0,14863,0,10,0,11,236838,121411,0
Complete 75 quests in Sholazar Basin.,Into the Basin,,39,-1,-1,0,14863,0,10,0,10,236823,121413,0
Complete 140 quests in Icecrown.,Icecrown: The Final Goal,,40,-1,-1,0,14863,0,10,0,12,236799,123656,0
Complete the Northrend quest achievements listed below.,Loremaster of Northrend,,41,-1,1,0,14863,0,10,0,21,236812,127762,0
Explore the regions of Eastern Kingdoms.,Explore Eastern Kingdoms,,42,-1,-1,0,97,0,25,0,1,236759,122988,0
Explore the regions of Kalimdor.,Explore Kalimdor,,43,-1,-1,0,97,0,25,0,2,236807,121375,0
Explore the regions of Outland.,Explore Outland,,44,-1,-1,0,97,0,25,0,3,236813,121396,0
Explore the regions of Northrend.,Explore Northrend,Reward: Tabard of the Explorer,45,-1,-1,0,97,0,25,0,4,236812,128467,0
