ID,Name_lang,HordeName_lang,EffectArg[0],EffectArg[1],EffectArg[2],EffectScalingPoints[0],EffectScalingPoints[1],EffectScalingPoints[2],TransmogUnlockConditionID,TransmogCost,IconFileDataID,EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect[0],Effect[1],Effect[2],ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
1,Rockbiter 3,,15568,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,1,0,3,0,0,0,0,0,0,0
2,Frostbrand 1,,8034,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,1,0,0,0,0,0,0,0
3,Flametongue 3,,8029,0,0,0,0,0,0,0,0,100,0,0,32,1,0,0,1,0,1,0,0,0,0,0,0,0
4,Flametongue 2,,8028,0,0,0,0,0,0,0,0,100,0,0,32,1,0,0,1,0,1,0,0,0,0,0,0,0
5,Flametongue 1,,8026,0,0,0,0,0,0,0,0,100,0,0,32,1,0,0,1,0,1,0,0,0,0,0,0,0
6,Rockbiter 2,,15567,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,1,0,3,0,0,0,0,0,0,0
7,Deadly Poison,,2818,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,60,1,0,0,0,0,0,0,0
8,Deadly Poison II,,2819,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,75,1,0,0,0,0,0,0,0
9,Poison (15 Dmg),,2820,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
10,Poison (20 Dmg),,2821,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
11,Poison (25 Dmg),,2822,0,0,0,0,0,0,0,0,30,0,0,26,1,0,0,1,0,1,0,0,0,0,0,0,0
12,Frostbrand 2,,8037,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,1,0,0,0,0,0,0,0
