ID,Name_lang,HordeName_lang,Duration,EffectArg[0],EffectArg[1],EffectArg[2],EffectScalingPoints[0],EffectScalingPoints[1],EffectScalingPoints[2],IconFileDataID,ItemLevelMin,ItemLevelMax,TransmogUseConditionID,TransmogCost,EffectPointsMin[0],EffectPointsMin[1],EffectPointsMin[2],ItemVisual,Flags,RequiredSkillID,RequiredSkillRank,ItemLevel,Charges,Effect[0],Effect[1],Effect[2],ScalingClass,ScalingClassRestricted,Condition_ID,MinLevel,MaxLevel
13,Sharpened II,,3600,0,0,0,1,0,0,0,2,50,0,0,1,0,0,28,33,0,0,5,0,2,0,0,-1,0,0,0,1
14,Sharpened III,,3600,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,28,33,0,0,15,0,2,0,0,-1,0,0,0,7
15,Reinforced (+$k1 Armor),,0,0,0,0,0.072,0,0,0,0,50,0,0,8,0,0,0,32,0,0,1,0,4,0,0,-1,0,0,0,25
16,Reinforced (+$k1 Armor),,0,0,0,0,0.072,0,0,0,2,50,0,0,16,0,0,0,32,0,0,5,0,4,0,0,-1,0,0,0,25
17,Reinforced (+$k1 Armor),,0,0,0,0,0.1,0,0,0,12,50,0,0,24,0,0,0,32,0,0,20,0,4,0,0,-1,0,0,0,25
18,Reinforced (+$k1 Armor),,0,0,0,0,0.13,0,0,0,18,50,0,0,32,0,0,0,32,0,0,30,0,4,0,0,-1,0,0,0,25
19,Weighted I,,3600,0,0,0,0.6667,0,0,0,0,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
20,Weighted II,,3600,0,0,0,1,0,0,0,2,50,0,0,1,0,0,0,33,0,0,1,0,2,0,0,-1,0,0,0,1
21,Weighted III,,3600,0,0,0,0.3637,0,0,0,8,50,0,0,2,0,0,0,33,0,0,15,0,2,0,0,-1,0,0,0,7
24,+$k1 Mana,,0,0,0,0,0.1,0,0,0,0,50,0,0,5,0,0,0,32,0,0,1,0,5,0,0,-1,0,0,0,25
25,Shadow Oil,,1800,14122,0,0,0,0,0,0,15,50,0,0,15,0,0,1,0,0,0,24,0,1,0,0,0,0,0,0,11
26,Frost Oil,,1800,96089,0,0,0,0,0,0,18,50,0,0,10,0,0,27,0,0,0,30,0,1,0,0,0,0,0,0,50
30,Scope (+$k1 Damage),,0,0,0,0,0.08,0,0,0,2,50,0,0,1,0,0,0,32,0,0,5,0,2,0,0,-1,0,0,0,25
32,Scope (+$k1 Damage),,0,0,0,0,0.06,0,0,0,5,50,0,0,1,0,0,0,32,0,0,10,0,2,0,0,-1,0,0,0,25
