ID,UniqueBitFlag,UiQuestDetailsThemeID
1,3287,0
2,2617,0
5,60,0
6,5,0
7,10,0
8,1533,0
9,162,0
10,12,0
11,113,0
12,13,0
13,14,0
14,15,0
15,3,0
17,7,0
18,71,0
19,8,0
20,90,0
21,6,0
22,197,0
23,22,0
24,23,0
25,24,0
26,16,0
27,17,0
28,18,0
29,19,0
30,20,0
31,21,0
32,135,0
33,70,0
34,25,0
35,28,0
36,26,0
37,29,0
38,121,0
39,1,0
40,27,0
45,11,0
46,114,0
47,111,0
48,30,0
49,31,0
50,32,0
51,33,0
52,115,0
53,34,0
54,40,0
55,69,0
56,35,0
57,37,0
58,36,0
59,96,0
60,109,0
61,38,0
62,39,0
63,1564,0
64,41,0
65,42,0
66,43,0
67,44,0
68,45,0
69,46,0
70,47,0
71,48,0
72,49,0
73,50,0
74,51,0
75,52,0
76,56,0
77,2,0
78,53,0
79,54,0
80,55,0
81,1620,0
82,1616,0
83,110,0
84,112,0
85,57,0
86,58,0
87,59,0
88,108,0
89,195,0
90,210,0
91,201,0
92,216,0
93,211,0
94,61,0
95,140,0
96,62,0
97,63,0
98,64,0
99,65,0
100,1562,0
101,154,0
102,67,0
103,129,0
104,68,0
105,452,0
106,72,0
107,73,0
109,74,0
110,75,0
111,76,0
112,77,0
113,138,0
114,78,0
115,79,0
116,9,0
118,84,0
119,81,0
120,82,0
121,83,0
122,85,0
123,118,0
124,80,0
125,86,0
126,87,0
127,116,0
128,218,0
129,88,0
130,89,0
131,91,0
132,92,0
133,93,0
134,94,0
135,95,0
136,97,0
137,98,0
138,99,0
139,100,0
140,101,0
141,102,0
142,103,0
143,104,0
144,105,0
145,106,0
146,107,0
147,117,0
148,119,0
149,120,0
150,122,0
151,123,0
152,124,0
153,125,0
154,126,0
155,127,0
156,128,0
157,130,0
158,131,0
159,227,0
160,132,0
161,251,0
162,133,0
163,134,0
164,136,0
165,137,0
166,139,0
167,141,0
168,142,0
169,143,0
170,144,0
171,145,0
172,146,0
173,147,0
174,148,0
175,149,0
176,150,0
177,151,0
178,152,0
179,188,0
180,153,0
181,155,0
182,8115,0
183,194,0
184,157,0
185,9590,0
186,9591,0
187,9592,0
188,9593,0
189,164,0
190,9579,0
191,9578,0
192,9584,0
193,9585,0
194,9586,0
195,9587,0
196,9588,0
197,9589,0
198,172,0
199,173,0
200,174,0
201,175,0
202,176,0
203,177,0
204,178,0
205,179,0
206,180,0
207,181,0
208,9576,0
209,183,0
210,184,0
211,185,0
212,186,0
213,187,0
214,189,0
215,190,0
216,191,0
217,226,0
218,8117,0
219,193,0
220,196,0
221,209,0
222,198,0
223,199,0
224,200,0
225,202,0
226,203,0
227,204,0
228,205,0
229,206,0
230,207,0
231,208,0
232,333,0
233,212,0
234,213,0
235,2620,0
236,6965,0
237,214,0
238,1614,0
239,215,0
240,217,0
241,432,0
242,220,0
243,221,0
244,222,0
245,223,0
246,224,0
247,2619,0
248,228,0
249,229,0
250,230,0
251,231,0
252,232,0
253,233,0
255,235,0
256,236,0
257,237,0
258,238,0
259,239,0
260,240,0
261,241,0
262,242,0
263,243,0
264,1236,0
265,447,0
266,448,0
267,244,0
268,245,0
269,246,0
270,247,0
271,248,0
272,249,0
273,250,0
274,252,0
275,253,0
276,254,0
277,303,0
278,255,0
279,256,0
280,257,0
281,258,0
282,259,0
283,260,0
284,261,0
285,262,0
286,263,0
287,264,0
288,265,0
289,266,0
290,267,0
291,268,0
292,269,0
293,270,0
294,271,0
295,272,0
296,273,0
297,274,0
298,275,0
299,276,0
301,225,0
302,277,0
303,278,0
304,279,0
305,280,0
306,281,0
307,282,0
309,12026,0
310,284,0
311,285,0
312,286,0
313,287,0
314,288,0
315,289,0
317,290,0
318,291,0
319,292,0
320,293,0
321,294,0
322,295,0
323,296,0
324,297,0
325,298,0
328,299,0
329,300,0
330,301,0
331,302,0
332,304,0
333,305,0
334,306,0
335,307,0
336,308,0
337,309,0
338,310,0
339,311,0
340,312,0
341,313,0
342,314,0
343,315,0
344,318,0
345,316,0
346,317,0
347,319,0
348,320,0
350,321,0
351,322,0
352,323,0
353,324,0
354,325,0
355,326,0
356,327,0
357,328,0
358,329,0
359,331,0
360,330,0
361,332,0
362,335,0
363,334,0
364,336,0
365,337,0
366,338,0
367,339,0
368,8416,0
369,341,0
370,342,0
371,343,0
372,344,0
373,345,0
374,346,0
375,347,0
376,348,0
377,349,0
378,350,0
379,1615,0
380,352,0
381,353,0
382,354,0
383,355,0
384,356,0
385,357,0
386,358,0
387,359,0
388,360,0
389,361,0
391,362,0
392,363,0
393,364,0
394,365,0
395,366,0
396,367,0
397,368,0
398,369,0
399,370,0
400,371,0
401,372,0
404,378,0
405,373,0
406,374,0
407,375,0
408,376,0
409,377,0
411,536,0
412,379,0
413,380,0
414,381,0
415,382,0
416,383,0
417,384,0
418,385,0
419,386,0
420,387,0
421,388,0
422,389,0
423,390,0
424,391,0
425,392,0
426,219,0
427,393,0
428,394,0
429,395,0
430,399,0
432,396,0
433,397,0
434,398,0
435,400,0
436,401,0
437,402,0
438,403,0
439,404,0
440,405,0
441,501,0
442,406,0
443,407,0
444,408,0
445,409,0
446,410,0
447,411,0
448,412,0
449,413,0
450,414,0
451,415,0
452,416,0
453,417,0
454,418,0
455,419,0
456,420,0
457,421,0
458,422,0
459,7577,0
460,424,0
461,425,0
462,426,0
463,451,0
464,427,0
465,428,0
466,429,0
467,430,0
468,431,0
469,433,0
470,440,0
471,439,0
472,434,0
473,435,0
474,436,0
475,11787,0
476,11788,0
477,441,0
478,442,0
479,443,0
480,444,0
481,445,0
482,446,0
483,11789,0
484,450,0
485,1628,0
486,11790,0
487,11791,0
488,11782,0
489,11783,0
490,457,0
491,458,0
492,459,0
493,460,0
494,461,0
495,462,0
496,463,0
497,464,0
498,465,0
499,466,0
500,517,0
501,467,0
502,468,0
503,469,0
504,470,0
505,471,0
506,472,0
507,473,0
508,474,0
509,475,0
510,476,0
511,477,0
512,478,0
513,479,0
514,532,0
515,480,0
516,481,0
517,482,0
518,483,0
519,484,0
520,485,0
521,486,0
522,487,0
523,488,0
524,489,0
525,490,0
526,491,0
527,492,0
528,493,0
529,494,0
530,495,0
531,496,0
532,497,0
533,498,0
534,499,0
535,500,0
536,502,0
537,503,0
538,505,0
539,504,0
540,506,0
541,507,0
542,508,0
543,509,0
544,510,0
545,511,0
546,512,0
547,513,0
548,514,0
549,515,0
550,516,0
551,518,0
552,519,0
553,520,0
554,521,0
555,522,0
556,523,0
557,527,0
558,859,0
559,525,0
560,526,0
561,528,0
562,529,0
563,530,0
564,531,0
565,533,0
566,534,0
567,535,0
568,537,0
569,538,0
570,539,0
571,540,0
572,541,0
573,542,0
574,543,0
575,544,0
576,545,0
577,546,0
578,547,0
580,548,0
581,549,0
582,550,0
583,9577,0
584,552,0
585,553,0
586,554,0
587,555,0
588,556,0
589,557,0
590,558,0
591,559,0
592,560,0
594,561,0
595,562,0
596,563,0
597,564,0
598,565,0
599,566,0
600,567,0
601,568,0
602,569,0
603,570,0
604,571,0
605,572,0
606,573,0
607,574,0
608,575,0
609,576,0
610,577,0
611,578,0
612,991,0
613,580,0
614,581,0
615,582,0
616,583,0
617,592,0
618,584,0
620,585,0
621,586,0
622,587,0
623,588,0
624,589,0
625,590,0
626,591,0
627,593,0
628,594,0
629,595,0
630,596,0
631,579,0
632,597,0
633,598,0
634,599,0
635,600,0
636,601,0
637,602,0
638,603,0
639,604,0
640,605,0
641,606,0
642,607,0
643,608,0
644,609,0
645,610,0
646,621,0
647,612,0
648,613,0
649,614,0
650,1776,0
651,616,0
652,617,0
653,618,0
654,351,0
655,611,0
656,620,0
657,625,0
658,622,0
659,623,0
660,624,0
661,626,0
662,627,0
663,628,0
664,629,0
665,630,0
666,631,0
667,632,0
668,633,0
669,634,0
670,635,0
671,636,0
672,637,0
673,638,0
674,639,0
675,640,0
676,615,0
677,641,0
678,642,0
679,643,0
680,644,0
681,645,0
682,646,0
683,647,0
684,648,0
685,649,0
686,650,0
687,651,0
688,652,0
689,653,0
690,654,0
691,655,0
692,656,0
693,657,0
694,658,0
695,659,0
696,660,0
697,661,0
698,662,0
699,663,0
700,664,0
701,665,0
702,666,0
703,667,0
704,668,0
705,669,0
706,670,0
707,2374,0
708,671,0
709,672,0
710,673,0
711,674,0
712,675,0
713,676,0
714,677,0
715,678,0
716,679,0
717,680,0
718,681,0
719,682,0
720,683,0
721,684,0
722,685,0
723,686,0
724,687,0
725,688,0
726,689,0
727,690,0
728,691,0
729,692,0
730,693,0
731,694,0
732,695,0
733,696,0
734,697,0
735,698,0
736,699,0
737,700,0
738,701,0
739,702,0
741,703,0
742,2620,0
743,705,0
744,706,0
745,707,0
746,708,0
747,709,0
748,710,0
749,711,0
750,712,0
751,713,0
752,714,0
753,715,0
754,716,0
755,717,0
756,718,0
757,719,0
758,720,0
759,721,0
760,722,0
761,723,0
762,724,0
763,725,0
