Description_lang,SourceText_lang,ID,CreatureID,SummonSpellID,IconFileDataID,PetTypeEnum,Flags,SourceTypeEnum,CardUIModelSceneID,LoadoutUIModelSceneID,CovenantID
,,2,61892,0,132332,4,49,-1,6,7,0
A mechanical squirrel's logic center tells it to collect and store both nuts and bolts for the winter.,|cFFFFD200Profession: |rEngineering,39,2671,4055,656559,9,2,3,6,7,0
Donni Anthania plans to have a bombay buried with her when she dies. A wise adventurer can put its talents to much better use.,|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,40,7385,10673,656575,7,2,2,6,7,0
Donni Anthania invites these cats to her tea parties. But she doesn't serve their favorite drink: the tears of their enemies.,|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,41,7384,10674,656577,7,2,2,6,7,0
"Old Alterac saying: 'A cat has nine lives, but needs only one.'",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rHillsbrad Foothills,42,7383,10675,656574,7,2,0,6,7,0
The last person who tried to housebreak this cat quickly learned that a soiled rug is better than a shredded everything-else.,"|cFFFFD200Vendor: |rDonni Anthania, Steven Lisbane|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",43,7382,10676,656578,7,2,2,6,7,0
Known for its blue eyes. Also considered a delicacy by giant murlocs.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,44,7380,10677,656579,7,2,2,6,7,0
Sleeping is this cat's second favorite activity. The first is yawning.,|cFFFFD200Vendor: |rDonni Anthania|n|cFFFFD200Zone: |rElwynn Forest|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,45,7381,10678,656580,7,2,2,6,7,0
"'The queen had three kittens. The first gave her a juicy rat. The second, a tasty hare. And the white, her favorite, presented the head of her rival.'",|cFFFFD200Vendor: |rLil Timmy|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r60|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,46,7386,10679,656581,7,2,2,6,7,0
Some say this clever bird can be taught to speak--but it's smart enough to keep its beak shut.,"|cFFFFD200Vendor: |rHarry No-Hooks, Narkk|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",47,7390,10680,132921,2,2,2,6,7,0
The jungle trolls train these birds to mimic calls for help in order to lure unsuspecting travelers into traps.,"|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rNorthern Stranglethorn, The Cape of Stranglethorn",49,7391,10682,132921,2,2,0,6,7,0
"Favored pet of the Defias pirates, this colorful bird is handy for remembering passwords, grocery lists, and cracker recipes.",|cFFFFD200Drop: |rDefias Pirate|n|cFFFFD200Zone: |rThe Deadmines,50,7387,10683,132925,2,2,0,6,7,0
"Favored pet of the goblins of Booty Bay, this colorful bird is renowned for its ability to count coins, tally budgets, and lie about contracts.","|cFFFFD200Vendor: |rNarkk, Harry No-Hooks|n|cFFFFD200Zone: |rThe Cape of Stranglethorn|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r40|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",51,7389,10684,132924,2,2,2,6,7,0
It thinks you taste like chicken too.,"|cFFFFD200Vendor: |r""Plucky"" Johnson|n|cFFFFD200Zone: |rThousand Needles|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",52,7394,10685,135996,2,2,2,6,7,0
The cockroach is usually an impulse buy. Its owners have a hard time parting with it even after numerous attempts.,|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rJeremiah Payson|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,55,7395,10688,294474,4,2,2,6,7,0
"Hopes that someday it can grow up to destroy villages, just like mommy.","|cFFFFD200Drop: |rWhelplings|n|cFFFFD200Zone: |rWetlands, Dustwallow Marsh, Badlands, Burning Steppes",56,7543,10695,134154,1,2,0,6,7,0
"Like other members of the blue dragonflight, these whimsical little critters display an affinity to arcane magic.",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWinterspring,57,7547,10696,134155,1,2,0,6,7,0
"Hailing from the Wetlands, this young dragon is just learning how to hunt, breathe fire, and go on cute destructive rampages.",|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Zone: |rWetlands,58,7544,10697,134158,1,2,0,6,7,0
"Once bred and raised by the green dragon Itharius, this unique breed of dragon has settled in the jungles of Feralas.",|cFFFFD200Drop: |rNoxious Whelp|n|cFFFFD200Zone: |rFeralas,59,7545,10698,134157,1,2,0,6,7,0
Vendors at the Darkmoon Faire offer strange and exotic wonders. They also sell wood frogs.,|cFFFFD200Vendor: |rFlik|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,64,7550,10703,237579,8,2,2,6,7,0
Known for their powerful legs and keen eyesight.,|cFFFFD200Vendor: |rFlik|n|cFFFFD200Zone: |rDarkmoon Island|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,65,7549,10704,237579,8,2,2,6,7,0
This dark-feathered bird of prey is often seen as a harbinger of doom amongst the druids of Teldrassil.,|cFFFFD200Vendor: |rShylenai|n|cFFFFD200Zone: |rTeldrassil|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,67,7555,10706,132150,2,2,2,6,7,0
Night elf children are given an owl feather on their first birthday as a token of good luck.,|cFFFFD200Vendor: |rShylenai|n|cFFFFD200Zone: |rTeldrassil|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,68,7553,10707,132150,2,2,2,6,7,0
Winterspring's furbolg prize the brilliant white feathers of these majestic creatures for ritual purposes.,|cFFFFD200Pet Battle: |rWinterspring|n|cFFFFD200Season: |rWinter,69,7554,0,132150,2,26,4,6,7,0
A complex system of burrows protects the prairie dog from its neighbors' massive hooves.,"|cFFFFD200Vendor: |rHalpa, Naleen|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t",70,14421,10709,2126349,4,2,2,6,7,0
"If you go chasing snowshoe rabbits, you know you're going to fall.",|cFFFFD200Vendor: |rYarlyn Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r20|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,72,7560,10711,132762,4,2,2,6,7,0
"A favored companion of Kirin Tor magi, this reptile makes one wonder whether it's truly a snake or something else altogether.",|cFFFFD200Vendor: |rBreanni|n|cFFFFD200Zone: |rDalaran|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,74,7561,10713,136040,7,2,2,6,7,0
"Xan'tish fearlessly tracks, captures, and trains these noble snakes so they will aid their comrades in battle.",|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,75,7565,10714,136040,7,2,2,6,7,0
The brown snake is native to Horde-controlled territories. It seems unremarkable until its victims are within range.,|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,77,7562,10716,136040,7,2,2,6,7,0
"The crimson snake is favored among the Darkspear trolls for not only its vicious nature, but also its steadfast loyalty.",|cFFFFD200Vendor: |rDealer Rashaad|n|cFFFFD200Zone: |rNetherstorm|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t|n|n|cFFFFD200Vendor: |rXan'tish|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r50|TINTERFACE\MONEYFRAME\UI-SILVERICON.BLP:0|t,78,7567,10717,136040,7,2,2,6,7,0
