ID,Name_lang,Name1_lang,Mask_ID,Flags
1,Private %s,Private %s,1,0
2,Corporal %s,Corporal %s,2,0
3,Sergeant %s,Sergeant %s,3,0
4,Master Sergeant %s,Master Sergeant %s,4,0
5,Sergeant Major %s,Sergeant Major %s,5,0
6,Knight %s,Knight %s,6,0
7,Knight-Lieutenant %s,Knight-Lieutenant %s,7,0
8,Knight-Captain %s,Knight-Captain %s,8,0
9,Knight-Champion %s,Knight-Champion %s,9,0
10,Lieutenant Commander %s,Lieutenant Commander %s,10,0
11,Commander %s,Commander %s,11,0
12,Marshal %s,Marshal %s,12,0
13,Field Marshal %s,Field Marshal %s,13,0
14,Grand Marshal %s,Grand Marshal %s,14,0
15,Scout %s,Scout %s,15,0
16,Grunt %s,Grunt %s,16,0
17,Sergeant %s,Sergeant %s,17,0
18,Senior Sergeant %s,Senior Sergeant %s,18,0
19,First Sergeant %s,First Sergeant %s,19,0
20,Stone Guard %s,Stone Guard %s,20,0
21,Blood Guard %s,Blood Guard %s,21,0
22,Legionnaire %s,Legionnaire %s,22,0
23,Centurion %s,Centurion %s,23,0
24,Champion %s,Champion %s,24,0
25,Lieutenant General %s,Lieutenant General %s,25,0
26,General %s,General %s,26,0
27,Warlord %s,Warlord %s,27,0
28,High Warlord %s,High Warlord %s,28,0
42,Gladiator %s,Gladiator %s,29,0
43,Duelist %s,Duelist %s,30,0
44,Rival %s,Rival %s,31,0
45,Challenger %s,Challenger %s,32,0
46,Scarab Lord %s,Scarab Lord %s,33,0
47,Conqueror %s,Conqueror %s,34,0
48,Justicar %s,Justicar %s,35,0
53,"%s, Champion of the Naaru","%s, Champion of the Naaru",36,0
62,Merciless Gladiator %s,Merciless Gladiator %s,37,0
63,%s of the Shattered Sun,%s of the Shattered Sun,38,0
64,"%s, Hand of A'dal","%s, Hand of A'dal",39,0
71,Vengeful Gladiator %s,Vengeful Gladiator %s,40,0
72,Battlemaster %s,Battlemaster %s,41,0
74,Elder %s,Elder %s,43,0
75,Flame Warden %s,Flame Warden %s,44,0
76,Flame Keeper %s,Flame Keeper %s,45,0
77,%s the Exalted,%s the Exalted,46,0
78,%s the Explorer,%s the Explorer,47,0
79,%s the Diplomat,%s the Diplomat,48,0
80,Brutal Gladiator %s,Brutal Gladiator %s,49,0
81,%s the Seeker,%s the Seeker,42,0
82,Arena Master %s,Arena Master %s,50,0
83,Salty %s,Salty %s,51,0
84,Chef %s,Chef %s,52,0
85,Crashin' Thrashin' %s,Crashin' Thrashin' %s,53,0
86,%s of the Ten Storms,%s of the Ten Storms,54,0
87,%s of the Emerald Dream,%s of the Emerald Dream,55,0
89,Prophet %s,Prophet %s,57,0
90,%s the Malefic,%s the Malefic,58,0
91,Predator %s,Predator %s,59,0
92,%s of the Ebon Blade,%s of the Ebon Blade,60,0
93,Archmage %s,Archmage %s,61,0
94,Battlelord %s,Battlelord %s,62,0
95,Assassin %s,Assassin %s,63,0
96,Grand Master Alchemist %s,Grand Master Alchemist %s,64,0
97,Grand Master Blacksmith %s,Grand Master Blacksmith %s,65,0
98,Iron Chef %s,Iron Chef %s,66,0
99,Grand Master Enchanter %s,Grand Master Enchanter %s,67,0
100,Grand Master Engineer %s,Grand Master Engineer %s,68,0
101,Doctor %s,Doctor %s,69,0
102,Grand Master Angler %s,Grand Master Angler %s,70,0
103,Grand Master Herbalist %s,Grand Master Herbalist %s,71,0
104,Grand Master Scribe %s,Grand Master Scribe %s,72,0
105,Grand Master Jewelcrafter %s,Grand Master Jewelcrafter %s,73,0
106,Grand Master Leatherworker %s,Grand Master Leatherworker %s,74,0
107,Grand Master Miner %s,Grand Master Miner %s,75,0
108,Grand Master Skinner %s,Grand Master Skinner %s,76,0
109,Grand Master Tailor %s,Grand Master Tailor %s,77,0
110,Combatant %s,Combatant %s,78,0
111,Dread Gladiator %s,Dread Gladiator %s,79,0
112,Sinister Gladiator %s,Sinister Gladiator %s,80,0
113,%s of Gnomeregan,%s of Gnomeregan,81,0
114,%s the Lion Hearted,%s the Lion Hearted,82,0
115,"%s, Champion of Elune","%s, Champion of Elune",83,0
116,"%s, Hero of Orgrimmar","%s, Hero of Orgrimmar",84,0
117,Plainsrunner %s,Plainsrunner %s,85,0
118,%s of the Darkspear,%s of the Darkspear,86,0
119,%s the Forsaken,%s the Forsaken,87,0
120,%s the Magic Seeker,%s the Magic Seeker,88,0
121,Twilight Vanquisher %s,Twilight Vanquisher %s,89,0
122,"%s, Conqueror of Naxxramas","%s, Conqueror of Naxxramas",90,0
123,"%s, Hero of Northrend","%s, Hero of Northrend",91,0
124,%s the Hallowed,%s the Hallowed,92,0
125,Loremaster %s,Loremaster %s,93,0
126,%s of the Alliance,%s of the Alliance,94,0
127,%s of the Horde,%s of the Horde,95,0
128,%s the Flawless Victor,%s the Flawless Victor,96,0
129,"%s, Champion of the Frozen Wastes","%s, Champion of the Frozen Wastes",97,0
130,Ambassador %s,Ambassador %s,98,0
131,%s the Argent Champion,%s the Argent Champion,99,0
132,"%s, Guardian of Cenarius","%s, Guardian of Cenarius",100,0
133,Brewmaster %s,Brewmaster %s,101,0
134,Merrymaker %s,Merrymaker %s,102,0
135,%s the Love Fool,%s the Love Fool,103,0
137,Matron %s,Matron %s,104,0
138,Patron %s,Patron %s,105,0
139,Obsidian Slayer %s,Obsidian Slayer %s,106,0
140,%s of the Nightfall,%s of the Nightfall,107,0
141,%s the Immortal,%s the Immortal,108,0
142,%s the Undying,%s the Undying,109,0
143,%s Jenkins,%s Jenkins,110,0
144,Bloodsail Admiral %s,Bloodsail Admiral %s,111,0
145,%s the Insane,%s the Insane,112,0
146,%s of the Exodar,%s of the Exodar,113,0
147,%s of Darnassus,%s of Darnassus,114,0
148,%s of Ironforge,%s of Ironforge,115,0
149,%s of Stormwind,%s of Stormwind,116,0
150,%s of Orgrimmar,%s of Orgrimmar,117,0
151,%s of Sen'jin,%s of Sen'jin,118,0
152,%s of Silvermoon,%s of Silvermoon,119,0
153,%s of Thunder Bluff,%s of Thunder Bluff,120,0
154,%s of the Undercity,%s of the Undercity,121,0
155,%s the Noble,%s the Noble,122,0
156,Crusader %s,Crusader %s,123,0
157,Deadly Gladiator %s,Deadly Gladiator %s,56,0
158,"%s, Death's Demise","%s, Death's Demise",124,0
159,%s the Celestial Defender,%s the Celestial Defender,125,0
160,"%s, Conqueror of Ulduar","%s, Conqueror of Ulduar",126,0
161,"%s, Champion of Ulduar","%s, Champion of Ulduar",127,0
163,Vanquisher %s,Vanquisher %s,128,2
164,Starcaller %s,Starcaller %s,129,0
165,%s the Astral Walker,%s the Astral Walker,130,0
166,"%s, Herald of the Titans","%s, Herald of the Titans",131,0
167,Furious Gladiator %s,Furious Gladiator %s,132,0
168,%s the Pilgrim,%s the Pilgrim,133,0
169,Relentless Gladiator %s,Relentless Gladiator %s,134,0
170,Grand Crusader %s,Grand Crusader %s,135,0
171,%s the Argent Defender,%s the Argent Defender,136,0
172,%s the Patient,%s the Patient,137,0
173,%s the Light of Dawn,%s the Light of Dawn,138,0
174,"%s, Bane of the Fallen King","%s, Bane of the Fallen King",139,0
175,%s the Kingslayer,%s the Kingslayer,140,0
176,%s of the Ashen Verdict,%s of the Ashen Verdict,141,0
177,Wrathful Gladiator %s,Wrathful Gladiator %s,142,0
188,"%s, Slayer of Stupid, Incompetent and Disappointing Minions","%s, Slayer of Stupid, Incompetent and Disappointing Minions",147,0
189,Assistant Professor %s,Assistant Professor %s,148,0
190,Associate Professor %s,Associate Professor %s,149,0
191,Professor %s,Professor %s,150,0
193,"%s, Veteran of the Alliance","%s, Veteran of the Alliance",152,0
194,"%s, Veteran of the Horde","%s, Veteran of the Horde",153,0
195,Private %s,Private %s,154,0
196,Corporal %s,Corporal %s,155,0
197,Sergeant %s,Sergeant %s,156,0
198,Master Sergeant %s,Master Sergeant %s,157,0
199,Sergeant Major %s,Sergeant Major %s,158,0
200,Knight %s,Knight %s,159,0
201,Knight-Lieutenant %s,Knight-Lieutenant %s,160,0
202,Knight-Captain %s,Knight-Captain %s,161,0
203,Knight-Champion %s,Knight-Champion %s,162,0
204,Lieutenant Commander %s,Lieutenant Commander %s,163,0
205,Commander %s,Commander %s,164,0
206,Marshal %s,Marshal %s,165,0
207,Field Marshal %s,Field Marshal %s,166,0
208,Grand Marshal %s,Grand Marshal %s,167,0
209,Scout %s,Scout %s,168,0
210,Grunt %s,Grunt %s,169,0
211,Sergeant %s,Sergeant %s,170,0
212,Senior Sergeant %s,Senior Sergeant %s,171,0
213,First Sergeant %s,First Sergeant %s,172,0
214,Stone Guard %s,Stone Guard %s,173,0
215,Blood Guard %s,Blood Guard %s,174,0
216,Legionnaire %s,Legionnaire %s,175,0
217,Centurion %s,Centurion %s,176,0
218,Champion %s,Champion %s,177,0
219,Lieutenant General %s,Lieutenant General %s,178,0
220,General %s,General %s,179,0
221,Warlord %s,Warlord %s,180,0
222,High Warlord %s,High Warlord %s,181,0
223,"%s, Hero of the Alliance","%s, Hero of the Alliance",182,0
224,"%s, Hero of the Horde","%s, Hero of the Horde",183,0
225,"%s, the Bloodthirsty","%s, the Bloodthirsty",184,0
226,%s of the Four Winds,%s of the Four Winds,151,0
227,"%s, Defender of a Shattered World","%s, Defender of a Shattered World",185,0
228,Dragonslayer %s,Dragonslayer %s,186,0
229,"%s, Blackwing's Bane","%s, Blackwing's Bane",187,0
258,%s the Camel-Hoarder,%s the Camel-Hoarder,143,0
259,Warbringer %s,Warbringer %s,144,0
260,Warbound %s,Warbound %s,145,0
266,"%s, Blessed Defender of Nordrassil","%s, Blessed Defender of Nordrassil",146,0
267,"%s, Avenger of Hyjal","%s, Avenger of Hyjal",188,0
276,%s the Flamebreaker,%s the Flamebreaker,189,0
278,Firelord %s,Firelord %s,190,0
279,Vicious Gladiator %s,Vicious Gladiator %s,191,0
280,Ruthless Gladiator %s,Ruthless Gladiator %s,192,0
281,Cataclysmic Gladiator %s,Cataclysmic Gladiator %s,193,0
285,"%s, Savior of Azeroth","%s, Savior of Azeroth",194,0
287,"%s, Destroyer's End","%s, Destroyer's End",196,0
303,Farmer %s,Farmer %s,195,0
308,%s the Beloved,%s the Beloved,197,0
309,%s the Fearless,%s the Fearless,198,0
310,Zookeeper %s,Zookeeper %s,199,0
311,%s the Relic Hunter,%s the Relic Hunter,200,0
314,%s the Undaunted,%s the Undaunted,201,0
315,"%s, Master of the Ways","%s, Master of the Ways",202,0
316,%s the Tranquil Master,%s the Tranquil Master,203,0
317,"%s, Delver of the Vaults","%s, Delver of the Vaults",204,0
318,Shado-Master %s,Shado-Master %s,205,0
319,%s the Scenaturdist,%s the Scenaturdist,206,0
320,Tamer %s,Tamer %s,207,0
321,"%s, Seeker of Knowledge","%s, Seeker of Knowledge",208,0
333,Brawler %s,Brawler %s,209,2
338,%s the Wakener,%s the Wakener,218,0
340,%s Khan,%s Khan,220,0
341,%s the Stormbreaker,%s the Stormbreaker,221,0
342,"%s, Storm's End","%s, Storm's End",222,0
343,Malevolent Gladiator %s,Malevolent Gladiator %s,223,0
344,Gob Squad Recruit %s,Gob Squad Recruit %s,224,4
347,Gob Squad Commando %s,Gob Squad Commando %s,226,4
348,Trainer %s,Trainer %s,227,0
349,Darkspear Revolutionary %s,Darkspear Revolutionary %s,228,0
350,Gorgeous %s,Gorgeous %s,229,0
351,%s the Hordebreaker,%s the Hordebreaker,230,0
354,%s the Poisoned Mind,%s the Poisoned Mind,231,0
355,%s the Bloodseeker,%s the Bloodseeker,232,0
356,%s the Locust,%s the Locust,233,0
357,%s the Swarmkeeper,%s the Swarmkeeper,234,0
358,%s the Prime,%s the Prime,235,0
359,%s the Manipulator,%s the Manipulator,236,0
360,%s the Dissector,%s the Dissector,237,0
361,%s the Lucid,%s the Lucid,238,0
362,%s the Wind-Reaver,%s the Wind-Reaver,239,0
365,%s the Crazy Cat Lady,%s the Crazy Cat Lady,240,0
366,"%s, Defender of the Wall","%s, Defender of the Wall",241,0
367,Mogu-Slayer %s,Mogu-Slayer %s,242,0
368,Flameweaver %s,Flameweaver %s,243,0
369,Scarlet Commander %s,Scarlet Commander %s,244,0
370,Darkmaster %s,Darkmaster %s,245,0
371,Purified Defender %s,Purified Defender %s,246,0
372,Siegebreaker %s,Siegebreaker %s,247,0
373,Stormbrewer %s,Stormbrewer %s,248,0
374,Jade Protector %s,Jade Protector %s,249,0
377,%s the Crazy Cat Man,%s the Crazy Cat Man,252,0
378,Grievous Gladiator %s,Grievous Gladiator %s,253,0
379,Prideful Gladiator %s,Prideful Gladiator %s,254,0
382,"%s, Conqueror of Orgrimmar","%s, Conqueror of Orgrimmar",211,0
383,"%s, Liberator of Orgrimmar","%s, Liberator of Orgrimmar",212,0
384,"%s, Hellscream's Downfall","%s, Hellscream's Downfall",214,0
385,%s the Proven Assailant,%s the Proven Assailant,215,0
386,%s the Proven Defender,%s the Proven Defender,216,0
387,%s the Proven Healer,%s the Proven Healer,219,0
388,Tyrannical Gladiator %s,Tyrannical Gladiator %s,225,0
389,Fire-Watcher %s,Fire-Watcher %s,251,0
390,Mistwalker %s,Mistwalker %s,255,0
391,%s of the Black Harvest,%s of the Black Harvest,256,0
392,Lumberjack %s,Lumberjack %s,257,0
393,Timber Lord %s,Timber Lord %s,258,0
394,%s the Commandojack,%s the Commandojack,259,0
395,Architect %s,Architect %s,260,0
397,Blood Champion %s,Blood Champion %s,261,0
398,%s the Manslayer,%s the Manslayer,262,0
399,Gnomebane %s,Gnomebane %s,263,0
400,%s the Dwarfstalker,%s the Dwarfstalker,264,0
401,Worgen Hunter %s,Worgen Hunter %s,265,0
402,"%s, Scourge of the Kaldorei","%s, Scourge of the Kaldorei",266,0
403,"%s, Draenei Destroyer","%s, Draenei Destroyer",267,0
404,"%s, Terror of the Tushui","%s, Terror of the Tushui",268,0
406,"%s, Warlord of Draenor","%s, Warlord of Draenor",269,0
407,%s the Butcher,%s the Butcher,270,0
408,Orcslayer %s,Orcslayer %s,271,0
409,%s the Death Stalker,%s the Death Stalker,272,0
410,"%s, Killer of Kezan","%s, Killer of Kezan",273,0
411,Troll Hunter %s,Troll Hunter %s,274,0
412,"%s, Slayer of Sin'dorei","%s, Slayer of Sin'dorei",275,0
413,"%s, Huojin's Fall","%s, Huojin's Fall",276,0
414,Stable Master %s,Stable Master %s,277,0
415,Talon King %s,Talon King %s,278,0
416,Talon Queen %s,Talon Queen %s,279,0
417,"%s, Tarren Mill Terror","%s, Tarren Mill Terror",280,0
418,"%s, Southshore Slayer","%s, Southshore Slayer",281,0
419,%s of the Frostwolves,%s of the Frostwolves,282,0
420,Prelate %s,Prelate %s,283,0
421,"""Conservationist"" %s","""Conservationist"" %s",284,0
422,"%s, Spear of Vol'jin","%s, Spear of Vol'jin",285,0
423,"%s, Sword of Wrynn","%s, Sword of Wrynn",286,0
424,Masked Chuckler %s,Masked Chuckler %s,287,0
425,Peacekeeper %s,Peacekeeper %s,288,0
426,%s of the Iron Vanguard,%s of the Iron Vanguard,289,0
428,%s the Indomitable,%s the Indomitable,290,0
429,%s the Mine Master,%s the Mine Master,291,0
430,Dockmaster %s,Dockmaster %s,292,0
431,%s the Soul Preserver,%s the Soul Preserver,293,0
432,"%s, Scion of Rukhmar","%s, Scion of Rukhmar",294,0
433,Spiritwalker %s,Spiritwalker %s,295,0
434,"%s, Lord of Blackrock","%s, Lord of Blackrock",296,0
435,"%s, Lady of Blackrock","%s, Lady of Blackrock",297,0
436,%s the Violet Guardian,%s the Violet Guardian,298,0
437,%s the Grimrail Suplexer,%s the Grimrail Suplexer,299,0
438,%s the Savage Hero,%s the Savage Hero,300,0
439,%s Ironbane,%s Ironbane,301,0
440,"%s, Lord of War","%s, Lord of War",302,0
441,"%s, Lady of War","%s, Lady of War",303,0
442,"%s, Empire's Twilight","%s, Empire's Twilight",304,0
443,Artisan %s,Artisan %s,305,0
444,"%s, Legend of Pandaria","%s, Legend of Pandaria",306,0
445,Field Photographer %s,Field Photographer %s,307,0
446,Primal Gladiator %s,Primal Gladiator %s,308,0
447,"%s, Guardian of the Alliance","%s, Guardian of the Alliance",309,0
448,"%s, Defender of the Alliance","%s, Defender of the Alliance",310,0
449,"%s, Soldier of the Alliance","%s, Soldier of the Alliance",311,0
450,"%s, Guardian of the Horde","%s, Guardian of the Horde",312,0
451,"%s, Defender of the Horde","%s, Defender of the Horde",313,0
452,"%s, Soldier of the Horde","%s, Soldier of the Horde",314,0
453,Wild Gladiator %s,Wild Gladiator %s,315,0
454,Warmongering Gladiator %s,Warmongering Gladiator %s,316,0
455,Captain %s,Captain %s,317,0
456,%s of the Jungle,%s of the Jungle,318,0
457,"%s, Defiler's End","%s, Defiler's End",319,0
458,Illidari %s,Illidari %s,344,0
462,Highlord %s,Highlord %s,345,0
463,Slayer %s,Slayer %s,320,0
464,The Honorable %s,The Honorable %s,321,0
465,The Prestigious %s,The Prestigious %s,322,0
466,The Unrelenting %s,The Unrelenting %s,323,0
468,"%s, Bound by Honor","%s, Bound by Honor",325,0
469,"%s, Patron of War","%s, Patron of War",326,0
470,Archdruid %s,Archdruid %s,327,0
471,Deathlord %s,Deathlord %s,328,0
472,Grandmaster %s,Grandmaster %s,329,0
473,Master Assassin %s,Master Assassin %s,330,0
474,"%s, Lord of the Reins","%s, Lord of the Reins",331,0
475,"%s, Guardian of G'Hanir","%s, Guardian of G'Hanir",332,0
476,%s the Groundbreaker,%s the Groundbreaker,333,0
477,%s the Fabulous,%s the Fabulous,334,0
478,Huntmaster %s,Huntmaster %s,335,0
479,Farseer %s,Farseer %s,336,0
480,Netherlord %s,Netherlord %s,337,0
