RaceMask,AbilityVerb_lang,AbilityAllVerb_lang,ID,SkillLine,Spell,MinSkillLineRank,ClassMask,SupercedesSpell,AcquireMethod,TrivialSkillLineRankHigh,TrivialSkillLineRankLow,Flags,NumSkillUps,UniqueBit,TradeSkillCategoryID,SkillupSkillLineID
0,,,246,45,264,1,13,0,2,0,0,0,1,0,0,0
0,,,248,44,196,1,6767,0,2,0,0,0,1,0,0,0
0,,,251,46,266,1,13,0,2,0,0,0,1,0,0,0
0,,,252,43,201,1,7087,0,2,0,0,0,1,0,0,0
0,,,254,54,198,1,5755,0,2,0,0,0,1,0,0,0
0,,,256,55,202,1,4135,0,2,0,0,0,1,0,0,0
0,,,490,95,204,1,0,0,2,0,0,0,1,0,0,0
6130900294268439629,,,590,98,668,1,0,0,2,0,0,0,1,0,0,0
-6184943489809468494,,,592,109,669,1,0,0,2,0,0,0,1,0,0,0
2052,,,594,111,672,1,0,0,2,0,0,0,1,0,0,0
8,,,596,113,671,1,0,0,2,0,0,0,1,0,0,0
134217760,,,598,115,670,1,0,0,2,0,0,0,1,0,0,0
0,,,610,118,674,1,2573,0,2,0,0,0,1,0,0,0
0,,,689,95,81,1,0,0,2,0,0,0,1,0,0,0
0,,,700,136,227,1,6101,0,2,0,0,0,1,0,0,0
0,,,724,139,815,1,0,0,2,0,0,0,1,0,0,0
98304,,,725,138,814,1,0,0,2,0,0,0,1,0,0,0
0,,,726,141,817,1,0,0,2,0,0,0,1,0,0,0
268435968,,,727,137,813,1,0,0,2,0,0,0,1,0,0,0
0,,,728,140,816,1,0,0,2,0,0,0,1,0,0,0
0,,,736,149,825,1,0,0,0,0,0,0,1,0,0,0
0,,,737,150,828,1,0,0,1,0,0,0,1,0,0,0
0,,,739,152,826,1,0,0,1,0,0,0,1,0,0,0
0,,,1236,162,203,1,0,0,2,0,0,0,1,0,0,0
0,,,1283,164,2018,1,0,0,0,1,1,0,1,1,0,0
0,,,1328,165,2108,1,0,0,0,1,1,0,1,1,0,0
0,,,1353,165,2149,1,0,0,1,70,40,0,1,2,258,2532
0,,,1355,165,2153,30,0,0,0,75,45,0,1,3,257,2532
0,,,1356,165,2152,1,0,0,1,60,30,0,1,4,249,2532
0,,,1359,165,2158,45,0,0,0,150,120,0,1,5,258,2532
0,,,1360,165,2159,1,0,0,0,135,105,0,1,6,259,2532
0,,,1362,165,2160,50,0,0,0,100,70,0,1,7,253,2532
0,,,1363,165,2161,65,0,0,0,115,85,0,1,8,258,2532
0,,,1364,165,2162,65,0,0,0,120,90,0,1,9,259,2532
0,,,1365,165,2163,70,0,0,0,120,90,0,1,10,253,2532
0,,,1366,165,2164,70,0,0,0,135,105,0,1,11,255,2532
0,,,1367,165,2165,75,0,0,0,130,115,0,1,12,249,2532
0,,,1368,165,2166,125,0,0,0,170,145,0,1,13,253,2532
0,,,1369,165,2167,100,0,0,0,150,125,0,1,14,258,2532
0,,,1370,165,2168,1,0,0,0,160,135,0,1,15,259,2532
0,,,1371,165,2169,100,0,0,0,150,125,0,1,16,253,2532
0,,,1374,171,2259,1,0,0,0,1,1,0,1,1,0,0
0,,,1377,171,2330,1,0,0,1,95,55,0,1,2,638,2485
0,,,1378,171,2329,1,0,0,1,95,55,0,1,3,639,2485
0,,,1379,171,2331,30,0,0,0,105,65,0,1,4,638,2485
0,,,1380,171,2332,1,0,0,0,110,70,0,1,5,638,2485
0,,,1382,171,2334,50,0,0,0,120,80,0,1,6,639,2485
0,,,1383,171,2335,1,0,0,0,130,90,0,1,7,638,2485
0,,,1385,171,2337,80,0,0,0,125,85,0,1,9,638,2485
0,,,1387,173,1180,1,6109,0,2,0,0,0,1,0,0,0
0,,,1418,182,2366,1,0,0,0,1,1,0,1,1,0,0
0,,,1419,182,2368,1,0,2366,0,1,1,0,1,2,0,0
0,,,1424,95,522,1,0,0,2,0,0,0,1,0,0,0
0,,,1441,183,2382,1,0,0,2,0,0,0,1,0,0,0
0,,,1442,182,2383,1,0,0,1,1,1,0,1,3,1699,0
0,,,1532,185,2550,1,0,0,0,1,1,0,1,1,0,0
0,,,1535,185,2538,1,0,0,1,85,45,0,1,2,1023,2548
0,,,1536,185,2539,1,0,0,0,90,50,0,1,3,1023,2548
0,,,1537,185,2540,1,0,0,1,85,45,0,1,4,1023,2548
0,,,1538,185,2541,65,0,0,0,130,90,0,1,5,1023,2548
0,,,1539,185,2542,65,0,0,0,130,90,0,1,6,1023,2548
0,,,1540,185,2543,75,0,0,0,155,115,0,1,7,1023,2548
0,,,1543,185,2544,75,0,0,0,155,115,0,1,8,1023,2548
0,,,1544,185,2545,85,0,0,0,165,125,0,1,9,1023,2548
0,,,1545,185,2546,110,0,0,0,160,120,0,1,10,1023,2548
0,,,1546,185,2547,125,0,0,0,175,135,0,1,11,1023,2548
0,,,1547,185,2548,135,0,0,0,170,130,0,1,12,1023,2548
0,,,1548,185,2549,135,0,0,0,180,140,0,1,13,1023,2548
0,,,1568,186,2580,1,0,0,1,1,1,0,1,1,1698,0
0,,,1569,186,2575,1,0,0,0,1,1,0,1,2,0,0
0,,,1570,186,2576,1,0,2575,0,1,1,0,1,3,0,0
0,,,1597,186,2656,1,0,0,1,1,1,0,1,4,0,0
0,,,1599,186,2658,1,0,0,0,110,100,0,1,5,264,2572
0,,,1600,186,2659,1,0,0,0,100,50,0,1,6,264,2572
0,,,1631,164,2660,1,0,0,1,55,15,0,1,2,216,2477
0,,,1632,164,2661,55,0,0,0,115,75,0,1,3,223,2477
0,,,1633,164,2662,1,0,0,0,90,50,0,1,4,224,2477
0,,,1634,164,2663,1,0,0,1,60,20,0,1,5,222,2477
0,,,1635,164,2664,65,0,0,0,140,115,0,1,6,222,2477
0,,,1636,164,2665,75,0,0,0,80,65,0,1,7,216,2477
0,,,1637,164,2666,1,0,0,0,150,110,0,1,8,223,2477
0,,,1638,164,2667,1,0,0,0,160,120,0,1,9,220,2477
0,,,1639,164,2668,1,0,0,0,175,145,0,1,10,224,2477
0,,,1640,164,2670,105,0,0,0,175,145,0,1,11,220,2477
0,,,1642,164,2672,120,0,0,0,180,150,0,1,12,222,2477
0,,,1644,164,2674,1,0,0,0,140,125,0,1,13,216,2477
0,,,1645,164,2675,135,0,0,0,205,175,0,1,14,220,2477
0,,,1646,164,2737,30,0,0,0,95,55,0,1,15,227,2477
0,,,1649,164,2740,75,0,0,0,170,140,0,1,16,227,2477
0,,,1650,164,2741,85,0,0,0,175,145,0,1,17,227,2477
0,,,1651,164,2738,35,0,0,0,100,60,0,1,18,227,2477
0,,,1652,164,2739,40,0,0,0,105,65,0,1,19,227,2477
0,,,1653,164,2742,1,0,0,0,180,150,0,1,20,227,2477
0,,,1674,185,2795,40,0,0,0,100,60,0,1,14,1023,2548
0,,,1708,165,2881,1,0,0,1,40,20,0,1,17,247,2532
0,,,1792,164,3100,1,0,2018,0,1,1,0,1,21,0,0
0,,,1793,171,3101,1,0,0,0,1,1,0,1,10,0,0
0,,,1794,185,3102,1,0,2550,0,1,1,0,1,15,0,0
0,,,1795,165,3104,1,0,2108,0,1,1,0,1,18,0,0
0,,,1798,164,3115,1,0,0,1,55,15,0,1,22,216,2477
0,,,1799,164,3117,1,0,0,0,140,125,0,1,23,216,2477
0,,,1800,164,3116,1,0,0,0,80,65,0,1,24,216,2477
0,,,1814,171,3171,1,0,0,0,160,120,0,1,11,639,2485
0,,,1816,171,3173,1,0,0,0,185,145,0,1,13,638,2485
0,,,1817,171,3174,1,0,0,0,185,145,0,1,14,638,2485
0,,,1819,171,3176,1,0,0,0,190,150,0,1,15,639,2485
0,,,1820,171,3177,1,0,0,0,195,155,0,1,16,639,2485
0,,,1821,171,2333,1,0,0,0,205,165,0,1,17,639,2485
0,,,1822,171,3188,1,0,0,0,215,175,0,1,18,639,2485
0,,,1832,171,3170,1,0,0,0,100,60,0,1,19,639,2485
0,,,1833,171,3230,1,0,0,0,120,80,0,1,20,639,2485
0,,,1846,186,3308,1,0,0,0,160,150,0,1,7,264,2572
0,,,1847,186,3307,1,0,0,0,150,100,0,1,8,264,2572
0,,,1848,186,3304,1,0,0,0,75,40,0,1,9,264,2572
0,,,1849,164,3292,1,0,0,0,175,135,0,1,25,227,2477
0,,,1850,164,3293,1,0,0,0,115,75,0,1,26,227,2477
0,,,1851,164,3294,1,0,0,0,150,110,0,1,27,227,2477
0,,,1852,164,3295,1,0,0,0,185,155,0,1,28,227,2477
0,,,1853,164,3296,1,0,0,0,190,160,0,1,29,227,2477
0,,,1854,164,3297,1,0,0,0,205,175,0,1,30,227,2477
0,,,1855,164,3319,1,0,0,0,100,60,0,1,31,225,2477
0,,,1856,164,3320,1,0,0,0,85,45,0,1,32,215,2477
0,,,1857,164,3321,1,0,0,0,115,75,0,1,33,220,2477
0,,,1858,164,3323,1,0,0,0,120,80,0,1,34,221,2477
0,,,1859,164,3324,1,0,0,0,125,85,0,1,35,224,2477
0,,,1860,164,3325,1,0,0,0,140,100,0,1,36,221,2477
0,,,1861,164,3326,1,0,0,0,100,75,0,1,37,215,2477
0,,,1862,164,3328,1,0,0,0,170,140,0,1,38,219,2477
0,,,1863,164,3330,1,0,0,0,185,155,0,1,39,219,2477
0,,,1864,164,3331,1,0,0,0,190,160,0,1,40,225,2477
0,,,1865,164,3333,1,0,0,0,195,165,0,1,41,221,2477
0,,,1866,164,3334,1,0,0,0,205,175,0,1,42,225,2477
0,,,1867,164,3336,1,0,0,0,210,180,0,1,43,221,2477
0,,,1868,164,3337,1,0,0,0,150,125,0,1,44,215,2477
0,,,1869,183,3365,1,0,0,2,0,0,0,1,0,0,0
0,,,1870,183,3050,1,0,0,2,0,0,0,1,0,0,0
0,,,1871,185,3370,1,0,0,0,160,120,0,1,16,1023,2548
0,,,1872,185,3371,1,0,0,0,140,100,0,1,17,1023,2548
0,,,1873,185,3372,1,0,0,0,170,130,0,1,18,1023,2548
0,,,1874,185,3373,1,0,0,0,200,160,0,1,19,1023,2548
0,,,1875,185,3376,1,0,0,0,210,170,0,1,20,1023,2548
0,,,1876,185,3377,1,0,0,0,190,150,0,1,21,1023,2548
0,,,1901,185,3397,1,0,0,0,190,150,0,1,22,1023,2548
0,,,1902,185,3398,1,0,0,0,215,175,0,1,23,1023,2548
0,,,1903,185,3399,1,0,0,0,230,190,0,1,24,1023,2548
0,,,1904,185,3400,1,0,0,0,255,215,0,1,25,1023,2548
0,,,1906,185,3413,1,0,3102,0,1,1,0,1,26,0,0
0,,,1930,171,3447,1,0,0,0,175,135,0,1,21,638,2485
0,,,1931,171,3448,1,0,0,0,225,185,0,1,22,638,2485
0,,,1932,171,3449,1,0,0,0,230,190,0,1,23,643,2485
0,,,1933,171,3450,1,0,0,0,235,195,0,1,24,639,2485
0,,,1934,171,3451,1,0,0,0,240,200,0,1,25,639,2485
0,,,1935,171,3452,1,0,0,0,220,180,0,1,26,638,2485
0,,,1936,171,3453,1,0,0,0,255,215,0,1,27,639,2485
