q(1, 1.12.1.10772)
q(2, 1.11.1.10772)
q(5, 1.11.1.10772)
q(6, 1.11.1.10772)
q(7, 1.11.1.10772)
q(8, 1.11.1.27101)
q(9, 1.11.1.10772)
q(10, 1.11.1.10958)
q(11, 1.11.1.10772)
q(12, 1.11.1.10958)
q(13, 1.11.1.10958)
q(14, 1.11.1.10958)
q(15, 1.11.1.10772)
q(16, 1.11.1.10772)
q(17, 1.11.1.25864)
q(18, 1.11.1.10772)
q(19, 1.11.1.10958)
q(20, 1.11.1.10958)
q(21, 1.11.1.10772)
q(22, 1.11.1.10772)
q(23, 1.11.1.10772)
q(24, 1.11.1.10772)
q(25, 1.11.1.10958)
q(26, 1.11.1.10772)
q(27, 1.11.1.10772)
q(28, 1.11.1.10958)
q(29, 1.11.1.10958)
q(30, 1.11.1.10772)
q(31, 1.11.1.10772)
q(32, 1.11.1.10772)
q(33, 1.11.1.27101)
q(34, 1.11.1.10958)
q(35, 1.11.1.10772)
q(36, 1.11.1.10772)
q(37, 1.11.1.10772)
q(38, 1.11.1.10772)
q(39, 1.11.1.10772)
q(40, 1.11.1.10772)
q(45, 1.11.1.10772)
q(46, 1.11.1.10772)
q(47, 1.11.1.10958)
q(48, 1.11.1.10958)
q(49, 1.11.1.10958)
q(50, 1.11.1.10958)
q(51, 1.11.1.10958)
q(52, 1.11.1.10772)
q(53, 1.11.1.10958)
q(54, 1.11.1.25860)
q(55, 1.11.1.10958)
q(56, 1.11.1.10772)
q(57, 1.11.1.10772)
q(58, 1.11.1.10772)
q(59, 1.11.1.10772)
q(60, 1.11.1.10958)
q(61, 1.11.1.10772)
q(62, 1.11.1.10958)
q(63, 1.11.1.10958)
q(64, 1.11.1.10958)
q(65, 1.11.1.10772)
q(66, 1.11.1.10772)
q(67, 1.11.1.10772)
q(68, 1.11.1.10772)
q(69, 1.11.1.10772)
q(70, 1.11.1.10958)
q(71, 1.11.1.10772)
q(72, 1.11.1.10772)
q(73, 1.12.1.10772)
q(74, 1.11.1.10772)
q(75, 1.11.1.10958)
q(76, 1.11.1.10958)
q(77, 1.11.1.10958)
q(78, 1.11.1.10958)
q(79, 1.11.1.10772)
q(80, 1.11.1.10772)
q(81, 1.11.1.10772)
q(82, 1.11.1.10958)
q(83, 1.11.1.10772)
q(84, 1.11.1.10772)
q(85, 1.11.1.10772)
q(86, 1.11.1.10958)
q(87, 1.11.1.10958)
q(88, 1.11.1.10958)
q(89, 1.11.1.10958)
q(90, 1.11.1.10772)
q(91, 1.11.1.10958)
q(92, 1.11.1.10958)
q(93, 1.11.1.10772)
q(94, 1.11.1.10772)
q(95, 1.11.1.10772)
q(96, 1.11.1.11403)
q(97, 1.11.1.10772)
q(98, 1.11.1.10772)
q(99, 1.11.1.10772)
q(100, 1.11.1.10958)
q(101, 1.11.1.10772)
q(102, 1.11.1.10958)
q(103, 1.11.1.10958)
q(104, 1.11.1.10958)
q(105, 1.11.1.10772)
q(106, 1.11.1.10772)
q(107, 1.11.1.10772)
q(108, 1.12.1.10772)
q(109, 1.11.1.10772)
q(110, 1.11.1.10772)
q(111, 1.11.1.10772)
q(112, 1.11.1.10958)
q(113, 1.11.1.10772)
q(114, 1.11.1.10772)
q(115, 1.11.1.10958)
q(116, 1.11.1.10958)
q(117, 1.11.1.10958)
q(118, 1.11.1.10958)
q(119, 1.11.1.10958)
