Description_lang,Title_lang,Reward_lang,ID,Instance_ID,Faction,Supercedes,Category,Minimum_criteria,Points,Flags,Ui_order,IconFileID,RewardItemID,Criteria_tree,Shares_criteria,CovenantID,HiddenBeforeDisplaySeason,LegacyAfterTimeEvent
"Reach level 10.","Level 10",,6,-1,-1,0,92,0,10,2097156,1,236562,0,2050,0,0,0,0
"Reach level 20.","Level 20",,7,-1,-1,6,92,0,10,2097156,2,236563,0,2683,0,0,0,0
"Reach level 30.","Level 30",,8,-1,-1,7,92,0,10,2097156,3,236564,0,1289,0,0,0,0
"Reach level 40.","Level 40",,9,-1,-1,8,92,0,10,2097156,4,236565,0,942,0,0,0,0
"Reached level 50 prior to the Shadowlands expansion.","Level 50 (Legacy)",,10,-1,-1,0,15446,0,0,2103300,1,236566,0,0,0,0,0,0
"Reached level 60 prior to the Shadowlands expansion.","Level 60 (Legacy)",,11,-1,-1,10,15446,0,0,2103300,2,236567,0,0,0,0,0,0
"Reached level 70 prior to the Shadowlands expansion.","Level 70 (Legacy)",,12,-1,-1,11,15446,0,0,2103300,3,236568,0,0,0,0,0,0
"Reached level 80 prior to the Shadowlands expansion.","Level 80 (Legacy)",,13,-1,-1,12,15446,0,0,2103300,4,236569,0,0,0,0,0,0
"Collect 15 unique pets.","Plenty of Pets",,15,-1,-1,1017,15118,0,10,131072,5,132599,0,22152,0,0,0,0
"Raise your unarmed skill to 400.","Did Somebody Order a Knuckle Sandwich?",,16,-1,-1,0,15446,0,0,2048,28,132356,0,6318,0,0,0,0
"Complete a daily quest every day for five consecutive days.","A Simple Re-Quest",,31,-1,-1,0,96,0,10,0,25,236680,0,2807,0,0,0,0
"Complete 2000 quests.","2000 Quests Completed",,32,-1,-1,508,96,0,10,0,8,236670,0,2810,0,0,0,0
"Complete the Borean Tundra storylines listed below.","Nothing Boring About Borean",,33,-1,1,0,14863,0,10,0,1,236728,0,1741,0,0,0,0
"Complete the Howling Fjord storylines listed below.","I've Toured the Fjord",,34,-1,1,0,14863,0,10,0,3,236787,0,5287,0,0,0,0
"Complete the Dragonblight storylines listed below.","Might of Dragonblight",,35,-1,1,0,14863,0,10,0,5,236749,0,1745,0,0,0,0
"Complete the Zul'Drak storylines listed below.","The Empire of Zul'Drak",,36,-1,-1,0,14863,0,10,0,9,236862,0,1881,0,0,0,0
"Complete the Grizzly Hills storylines listed below.","Fo' Grizzle My Shizzle",,37,-1,1,0,14863,0,10,0,7,236772,0,5284,0,0,0,0
"Complete the Storm Peaks storylines listed below.","The Summit of Storm Peaks",,38,-1,-1,0,14863,0,10,0,11,236838,0,1884,0,0,0,0
"Complete the Sholazar Basin storylines listed below.","Into the Basin",,39,-1,-1,0,14863,0,10,0,10,236823,0,1887,0,0,0,0
"Complete the Icecrown storylines listed below.","Icecrown: The Final Goal",,40,-1,-1,0,14863,0,10,0,12,236799,0,3375,0,0,0,0
"Complete the Northrend quest achievements listed below.","Loremaster of Northrend",,41,-1,-1,0,14863,0,10,131072,21,236812,0,5756,0,0,0,0
"Explore the regions of Eastern Kingdoms.","Eastern Kingdoms Explorer",,42,-1,-1,0,97,0,25,131072,1,236759,0,2402,0,0,0,0
"Explore the regions of Kalimdor.","Kalimdor Explorer",,43,-1,-1,0,97,0,25,131072,2,236807,0,3317,0,0,0,0
"Explore the regions of Outland.","Outland Explorer",,44,-1,-1,0,97,0,25,131072,3,236813,0,3340,0,0,0,0
"Explore the regions of Northrend.","Northrend Explorer","Reward: Tabard of the Explorer",45,-1,-1,0,97,0,25,131072,4,236812,0,12064,0,0,0,0
"Explore Eastern Kingdoms, Kalimdor, Outland, Northrend, the areas revealed by the Cataclysm, Pandaria, Draenor, the Broken Isles, Kul Tiras, and Zandalar.","Universal Explorer","Title Reward: The Explorer",46,-1,-1,0,97,0,50,131072,10,237381,0,3257,0,0,0,0
"Alterac Valley victories","Alterac Valley victories",,49,30,-1,0,153,0,0,1,4,136243,0,15889,0,0,0,0
"Eye of the Storm victories","Eye of the Storm victories",,50,566,-1,0,153,0,0,1,11,136243,0,9109,0,0,0,0
"Arathi Basin victories","Arathi Basin victories",,51,529,-1,0,153,0,0,1,6,136243,0,5504,0,0,0,0
"Warsong Gulch battles","Warsong Gulch battles",,52,489,-1,0,153,0,0,1,18,136243,0,5507,0,0,0,0
"Alterac Valley battles","Alterac Valley battles",,53,30,-1,0,153,0,0,1,3,136243,0,5510,0,0,0,0
"Eye of the Storm battles","Eye of the Storm battles",,54,566,-1,0,153,0,0,1,9,136243,0,1272,0,0,0,0
"Arathi Basin battles","Arathi Basin battles",,55,529,-1,0,153,0,0,1,5,136243,0,3391,0,0,0,0
"Total deaths","Total deaths",,60,-1,-1,0,122,0,0,1,1,136243,0,1189,0,0,0,0
"Assault 3 bases in a single Arathi Basin battle.","Disgracin' The Basin",,73,-1,-1,0,14802,0,10,0,5,132333,0,7709,0,0,0,0
"Quests abandoned","Quests abandoned",,94,-1,-1,0,133,0,0,1,5,136243,0,805,0,0,0,0
"Average quests completed per day","Average quests completed per day",,95,-1,-1,0,133,0,0,65,2,136243,0,5199,98,0,0,0
"Daily quests completed","Daily quests completed",,97,-1,-1,0,133,0,0,1,3,136243,0,5766,0,0,0,0
"Quests completed","Quests completed",,98,-1,-1,0,133,0,0,1,1,136243,0,758,0,0,0,0
"Ruins of Lordaeron matches","Ruins of Lordaeron matches",,99,-1,-1,0,152,0,0,1,33,136243,0,15898,0,0,0,0
"Nagrand Arena victories","Nagrand Arena victories",,100,-1,-1,0,152,0,0,1,28,136243,0,836,0,0,0,0
"Nagrand Arena matches","Nagrand Arena matches",,101,-1,-1,0,152,0,0,1,27,136243,0,945,0,0,0,0
"Ruins of Lordaeron victories","Ruins of Lordaeron victories",,102,-1,-1,0,152,0,0,1,34,136243,0,8210,0,0,0,0
"Blade's Edge Arena matches","Blade's Edge Arena matches",,103,-1,-1,0,152,0,0,1,13,136243,0,808,0,0,0,0
"Blade's Edge Arena victories","Blade's Edge Arena victories",,104,-1,-1,0,152,0,0,1,14,136243,0,15892,0,0,0,0
"Warsong Gulch victories","Warsong Gulch victories",,105,-1,-1,0,153,0,0,1,19,136243,0,3068,0,0,0,0
"Creatures killed","Creatures killed",,107,-1,-1,0,135,0,0,1,1,136243,0,762,0,0,0,0
"Critters killed","Critters killed",,108,-1,-1,0,135,0,0,1,4,136243,0,774,0,0,0,0
"Lich King 5-player boss killed the most","Lich King 5-player boss defeated the most",,110,-1,-1,0,14807,0,0,1,8,136243,0,2277,1467,0,0,0
"Deaths from drowning","Deaths from drowning",,112,-1,-1,0,122,0,0,1,2,136243,0,9921,0,0,0,0
"Deaths from fatigue","Deaths from fatigue",,113,-1,-1,0,122,0,0,1,3,136243,0,777,0,0,0,0
"Deaths from falling","Deaths from falling",,114,-1,-1,0,122,0,0,1,4,136243,0,2429,0,0,0,0
"Deaths from fire and lava","Deaths from fire and lava",,115,-1,-1,0,122,0,0,1,5,136243,0,1592,0,0,0,0
"Obtain 150 skill points in a ""Classic"" category of a profession.","Professional Journeyman",,116,-1,-1,0,169,1,10,0,1,134327,0,65946,0,0,0,0
"Obtain 150 skill points in the ""Classic"" category of cooking.","Journeyman Cook",,121,-1,-1,0,170,0,10,0,1,4620671,0,5281,0,0,0,0
"Obtain 225 skill points in the ""Classic"" category of cooking.","Expert Cook",,122,-1,-1,121,170,0,10,0,2,4620671,0,2377,0,0,0,0
"Obtain 300 skill points in the ""Classic"" category of cooking.","Classic Cook",,123,-1,-1,122,170,0,10,0,3,4620671,0,4033,0,0,0,0
"Obtain 75 skill points in the ""Outland"" category of cooking.","Outland Cook",,124,-1,-1,0,170,0,10,0,4,4620671,0,2432,0,0,0,0
"Obtain 75 skill points in the ""Northrend"" category of cooking.","Northrend Cook",,125,-1,-1,0,170,0,10,0,5,4620671,0,1578,0,0,0,0
"Obtain 150 skill points in the ""Classic"" category of fishing.","Journeyman Fisherman",,126,-1,-1,0,171,0,10,0,1,4620674,0,1738,0,0,0,0
"Obtain 225 skill points in the ""Classic"" category of fishing.","Expert Fisherman",,127,-1,-1,126,171,0,10,0,4,4620674,0,3071,0,0,0,0
"Obtain 300 skill points in the ""Classic"" category of fishing.","Artisan Fisherman",,128,-1,-1,127,171,0,10,0,5,4620674,0,2467,0,0,0,0
"Obtain 75 skill points in the ""Outland"" category of fishing.","Outland Fisherman",,129,-1,-1,0,171,0,10,0,6,4620674,0,3667,0,0,0,0
"Obtain 75 skill points in the ""Northrend"" category of fishing.","Northrend Fisherman",,130,-1,-1,0,171,0,10,0,7,4620674,0,2380,0,0,0,0
"Obtain 150 skill points in first aid.","Journeyman Medic",,131,-1,-1,0,172,0,0,2099200,1,135966,0,2435,0,0,0,0
"Obtain 225 skill points in first aid.","Expert Medic",,132,-1,-1,131,172,0,0,2099200,3,135966,0,149,0,0,0,0
"Obtain 300 skill points in first aid.","Artisan Medic",,133,-1,-1,132,172,0,0,2048,4,135966,0,1620,0,0,0,0
"Obtain 375 skill points in first aid.","Master Medic",,134,-1,-1,133,172,0,0,2048,6,135966,0,3355,0,0,0,0
"Obtain 450 skill points in first aid.","Grand Master Medic",,135,-1,-1,134,172,0,0,2048,8,135966,0,2792,0,0,0,0
"Create 500 Heavy Frostweave Bandages.","Stocking Up",,137,-1,-1,0,15496,0,5,0,10,133674,0,2804,0,0,0,0
"Use a Heavy Frostweave Bandage, or any Embersilk or Windwool Bandage, to heal a player who has less than 5% health.","Ultimate Triage",,141,-1,-1,0,15496,1,5,0,13,134470,0,6753,0,0,0,0
"Fish up The Lurker Below in Serpentshrine Cavern.","The Lurker Above",,144,-1,-1,0,171,0,10,0,24,132107,0,2813,0,0,0,0
"Fish something up in Orgrimmar and Stormwind.","The Fishing Diplomat",,150,-1,-1,0,171,0,10,0,18,133146,0,1281,0,0,0,0
"Successfully fish from a school.","The Old Gnome and the Sea",,153,-1,-1,0,171,1,10,0,16,236573,0,609,0,0,0,0
"Win Arathi Basin.","Arathi Basin Victory",,154,-1,-1,0,14802,0,10,0,1,236385,0,2065,0,0,0,0
"Complete 100 victories in Arathi Basin.","Arathi Basin Veteran",,155,-1,-1,154,14802,0,10,0,2,236381,0,4715,0,0,0,0
"Win 10 Arathi Basin matches while controlling all 5 flags.","Territorial Dominance",,156,-1,-1,0,14802,0,10,0,9,236386,0,117,0,0,0,0
"Come to the defense of a base in Arathi Basin 50 times by recapping the flag.","To The Rescue!",,157,-1,-1,0,14802,0,10,0,7,132365,0,5243,0,0,0,0
"Take 50 flags in Arathi Basin.","Me and the Cappin' Makin' it Happen",,158,-1,-1,0,14802,0,10,0,4,236373,0,1076,0,0,0,0
"Win Arathi Basin in 6 minutes.","Let's Get This Done",,159,-1,-1,0,14802,0,10,0,10,236387,0,1079,0,0,0,0
"Overcome a 500 resource disadvantage in a match of Arathi Basin and claim victory.","Resilient Victory",,161,-1,-1,0,14802,1,10,0,8,236371,0,4405,0,0,0,0
"Win Arathi Basin by 50 points or less.","We Had It All Along *cough*",,162,-1,-1,0,14802,0,10,0,11,136165,0,129,0,0,0,0
"Win Arathi Basin with a score of 1600 to 0.","Arathi Basin Perfection",,165,-1,-1,0,14802,0,20,0,3,236348,0,881,0,0,0,0
"Win Warsong Gulch.","Warsong Gulch Victory",,166,489,-1,0,14804,0,10,0,1,236396,0,419,0,0,0,0
"Complete 100 victories in Warsong Gulch.","Warsong Gulch Veteran",,167,489,-1,166,14804,0,10,0,2,236384,0,422,0,0,0,0
"Win Warsong Gulch with a score of 3 to 0.","Warsong Gulch Perfection",,168,489,-1,0,14804,0,10,0,8,236397,0,9102,0,0,0,0
"Enchanting formulae learned","Enchanting formulae learned",,178,-1,-1,0,173,0,0,1,6,136243,0,1285,0,0,0,0
"Items disenchanted","Items disenchanted",,181,-1,-1,0,173,0,0,1,8,136243,0,146,0,0,0,0
"Materials produced from disenchanting","Materials produced from disenchanting",,183,-1,-1,0,173,0,0,1,7,136243,0,2339,0,0,0,0
"Personally carry and capture the flag in Warsong Gulch.","Capture the Flag",,199,489,-1,0,14804,0,10,0,3,236350,0,3500,0,0,0,0
"Return 50 flags as a defender in Warsong Gulch.","Persistent Defender",,200,489,-1,0,14804,0,10,0,4,236355,0,2383,0,0,0,0
"Win Warsong Gulch in under 7 minutes.","Warsong Expedience",,201,489,-1,0,14804,0,10,0,9,236398,0,8437,0,0,0,0
"Grab the flag and capture it in under 75 seconds.","Quick Cap",,202,489,1,0,14804,0,10,0,16,236353,0,2342,0,0,0,0
"In a single Warsong Gulch battle, kill 2 flag carriers before they leave the Silverwing Flag Room.","Not In My House",,203,2106,1,0,14804,0,10,0,14,236362,0,2077,0,0,0,0
"In a single Warsong Gulch battle, carry and capture the flag 3 times without dying.",Ironman,,204,489,-1,0,14804,0,10,0,10,236344,0,3655,0,0,0,0
"Kill 100 flag carriers in Warsong Gulch.","Supreme Defender",,206,489,1,0,14804,0,10,0,6,236360,0,3409,0,0,0,0
"Kill the enemy who is carrying your flag in the opposing team's flag room while the opposing team's flag is at their base, within their control.","Save the Day",,207,489,-1,0,14804,1,10,0,18,132308,0,13704,0,0,0,0
"Win Eye of the Storm.","Eye of the Storm Victory",,208,566,-1,0,14803,0,10,0,1,236392,0,1763,0,0,0,0
"Complete 100 victories in Eye of the Storm.","Eye of the Storm Veteran",,209,566,-1,208,14803,0,10,0,2,236383,0,1766,0,0,0,0
"While your team holds 4 of the bases in Eye of the Storm, personally grab the flag and capture it.","Storm Glory",,211,566,-1,0,14803,0,10,0,12,236354,0,183,0,0,0,0
"Personally carry and capture the flag in Eye of the Storm.","Storm Capper",,212,566,-1,0,14803,0,10,128,7,236349,0,5265,0,0,0,0
"Kill 5 flag carriers in a single Eye of the Storm battle.",Stormtrooper,,213,566,-1,0,14803,0,10,128,6,236359,0,5778,0,0,0,0
"Win Eye of the Storm in under 6 minutes.",Flurry,,214,566,-1,0,14803,0,10,0,5,236393,0,3145,0,0,0,0
"In a single Eye of the Storm match, capture the flag 3 times without dying.","Bound for Glory",,216,566,-1,0,14803,0,10,0,8,135739,0,5268,0,0,0,0
"Win Alterac Valley.","Alterac Valley Victory",,218,30,-1,0,14801,0,10,0,1,236388,0,6278,0,0,0,0
"Complete 100 victories in Alterac Valley.","Alterac Valley Veteran",,219,30,-1,218,14801,0,10,0,4,236382,0,3874,0,0,0,0
"Win Alterac Valley without losing a tower or captain. You must also control all of the Horde's towers.","Stormpike Perfection",,220,30,1,0,14801,0,20,0,13,133431,0,3823,0,0,0,0
"Take 50 graveyards in Alterac Valley.","Alterac Grave Robber",,221,30,-1,0,14801,0,10,0,5,236399,0,186,0,0,0,0
"Defend 50 towers in Alterac Valley.","Tower Defense",,222,30,-1,0,14801,0,10,0,6,236351,0,3358,0,0,0,0
"In Alterac Valley, kill an enemy in the Field of Strife before they dismount.","The Sickly Gazelle",,223,30,-1,0,14801,0,10,0,12,236361,0,3412,0,0,0,0
"In Alterac Valley, kill 50 enemy players in the Hall of the Frostwolf.","Loyal Defender",,224,30,0,0,14801,0,10,0,7,236368,0,4479,0,0,0,0
"Win Alterac Valley while your team controls both mines.","Everything Counts",,225,30,1,0,14801,0,10,0,9,236389,0,3835,0,0,0,0
"Win Alterac Valley in 6 minutes.","The Alterac Blitz",,226,30,-1,0,14801,0,20,0,11,236390,0,7771,0,0,0,0
"Do 300,000 damage or healing in a single battle in any battleground. The damage or healing must be done to a player.","Damage Control",,227,-1,-1,0,95,1,10,0,36,236374,0,990,0,0,0,0
"Get 30 Honorable Kills in a single battle in any battleground.","The Grim Reaper",,229,-1,-1,0,95,1,10,0,31,136177,0,914,0,0,0,0
"Complete the battleground achievements listed below.",Battlemaster,"Title Reward: Battlemaster",230,-1,1,0,95,0,50,143360,40,236591,0,4965,0,0,0,0
"Get 20 killing blows without dying in a single battle in any battleground.","Wrecking Ball",,231,-1,-1,0,95,1,10,0,37,132364,0,3855,0,0,0,0
"Get a killing blow while under the effects of the berserker buff in Eye of the Storm.","Bloodthirsty Berserker",,233,566,-1,0,14803,0,10,0,11,136012,0,5215,0,0,0,0
"Achieve an honorable kill.","An Honorable Kill",,238,-1,-1,0,95,0,10,0,1,236647,0,5218,0,0,0,0
"Get 25000 honorable kills.","25000 Honorable Kills",,239,-1,-1,509,95,0,10,135168,8,236657,0,5221,0,0,0,0
"Get an honorable, killing blow on one of each class.","That Takes Class",,245,-1,-1,0,95,0,10,0,13,132092,0,6934,0,0,0,0
"Get an honorable, killing blow against all Horde races.","Know Thy Enemy",,246,-1,1,0,95,0,10,0,14,132155,0,6264,0,0,0,0
"Emote /hug on a dead enemy before they release corpse.","Make Love, Not Warcraft",,247,-1,-1,0,95,0,10,0,16,135767,0,8295,0,0,0,0
"Discover the White Tuxedo Shirt and Black Tuxedo Pants by opening Brightly Colored Eggs during the Noblegarden celebration.","Sunday's Finest",,248,-1,-1,0,159,0,10,0,5,135012,0,8291,0,0,0,0
"Discover an Elegant Dress by opening Brightly Colored Eggs during the Noblegarden celebration.","Dressed for the Occasion",,249,-1,-1,0,159,0,10,0,6,132645,0,4669,0,0,0,0
"Earn 50 honorable kills as a Little Helper from the Winter Wondervolt machine.","With a Little Helper from My Friends",,252,-1,-1,0,156,0,10,128,2,236703,0,4724,0,0,0,0
"Killed the Headless Horseman prior to the 2023 holiday refresh.","Bring Me The Head of... Oh Wait",,255,-1,-1,0,15274,0,0,2048,68,134015,0,1673,0,0,0,0
"Throw a snowball at Baine Bloodhoof during the Feast of Winter Veil.",Scrooge,,259,-1,0,0,156,1,10,0,3,132387,0,20082,0,0,0,0
"Created 12 Lovely Charm Bracelets.",Charming,,260,-1,-1,0,15274,0,0,2048,71,133334,0,2103,0,0,0,0
"Slay Ahune in the Slave Pens.","Ice the Frost Lord",,263,-1,-1,0,161,1,10,0,1,135861,0,5612,0,0,0,0
"Dance at the ribbon pole for 60 seconds while wearing completed Midsummer set.","Burning Hot Pole Dance",,271,-1,-1,0,161,0,10,0,2,236216,0,7608,0,0,0,0
"Juggle 40 torches in 15 seconds in Dalaran.","Torch Juggler",,272,-1,-1,0,161,0,10,0,45,135433,0,2097,0,0,0,0
"Save Metzen the Reindeer.","On Metzen!",,273,-1,-1,0,156,1,10,0,1,236707,0,5556,0,0,0,0
"Acquire Egbert's Egg, Sleepy Willy, and Elekk Training Collar.","Veteran Nanny",,275,-1,-1,0,163,0,50,131072,7,134505,0,3662,0,0,0,0
"During the Feast of Winter Veil, wear 3 pieces of winter clothing and eat Graccu's Mince Meat Fruitcake.","'Tis the Season",,277,-1,-1,0,156,0,10,0,6,132934,0,4076,0,0,0,0
"Complete the quest to retrieve Smokywood Pastures' stolen treats and receive a Smokywood Pastures' Thank You.","Simply Abominable",,279,-1,-1,0,156,1,10,0,8,133170,0,14224,0,0,0,0
"First Aid skill","First Aid skill",,281,-1,-1,0,178,0,0,1,5,136243,0,458,0,0,0,0
"Get transformed by the Hallowed Wands listed below.","The Masquerade",,283,-1,-1,0,158,0,10,0,14,236548,0,4423,0,0,0,0
"Collect the 24 unique Masks listed below.","A Mask for All Occasions",,284,-1,-1,0,158,0,20,0,8,133567,0,3964,0,0,0,0
"Eat so many Tricky Treats that you get an upset tummy.","Out With It",,288,-1,-1,0,158,0,10,0,2,136182,0,9018,0,0,0,0
"Alterac Valley towers defended","Alterac Valley towers defended",,393,-1,-1,0,153,0,0,1,28,136243,0,2474,0,0,0,0
"Complete one of the quests to save a village from the Headless Horseman.","The Savior of Hallow's End",,289,-1,-1,0,158,1,10,0,6,236545,0,3849,0,0,0,0
"Use Weighted Jack-o'-Lanterns to put pumpkin heads on each of the races listed below.","Check Your Head",,291,-1,-1,0,158,0,10,0,13,133661,0,8,0,0,0,0
"Obtain a Sinister Squashling pet and Hallowed Helm through looting or Tricky Treats from the Hallow's end world events.","Sinister Calling",,292,-1,-1,0,158,0,10,0,15,236547,0,5513,0,0,0,0
"While wearing 3 pieces of Brewfest clothing, get completely smashed and dance in Dalaran.","Disturbing the Peace",,293,571,-1,0,162,0,10,0,9,133696,0,448,0,0,0,0
"Kill Coren Direbrew.",Direbrewfest,,295,230,-1,0,162,0,10,0,8,134159,0,3232,0,0,0,0
"Obtain a Brewfest mount, or transform yours into one using Brewfest Hops.","Have Keg, Will Travel",,303,-1,-1,0,162,1,10,131072,10,132620,0,842,0,0,0,0
"Win the Booty Bay fishing contest.","Master Angler of Azeroth",,306,-1,-1,0,171,1,20,0,19,133892,0,4432,0,0,0,0
,"Total deaths from opposite faction",,318,-1,-1,0,21,0,0,1,2,136243,0,4712,0,0,0,0
"Duels won","Duels won",,319,-1,-1,0,154,0,0,1,1,136243,0,8204,0,0,0,0
"Duels lost","Duels lost",,320,-1,-1,0,154,0,0,1,3,136243,0,22,0,0,0,0
"Gold from quest rewards","Gold from quest rewards",,326,-1,-1,0,140,0,0,1,4,136243,0,10543,0,0,0,0
"Total gold acquired","Total gold acquired",,328,-1,-1,0,140,0,0,1,1,136243,0,2744,0,0,0,0
