ID,EffectAura,DifficultyID,EffectIndex,Effect,EffectAmplitude,EffectAttributes,EffectAuraPeriod,EffectBonusCoefficient,EffectChainAmplitude,EffectChainTargets,EffectItemType,EffectMechanic,EffectPointsPerResource,EffectPos_facing,EffectRealPointsPerLevel,EffectTriggerSpell,BonusCoefficientFromAP,PvpMultiplier,Coefficient,Variance,ResourceCoefficient,GroupSizeBasePointsCoefficient,EffectBasePointsF,ScalingClass,EffectMiscValue_0,EffectMiscValue_1,EffectRadiusIndex_0,EffectRadiusIndex_1,EffectSpellClassMask_0,EffectSpellClassMask_1,EffectSpellClassMask_2,EffectSpellClassMask_3,ImplicitTarget_0,ImplicitTarget_1,SpellID
313021,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,447.80474853516,0,0,0,0,88,0,0,0,0,63,134,211307
313043,0,0,2,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42167,0,0,0,0,0,0,0,1,0,211291
313402,0,0,0,267,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2116,0,0,0,0,0,0,0,18,0,211569
313545,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42189,0,0,0,0,0,0,0,25,0,211644
313619,3,15,0,6,0,0,250,0,1,0,0,0,0,0,0,0,0,1,0,0.10000000149,0,1,559.75592041016,0,0,0,0,0,0,0,0,0,25,0,207631
313655,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42192,0,0,0,0,0,0,0,25,0,211679
313927,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,106792,3823,16,0,0,0,0,0,47,138,211870
313970,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42212,0,0,0,0,0,0,0,25,0,211892
314086,0,0,0,189,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,54714,416,0,0,0,0,0,0,1,0,211972
314284,0,16,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.05000000075,0,1,447.80474853516,0,0,0,0,10,0,0,0,0,18,16,177380
314698,0,0,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,296,0,0,0,0,0,0,0,1,0,212279
314784,0,0,1,32,0,0,0,0,1,0,0,0,0,0,0,212352,0,1,0,0,0,1,0,0,0,0,16,16,0,0,0,0,32,0,210932
314899,0,0,0,216,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.25,0,1,0,0,295,0,0,0,0,0,0,0,1,0,212394
314929,0,0,0,28,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,107021,64,16,0,0,0,0,0,47,0,212418
315381,0,0,0,28,0,0,0,0,1,0,0,0,0,3.64773821831,0,0,0,1,0,0,0,1,0,0,107195,3833,16,0,0,0,0,0,141,0,212664
315600,0,0,0,179,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7042,0,16,0,0,0,0,0,47,0,212782
315722,0,0,0,204,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,99,0,16,0,0,0,0,0,0,0,152,0,212856
315785,0,0,0,267,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2255,0,0,0,0,0,0,0,18,0,212904
316147,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,42427,0,0,0,0,0,0,0,1,0,213132
316473,293,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,716,0,0,0,0,0,0,0,1,0,213351
316873,0,0,0,32,0,0,0,0,1,0,0,0,0,0,0,213587,0,1,0,0,0,1,0,0,0,0,8,16,0,0,0,0,47,86,213586
