ID,TransmogSetID,ItemModifiedAppearanceID,Flags
3,2,6813,0
4,2,6814,0
5,2,6815,0
6,2,6816,0
7,2,6817,0
8,2,6818,0
9,2,6819,0
10,2,6820,0
19,4,66543,1
21,4,66544,1
22,4,66545,1
23,4,66546,1
24,4,66547,1
26,4,66550,1
27,4,66551,1
28,4,66552,1
29,4,66553,1
30,4,66554,1
31,4,66555,1
32,4,66556,1
33,4,66557,1
34,4,66558,1
35,4,66559,1
36,4,66560,1
37,4,66561,1
38,5,3918,1
39,5,3915,1
40,5,3916,1
41,5,3913,1
42,5,3917,1
43,5,3914,1
44,6,80208,1
45,6,80209,1
46,6,80210,1
47,6,80211,1
48,6,80212,1
49,6,80213,1
118,13,70594,3
119,13,70595,1
120,13,70596,1
121,13,70597,1
122,13,70598,1
123,13,70630,1
124,13,70632,1
125,13,70635,1
126,14,70972,3
127,14,70973,1
128,14,70974,1
129,14,70975,1
130,14,70976,1
131,14,71008,1
132,14,71010,1
133,14,71013,1
134,15,70672,1
135,15,70673,1
136,15,70674,3
137,15,70675,1
138,15,70676,1
142,16,71050,3
143,16,71051,1
144,16,71052,1
145,16,71053,1
146,16,71054,1
150,16,71008,1
151,16,71010,1
152,16,71013,1
153,15,70630,1
154,15,70632,1
155,15,70635,1
164,18,70962,3
165,18,70963,1
166,18,70964,1
167,18,70965,1
168,18,70966,1
169,18,71029,1
170,18,71031,1
171,18,71033,1
172,17,70584,3
173,17,70585,1
174,17,70586,1
175,17,70587,1
176,17,70588,1
177,17,70651,1
178,17,70653,1
179,17,70655,1
180,20,71024,3
181,20,71025,1
182,20,71026,1
183,20,71027,1
184,20,71028,1
185,20,71029,1
186,20,71031,1
187,20,71033,1
188,19,70646,3
189,19,70647,1
190,19,70648,1
191,19,70649,1
192,19,70650,1
193,19,70651,1
194,19,70653,1
195,19,70655,1
196,21,71029,1
197,21,71031,1
198,21,71033,1
199,21,71071,3
200,21,71072,1
201,21,71073,1
202,21,71074,1
203,21,71075,1
204,22,70651,1
205,22,70653,1
206,22,70655,1
207,22,70693,3
208,22,70694,1
209,22,70695,1
210,22,70696,1
211,22,70697,1
212,23,70667,3
213,23,70668,1
214,23,70669,1
215,23,70670,1
216,23,70671,1
217,23,70615,1
218,23,70616,1
219,23,70618,1
220,24,71045,3
221,24,71046,1
222,24,71047,1
223,24,71048,1
224,24,71049,1
225,24,70993,1
226,24,70994,1
227,24,70996,1
228,25,70967,1
229,25,70968,1
230,25,70969,1
231,25,70970,3
232,25,70971,1
233,25,70993,1
234,25,70994,1
235,25,70996,1
236,26,70589,1
237,26,70590,1
238,26,70591,1
239,26,70592,3
240,26,70593,1
241,26,70615,1
242,26,70616,1
243,26,70618,1
244,27,71019,1
245,27,71020,1
246,27,71021,1
247,27,71022,1
248,27,71023,3
249,27,70996,1
250,27,70993,1
251,27,70994,1
252,28,70641,1
253,28,70642,1
254,28,70643,1
255,28,70644,1
256,28,70645,3
257,28,70618,1
258,28,70615,1
259,28,70616,1
260,29,70629,1
261,29,70626,1
262,29,70625,1
263,29,70628,3
264,29,70627,1
265,29,70573,1
266,29,70575,1
267,29,70578,1
268,30,71007,1
269,30,71004,1
270,30,71003,1
271,30,71006,3
272,30,71005,1
273,30,70951,1
274,30,70953,1
275,30,70956,1
276,31,70662,1
277,31,70663,1
278,31,70664,3
279,31,70666,1
280,31,70665,1
281,31,70573,1
282,31,70575,1
283,31,70578,1
284,32,71040,1
285,32,71041,1
286,32,71042,3
287,32,71044,1
288,32,71043,1
289,32,70951,1
290,32,70953,1
291,32,70956,1
292,33,71070,1
293,33,71067,1
294,33,71066,1
295,33,71069,3
296,33,71068,1
297,33,70951,1
298,33,70953,1
299,33,70956,1
300,34,70692,1
301,34,70689,1
302,34,70688,1
303,34,70691,3
304,34,70690,1
305,34,70573,1
306,34,70575,1
307,34,70578,1
308,35,71505,3
309,35,71506,1
310,35,71507,1
311,35,71508,1
312,35,71509,1
313,35,71541,1
314,35,71543,1
315,35,71546,1
316,36,71883,3
317,36,71884,1
318,36,71885,1
319,36,71886,1
320,36,71887,1
321,36,71919,1
322,36,71921,1
323,36,71924,1
324,37,71583,3
325,37,71584,1
326,37,71585,1
327,37,71586,1
328,37,71587,1
329,37,71546,1
330,37,71541,1
331,37,71543,1
332,38,71961,3
333,38,71962,1
334,38,71963,1
335,38,71964,1
336,38,71965,1
337,38,71924,1
338,38,71919,1
339,38,71921,1
340,39,71500,1
341,39,71501,1
342,39,71502,1
343,39,71504,1
344,39,71503,3
345,39,71526,1
346,39,71527,1
347,39,71529,1
348,40,71878,1
349,40,71879,1
350,40,71880,1
351,40,71882,1
352,40,71881,3
353,40,71904,1
354,40,71905,1
355,40,71907,1
356,41,71526,1
357,41,71527,1
358,41,71529,1
359,41,71579,1
360,41,71580,1
361,41,71581,1
362,41,71582,1
363,41,71578,3
364,42,71904,1
365,42,71905,1
366,42,71907,1
367,42,71957,1
368,42,71958,1
369,42,71959,1
370,42,71960,1
371,42,71956,3
372,43,71904,1
373,43,71905,1
374,43,71907,1
375,43,71930,1
376,43,71931,1
377,43,71932,1
378,43,71933,1
379,43,71934,3
380,44,71526,1
381,44,71527,1
382,44,71529,1
383,44,71552,1
384,44,71553,1
385,44,71554,1
386,44,71555,1
387,44,71556,3
388,45,71562,1
389,45,71565,0
390,45,71566,1
391,45,71495,3
392,45,71496,1
393,45,71497,1
394,45,71498,1
395,45,71499,1
396,46,71940,1
397,46,71942,1
398,46,71944,1
399,46,71873,3
400,46,71874,1
401,46,71875,1
402,46,71876,1
403,46,71877,1
404,47,71940,1
405,47,71942,1
406,47,71944,1
407,47,71935,3
408,47,71936,1
409,47,71937,1
410,47,71938,1
411,47,71939,1
412,48,71562,1
413,48,71565,0
414,48,71566,1
415,48,71557,3
416,48,71558,1
417,48,71559,1
418,48,71560,1
419,48,71561,1
420,49,71940,1
421,49,71942,1
422,49,71944,1
423,49,71982,3
424,49,71983,1
425,49,71984,1
426,49,71985,1
427,49,71986,1
428,50,71562,1
429,50,71565,0
430,50,71566,1
431,50,71604,3
432,50,71605,1
433,50,71606,1
434,50,71607,1
435,50,71608,1
436,51,71862,1
437,51,71864,1
438,51,71867,1
439,51,71951,1
440,51,71952,1
441,51,71953,3
442,51,71955,1
443,51,71954,1
444,52,71484,1
445,52,71486,1
446,52,71489,1
447,52,71573,1
448,52,71574,1
449,52,71575,3
450,52,71577,1
451,52,71576,1
452,53,71484,1
453,53,71486,1
454,53,71489,1
455,53,71540,1
456,53,71537,1
457,53,71536,1
458,53,71539,3
459,53,71538,1
460,54,71862,1
461,54,71864,1
462,54,71867,1
463,54,71918,1
464,54,71915,1
465,54,71914,1
466,54,71917,3
467,54,71916,1
468,55,71862,1
469,55,71864,1
470,55,71867,1
471,55,71981,1
472,55,71978,1
473,55,71977,1
474,55,71980,3
475,55,71979,1
476,56,71484,1
477,56,71486,1
478,56,71489,1
479,56,71603,1
480,56,71600,1
481,56,71599,1
482,56,71602,3
483,56,71601,1
484,57,67597,1
485,57,67599,1
486,57,67577,3
487,57,67578,1
488,57,67579,1
489,57,67580,1
490,57,67581,1
491,57,67602,1
493,58,64021,1
494,58,64023,1
495,58,63994,3
496,58,63995,1
497,58,63996,1
498,58,63997,1
499,58,63998,1
500,58,64026,1
501,59,67597,1
502,59,67599,1
503,59,67629,3
504,59,67630,1
505,59,67631,1
506,59,67632,1
507,59,67634,1
508,59,67602,1
509,60,64021,1
510,60,64023,1
511,60,64053,3
512,60,64054,1
513,60,64055,1
514,60,64056,1
515,60,64057,1
516,60,64026,1
517,61,67587,1
518,61,67588,1
519,61,67575,3
520,61,67572,1
521,61,67573,1
522,61,67574,1
523,61,67576,1
524,61,67590,1
525,62,64011,1
526,62,64012,1
527,62,63992,3
528,62,63989,1
529,62,63990,1
530,62,63991,1
531,62,63993,1
532,62,64014,1
533,63,67587,1
534,63,67588,1
535,63,67590,1
536,63,67625,1
537,63,67626,1
538,63,67627,1
539,63,67628,1
540,63,67624,3
541,64,64012,1
542,64,64011,1
543,64,64014,1
544,64,64049,1
545,64,64050,1
546,64,64051,1
547,64,64052,1
548,64,64048,3
549,65,67587,1
550,65,67588,1
551,65,67590,1
552,65,67603,1
553,65,67604,1
554,65,67605,1
555,65,67606,1
556,65,67607,3
557,66,64012,1
558,66,64011,1
559,66,64014,1
560,66,64027,1
561,66,64028,1
562,66,64029,1
563,66,64030,1
564,66,64031,3
565,67,67613,1
566,67,67615,1
567,67,67617,1
568,67,67567,3
569,67,67568,1
570,67,67569,1
571,67,67570,1
572,67,67571,1
573,68,64037,1
574,68,64039,1
575,68,64041,1
576,68,63984,3
577,68,63985,1
578,68,63986,1
579,68,63987,1
580,68,63988,1
581,69,67613,1
582,69,67615,1
583,69,67617,1
584,69,67608,3
585,69,67609,1
586,69,67610,1
587,69,67611,1
588,69,67612,1
589,70,64037,1
590,70,64039,1
591,70,64041,1
592,70,64032,3
593,70,64033,1
594,70,64034,1
595,70,64035,1
596,70,64036,1
597,71,67613,1
598,71,67615,1
599,71,67617,1
600,71,67646,3
601,71,67647,1
602,71,67648,1
603,71,67649,1
604,71,67650,1
605,72,64037,1
606,72,64039,1
607,72,64041,1
608,72,64076,3
609,72,64077,1
610,72,64078,1
611,72,64079,1
612,72,64080,1
613,73,67561,1
614,73,67563,1
615,73,67566,1
616,73,67645,1
617,73,67642,1
618,73,67641,1
619,73,67644,3
620,73,67643,1
621,74,63978,1
622,74,63980,1
623,74,63983,1
624,74,64075,1
625,74,64072,1
626,74,64071,1
627,74,64074,3
628,74,64073,1
629,75,67561,1
630,75,67563,1
631,75,67566,1
632,75,67619,1
633,75,67620,1
634,75,67621,3
635,75,67623,1
636,75,67622,1
637,76,63978,1
638,76,63980,1
639,76,63983,1
640,76,64043,1
641,76,64044,1
642,76,64045,3
643,76,64047,1
644,76,64046,1
645,77,67561,1
646,77,67563,1
647,77,67566,1
648,77,67596,1
649,77,67593,1
650,77,67592,1
651,77,67595,3
652,77,67594,1
653,78,63978,1
654,78,63980,1
655,78,63983,1
656,78,64020,1
657,78,64017,1
658,78,64016,1
659,78,64019,3
660,78,64018,1
661,79,70811,3
662,79,70812,1
663,79,70813,1
664,79,70814,1
665,79,70815,1
666,79,70855,1
667,79,70859,1
668,79,70862,1
669,80,70433,3
670,80,70434,1
671,80,70435,1
672,80,70436,1
673,80,70437,1
674,80,70477,1
675,80,70481,1
676,80,70484,1
677,81,70535,3
678,81,70536,1
679,81,70537,1
680,81,80392,1
681,81,70539,1
682,81,80393,1
684,81,70480,1
685,82,70913,3
686,82,70914,1
687,82,70915,1
688,82,70916,1
689,82,70917,1
690,82,80394,1
691,82,70856,1
692,82,70858,1
693,83,70833,1
694,83,70839,1
695,83,70835,1
696,83,70806,1
697,83,70807,1
698,83,70808,1
699,83,70810,1
700,83,70809,3
701,84,70455,1
702,84,70461,1
703,84,70457,1
704,84,70428,1
705,84,70429,1
706,84,70430,1
707,84,70431,3
708,84,70432,1
709,85,70454,1
710,85,70460,1
711,85,70456,1
712,85,70531,1
713,85,70532,1
714,85,70533,1
