ID,ConduitType,CovenantID,SpecSetID,Flags
5,2,0,168,1
7,2,0,168,1
8,0,0,168,1
9,0,0,168,1
10,2,0,42,1
11,1,0,168,1
12,1,0,40,1
13,0,0,168,1
14,1,0,40,1
15,2,0,164,1
16,1,0,26,1
17,1,0,22,1
18,1,0,22,1
19,1,0,26,1
20,1,0,22,1
21,1,0,22,1
22,1,0,26,1
23,0,0,162,1
24,1,0,26,1
25,2,0,164,1
26,0,0,162,1
27,2,0,168,1
28,1,0,25,1
29,0,0,162,1
30,1,0,23,1
31,1,0,25,1
32,1,0,23,1
33,2,0,164,1
34,1,0,21,1
35,0,0,164,1
36,1,0,21,1
37,0,0,164,1
38,1,3,162,1
39,1,4,162,1
40,1,1,162,1
41,0,0,164,1
42,0,0,164,1
43,1,2,162,1
44,1,0,25,1
45,2,0,162,1
46,1,0,24,1
47,2,0,24,1
48,2,0,162,1
49,2,0,42,1
50,1,0,41,1
51,1,0,21,1
52,1,0,41,1
53,1,0,23,1
54,1,0,25,1
55,1,0,21,1
56,2,0,24,1
57,1,0,24,1
58,0,0,162,1
59,1,1,164,1
60,1,4,164,1
61,2,0,162,1
62,1,2,164,1
63,1,3,164,1
64,1,0,41,1
65,1,0,7,1
66,2,0,166,1
67,0,0,166,1
68,0,0,43,1
69,0,0,166,1
70,0,0,43,1
71,2,0,166,1
72,2,0,166,1
73,0,0,166,1
74,2,0,43,1
75,1,0,31,1
76,1,0,31,1
77,1,0,31,1
78,1,0,32,1
79,1,0,6,1
80,1,0,5,1
81,1,0,31,1
82,1,0,32,1
83,1,0,6,1
84,1,0,32,1
85,0,0,166,1
86,2,0,5,1
87,1,1,166,1
88,2,0,43,1
89,1,0,7,1
90,1,4,166,1
91,1,0,6,1
92,2,0,13,1
93,2,0,13,1
94,2,0,13,1
95,0,0,13,1
96,0,0,13,1
97,0,0,13,1
98,0,0,13,1
99,0,0,43,1
100,1,0,11,1
101,1,3,166,1
102,1,0,11,1
103,1,0,11,1
104,1,0,11,1
105,1,2,166,1
106,0,0,43,1
