1.13.0.28211
q(73),	-- <TXT> No Reward	 CLASSIC:<TXT> No Reward	 TBC:<TXT> No Reward	 WOTLK:<TXT> No Reward	
q(137),	-- <NYI> <TXT> Stormwind Commendation	 CLASSIC:<NYI> <TXT> Stormwind Commendation	 TBC:<NYI> <TXT> Stormwind Commendation	 WOTLK:<NYI> <TXT> Stormwind Commendation	
q(242),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(259),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(260),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(352),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(406),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(462),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(490),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(497),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(534),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(548),	-- [DEPRECATED] <NYI> <TXT> Bloodstone Pendant	 CLASSIC:<NYI> <TXT> Bloodstone Pendant	 TBC:<NYI> <TXT> Bloodstone Pendant	 WOTLK:<NYI> <TXT> Bloodstone Pendant	
q(612),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(614),	-- The Captain's Chest	 CLASSIC:The Captain's Chest	 TBC:The Captain's Chest	 WOTLK:The Captain's Chest	
q(615),	-- The Captain's Cutlass	 CLASSIC:The Captain's Cutlass	 TBC:The Captain's Cutlass	 WOTLK:The Captain's Cutlass	
q(618),	-- Facing Negolash	 CLASSIC:Facing Negolash	 TBC:Facing Negolash	 WOTLK:Facing Negolash	
q(620),	-- The Monogrammed Sash	 CLASSIC:The Monogrammed Sash	 TBC:The Monogrammed Sash	 WOTLK:The Monogrammed Sash	
q(636),	-- Legends of the Earth <NYI>	 CLASSIC:Legends of the Earth <NYI>	 TBC:Legends of the Earth <NYI>	 WOTLK:Legends of the Earth <NYI>	
q(807),	-- <UNUSED>	 CLASSIC:<UNUSED>	 WOTLK:<UNUSED>	
q(810),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
q(811),	-- <UNUSED>	 CLASSIC:<UNUSED>	
q(814),	-- <UNUSED>	 CLASSIC:<UNUSED>	 TBC:<UNUSED>	 WOTLK:<UNUSED>	
